id_transcript;block_sequence
ENSCAFT00000013778_90_90;1.2.4.5.7.8.9.10.11.13.14.15.18.19.20
ENST00000320672_90_90;1.2.4.5.7.8.9.10.11.13.14.17.18.19.20
ENST00000504985_90_90;9.10.11.12.13.14.17.18.19.20
ENST00000505980_90_90;1.2.4.5.7.8.9.11.13.14.17.18.19.20
ENST00000509013_90_90;6.7.8.9.10.11.13
ENST00000509053_90_90;1.2.4.5.7.8.10.11.13.14.17.18.20
ENST00000512923_90_90;9.10.11.13.14.15.16.19.20
ENST00000514493_90_90;1.2.4.5.7.8.10.11.13.14.17.18.19.20
ENST00000515395_90_90;1.2.4.5.7.8.10.11.12.13.14.17.18.19.20
ENST00000615665_90_90;1.2.4.5.7.8.9.10.11.12.13.14.17.18.19.20
ENSMUST00000004094_90_90;0.1.8.9.10.11.13.14.15.18.19.20
ENSMUST00000042122_90_90;0.1.8.10.11.13.14.15.18.19.20
ENSMUST00000138488_90_90;0.1.2.3.4
