;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.667;0.588;0.722;0.126;0.111;0.113;0.092;0.087;0.092;0.092;0.101;0.096;0.091;0.107;0.118;0.115
transcript7_ENSMLUG00000027828;0.667;1.0;0.529;0.667;0.095;0.124;0.085;0.085;0.096;0.085;0.085;0.093;0.088;0.101;0.119;0.132;0.128
transcript7_ENSSTOG00000019743;0.588;0.529;1.0;0.778;0.093;0.11;0.084;0.099;0.086;0.099;0.099;0.109;0.103;0.09;0.106;0.117;0.113
transcript7_ENSCCNG00000000226;0.722;0.667;0.778;1.0;0.12;0.139;0.108;0.127;0.109;0.127;0.127;0.14;0.132;0.114;0.133;0.147;0.143
transcript25_ENSMPUG00000020072;0.126;0.095;0.093;0.12;1.0;0.562;0.802;0.571;0.53;0.571;0.571;0.589;0.572;0.5;0.545;0.528;0.504
transcript25_ENSMLUG00000027828;0.111;0.124;0.11;0.139;0.562;1.0;0.483;0.532;0.776;0.532;0.532;0.527;0.543;0.728;0.85;0.938;0.802
transcript28_ENSMPUG00000020072;0.113;0.085;0.084;0.108;0.802;0.483;1.0;0.647;0.579;0.647;0.647;0.671;0.651;0.55;0.469;0.451;0.432
transcript12_ENSECAG00000007947;0.092;0.085;0.099;0.127;0.571;0.532;0.647;1.0;0.69;1.0;1.0;0.908;0.958;0.673;0.578;0.513;0.553
transcript12_ENSMLUG00000027828;0.087;0.096;0.086;0.109;0.53;0.776;0.579;0.69;1.0;0.69;0.69;0.618;0.662;0.952;0.808;0.728;0.752
transcript23_ENSECAG00000007947;0.092;0.085;0.099;0.127;0.571;0.532;0.647;1.0;0.69;1.0;1.0;0.908;0.958;0.673;0.578;0.513;0.553
transcript31_ENSECAG00000007947;0.092;0.085;0.099;0.127;0.571;0.532;0.647;1.0;0.69;1.0;1.0;0.908;0.958;0.673;0.578;0.513;0.553
transcript32_ENSECAG00000007947;0.101;0.093;0.109;0.14;0.589;0.527;0.671;0.908;0.618;0.908;0.908;1.0;0.934;0.6;0.503;0.507;0.477
transcript33_ENSECAG00000007947;0.096;0.088;0.103;0.132;0.572;0.543;0.651;0.958;0.662;0.958;0.958;0.934;1.0;0.645;0.549;0.523;0.523
transcript15_ENSMLUG00000027828;0.091;0.101;0.09;0.114;0.5;0.728;0.55;0.673;0.952;0.673;0.673;0.6;0.645;1.0;0.849;0.765;0.79
transcript16_ENSMLUG00000027828;0.107;0.119;0.106;0.133;0.545;0.85;0.469;0.578;0.808;0.578;0.578;0.503;0.549;0.849;1.0;0.901;0.931
transcript26_ENSMLUG00000027828;0.118;0.132;0.117;0.147;0.528;0.938;0.451;0.513;0.728;0.513;0.513;0.507;0.523;0.765;0.901;1.0;0.85
transcript27_ENSMLUG00000027828;0.115;0.128;0.113;0.143;0.504;0.802;0.432;0.553;0.752;0.553;0.553;0.477;0.523;0.79;0.931;0.85;1.0
