;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.764;0.943;0.941;0.961;0.966;0.966;0.966;0.957;0.964;0.824;0.964;0.964
transcript47_ENSRNOG00000031503;0.764;1.0;0.945;0.946;0.782;0.786;0.728;0.728;0.774;0.73;0.802;0.73;0.73
transcript47_ENSMUGG00000013649;0.943;0.945;1.0;0.92;0.998;0.998;0.917;0.917;0.997;0.998;0.998;0.998;0.998
transcript47_ENSPEMG00000024651;0.941;0.946;0.92;1.0;0.915;0.921;0.995;0.995;0.909;0.915;0.915;0.915;0.915
transcript20_ENSMUGG00000013649;0.961;0.782;0.998;0.915;1.0;1.0;0.943;0.943;1.0;1.0;0.955;1.0;1.0
transcript20_ENSMUGG00000013592;0.966;0.786;0.998;0.921;1.0;1.0;0.948;0.948;1.0;1.0;0.955;1.0;1.0
transcript19_ENSPEMG00000024651;0.966;0.728;0.917;0.995;0.943;0.948;1.0;1.0;0.939;0.949;0.813;0.949;0.949
transcript38_ENSPEMG00000024651;0.966;0.728;0.917;0.995;0.943;0.948;1.0;1.0;0.939;0.949;0.813;0.949;0.949
transcript27_ENSNGAG00000018584;0.957;0.774;0.997;0.909;1.0;1.0;0.939;0.939;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;0.964;0.73;0.998;0.915;1.0;1.0;0.949;0.949;1.0;1.0;0.856;1.0;1.0
transcript24_ENSSTOG00000019743;0.824;0.802;0.998;0.915;0.955;0.955;0.813;0.813;1.0;0.856;1.0;0.856;0.856
transcript25_ENSSTOG00000019743;0.964;0.73;0.998;0.915;1.0;1.0;0.949;0.949;1.0;1.0;0.856;1.0;1.0
transcript32_ENSSTOG00000019743;0.964;0.73;0.998;0.915;1.0;1.0;0.949;0.949;1.0;1.0;0.856;1.0;1.0
