;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;1.0;1.0;0.884;0.538;0.702;0.802;0.389;0.471;0.818;0.726;0.528;0.868;1.0;0.884;0.702;0.818;0.726;0.61
ENST00000353609_90_90;1.0;1.0;0.884;0.538;0.702;0.802;0.367;0.425;0.818;0.726;0.528;0.868;1.0;0.884;0.702;0.818;0.726;0.61
ENST00000417353_90_90;0.884;0.884;1.0;0.609;0.792;0.687;0.259;0.476;0.702;0.61;0.412;0.752;0.884;1.0;0.792;0.702;0.61;0.69
ENST00000443841_90_90;0.538;0.538;0.609;1.0;0.77;0.446;0.0;0.126;0.659;0.264;0.15;0.406;0.538;0.609;0.77;0.659;0.264;0.298
ENST00000585836_90_90;0.702;0.702;0.792;0.77;1.0;0.619;0.165;0.291;0.857;0.427;0.325;0.57;0.702;0.792;1.0;0.857;0.427;0.483
ENST00000586615_90_90;0.802;0.802;0.687;0.446;0.619;1.0;0.449;0.247;0.745;0.528;0.659;0.67;0.802;0.687;0.619;0.745;0.528;0.412
ENST00000589593_90_90;0.389;0.367;0.259;0.0;0.165;0.449;1.0;0.377;0.281;0.5;0.66;0.42;0.389;0.273;0.174;0.3;0.537;0.378
ENST00000590335_90_90;0.471;0.425;0.476;0.126;0.291;0.247;0.377;1.0;0.262;0.567;0.332;0.484;0.471;0.532;0.325;0.287;0.648;0.77
ENST00000591858_90_90;0.818;0.818;0.702;0.659;0.857;0.745;0.281;0.262;1.0;0.543;0.45;0.685;0.818;0.702;0.857;1.0;0.543;0.427
ENST00000592436_90_90;0.726;0.726;0.61;0.264;0.427;0.528;0.5;0.567;0.543;1.0;0.73;0.835;0.726;0.61;0.427;0.543;1.0;0.841
ENST00000592811_90_90;0.528;0.528;0.412;0.15;0.325;0.659;0.66;0.332;0.45;0.73;1.0;0.609;0.528;0.412;0.325;0.45;0.73;0.571
ENST00000615753_90_90;0.868;0.868;0.752;0.406;0.57;0.67;0.42;0.484;0.685;0.835;0.609;1.0;0.868;0.752;0.57;0.685;0.835;0.702
ENSMUST00000003640_90_90;1.0;1.0;0.884;0.538;0.702;0.802;0.389;0.471;0.818;0.726;0.528;0.868;1.0;0.884;0.702;0.818;0.726;0.61
ENSMUST00000207334_90_90;0.884;0.884;1.0;0.609;0.792;0.687;0.273;0.532;0.702;0.61;0.412;0.752;0.884;1.0;0.792;0.702;0.61;0.69
ENSMUST00000207716_90_90;0.702;0.702;0.792;0.77;1.0;0.619;0.174;0.325;0.857;0.427;0.325;0.57;0.702;0.792;1.0;0.857;0.427;0.483
ENSMUST00000208326_90_90;0.818;0.818;0.702;0.659;0.857;0.745;0.3;0.287;1.0;0.543;0.45;0.685;0.818;0.702;0.857;1.0;0.543;0.427
ENSMUST00000208446_90_90;0.726;0.726;0.61;0.264;0.427;0.528;0.537;0.648;0.543;1.0;0.73;0.835;0.726;0.61;0.427;0.543;1.0;0.841
ENSMUST00000208505_90_90;0.61;0.61;0.69;0.298;0.483;0.412;0.378;0.77;0.427;0.841;0.571;0.702;0.61;0.69;0.483;0.427;0.841;1.0
