;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.867;0.667;0.75;0.667;0.562;0.562;0.438;0.15;0.353;0.8;0.733;0.688;0.588;0.5;0.294;0.222;0.529;0.087;0.235;0.688
ENST00000264731_90_90;0.867;1.0;0.786;0.867;0.786;0.667;0.667;0.533;0.15;0.438;0.929;0.733;0.8;0.588;0.5;0.294;0.222;0.529;0.136;0.235;0.688
ENST00000320472_90_90;0.667;0.786;1.0;0.667;0.833;0.833;0.692;0.667;0.176;0.538;0.714;0.533;0.6;0.412;0.5;0.357;0.267;0.353;0.158;0.286;0.5
ENST00000354600_90_90;0.75;0.867;0.667;1.0;0.667;0.786;0.786;0.438;0.211;0.533;0.8;0.857;0.929;0.688;0.412;0.375;0.294;0.625;0.087;0.167;0.588
ENST00000392460_90_90;0.667;0.786;0.833;0.667;1.0;0.692;0.833;0.667;0.176;0.538;0.714;0.533;0.6;0.412;0.615;0.357;0.267;0.353;0.158;0.286;0.5
ENST00000392461_90_90;0.562;0.667;0.833;0.786;0.692;1.0;0.833;0.538;0.25;0.667;0.6;0.643;0.714;0.5;0.4;0.462;0.357;0.438;0.1;0.2;0.412
ENST00000392463_90_90;0.562;0.667;0.692;0.786;0.833;0.833;1.0;0.538;0.25;0.667;0.6;0.643;0.714;0.5;0.5;0.462;0.357;0.438;0.1;0.2;0.412
ENST00000418709_90_90;0.438;0.533;0.667;0.438;0.667;0.538;0.538;1.0;0.2;0.8;0.467;0.312;0.375;0.222;0.357;0.417;0.308;0.167;0.176;0.333;0.294
ENST00000434928_90_90;0.15;0.15;0.176;0.211;0.176;0.25;0.25;0.2;1.0;0.286;0.158;0.105;0.222;0.158;0.118;0.214;0.214;0.167;0.333;0.143;0.1
ENST00000437221_90_90;0.353;0.438;0.538;0.533;0.538;0.667;0.667;0.8;0.286;1.0;0.375;0.4;0.467;0.294;0.267;0.545;0.417;0.235;0.111;0.231;0.222
ENST00000440651_90_90;0.8;0.929;0.714;0.8;0.714;0.6;0.6;0.467;0.158;0.375;1.0;0.667;0.857;0.529;0.438;0.235;0.167;0.562;0.143;0.25;0.625
ENST00000449992_90_90;0.733;0.733;0.533;0.857;0.533;0.643;0.643;0.312;0.105;0.4;0.667;1.0;0.786;0.667;0.375;0.333;0.25;0.6;0.0;0.118;0.562
ENST00000456148_90_90;0.688;0.8;0.6;0.929;0.6;0.714;0.714;0.375;0.222;0.467;0.857;0.786;1.0;0.625;0.353;0.312;0.235;0.667;0.091;0.176;0.529
ENSMUST00000040231_90_90;0.588;0.588;0.412;0.688;0.412;0.5;0.5;0.222;0.158;0.294;0.529;0.667;0.625;1.0;0.643;0.4;0.5;0.923;0.091;0.333;0.857
ENSMUST00000065523_90_90;0.5;0.5;0.5;0.412;0.615;0.4;0.5;0.357;0.118;0.267;0.438;0.375;0.353;0.643;1.0;0.385;0.5;0.571;0.167;0.545;0.769
ENSMUST00000115304_90_90;0.294;0.294;0.357;0.375;0.357;0.462;0.462;0.417;0.214;0.545;0.235;0.333;0.312;0.4;0.385;1.0;0.6;0.333;0.118;0.364;0.312
ENSMUST00000115305_90_90;0.222;0.222;0.267;0.294;0.267;0.357;0.357;0.308;0.214;0.417;0.167;0.25;0.235;0.5;0.5;0.6;1.0;0.429;0.118;0.667;0.4
ENSMUST00000115306_90_90;0.529;0.529;0.353;0.625;0.353;0.438;0.438;0.167;0.167;0.235;0.562;0.6;0.667;0.923;0.571;0.333;0.429;1.0;0.095;0.357;0.786
ENSMUST00000115307_90_90;0.087;0.136;0.158;0.087;0.158;0.1;0.1;0.176;0.333;0.111;0.143;0.0;0.091;0.091;0.167;0.118;0.118;0.095;1.0;0.2;0.143
ENSMUST00000115308_90_90;0.235;0.235;0.286;0.167;0.286;0.2;0.2;0.333;0.143;0.231;0.25;0.118;0.176;0.333;0.545;0.364;0.667;0.357;0.2;1.0;0.429
ENSMUST00000115310_90_90;0.688;0.688;0.5;0.588;0.5;0.412;0.412;0.294;0.1;0.222;0.625;0.562;0.529;0.857;0.769;0.312;0.4;0.786;0.143;0.429;1.0
