;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.921;0.92;0.796;0.796;0.297;0.587;0.261;0.308;0.92;0.85;0.938;0.85;0.85;0.744;0.85;0.938;0.938;0.956;0.827;0.956;0.827
ENSCAFT00000024036_90_90;0.921;1.0;1.0;0.867;0.867;0.315;0.645;0.324;0.368;0.966;0.989;0.969;0.989;0.989;0.852;0.951;0.969;0.969;1.0;0.836;0.968;0.869
ENST00000304523_90_90;0.92;1.0;1.0;0.756;0.832;0.326;0.631;0.297;0.339;0.971;0.989;0.969;0.989;0.989;0.764;0.953;0.969;0.969;1.0;0.726;0.969;0.751
ENST00000441778_90_90;0.796;0.867;0.756;1.0;0.82;0.339;0.442;0.282;0.323;0.732;0.854;0.837;0.744;0.744;0.954;0.713;0.73;0.73;0.751;0.972;0.726;1.0
ENST00000502640_90_90;0.796;0.867;0.832;0.82;1.0;0.368;0.48;0.314;0.359;0.804;0.854;0.837;0.838;0.838;0.856;0.802;0.823;0.823;0.869;0.826;0.84;0.853
ENST00000506732_90_90;0.297;0.315;0.326;0.339;0.368;1.0;0.249;0.214;0.293;0.333;0.32;0.31;0.32;0.32;0.354;0.328;0.31;0.31;0.303;0.324;0.309;0.319
ENST00000507464_90_90;0.587;0.645;0.631;0.442;0.48;0.249;1.0;0.0;0.042;0.602;0.659;0.643;0.659;0.659;0.476;0.623;0.643;0.643;0.643;0.424;0.613;0.45
ENST00000508918_90_90;0.261;0.324;0.297;0.282;0.314;0.214;0.0;1.0;0.648;0.308;0.262;0.258;0.262;0.262;0.262;0.274;0.258;0.258;0.299;0.293;0.311;0.284
ENST00000512345_90_90;0.308;0.368;0.339;0.323;0.359;0.293;0.042;0.648;1.0;0.351;0.309;0.304;0.309;0.309;0.308;0.324;0.304;0.304;0.341;0.334;0.354;0.324
ENST00000515064_90_90;0.92;0.966;0.971;0.732;0.804;0.333;0.602;0.308;0.351;1.0;0.953;0.933;0.953;0.953;0.734;0.989;0.933;0.933;0.969;0.745;1.0;0.726
ENST00000361198_90_90;0.85;0.989;0.989;0.854;0.854;0.32;0.659;0.262;0.309;0.953;1.0;0.888;1.0;1.0;0.872;0.971;0.888;0.888;0.99;0.822;0.956;0.857
ENST00000425280_90_90;0.938;0.969;0.969;0.837;0.837;0.31;0.643;0.258;0.304;0.933;0.888;1.0;0.888;0.888;0.772;0.863;1.0;1.0;0.969;0.806;0.935;0.84
ENSMUST00000026252_90_90;0.85;0.989;0.989;0.744;0.838;0.32;0.659;0.262;0.309;0.953;1.0;0.888;1.0;1.0;0.724;0.971;0.888;0.888;0.99;0.721;0.956;0.75
ENSMUST00000056931_90_90;0.85;0.989;0.989;0.744;0.838;0.32;0.659;0.262;0.309;0.953;1.0;0.888;1.0;1.0;0.724;0.971;0.888;0.888;0.99;0.721;0.956;0.75
ENSMUST00000137771_90_90;0.744;0.852;0.764;0.954;0.856;0.354;0.476;0.262;0.308;0.734;0.872;0.772;0.724;0.724;1.0;0.703;0.657;0.657;0.77;0.923;0.741;0.955
ENSMUST00000152946_90_90;0.85;0.951;0.953;0.713;0.802;0.328;0.623;0.274;0.324;0.989;0.971;0.863;0.971;0.971;0.703;1.0;0.863;0.863;0.956;0.744;0.989;0.721
ENSMUST00000156585_90_90;0.938;0.969;0.969;0.73;0.823;0.31;0.643;0.258;0.304;0.933;0.888;1.0;0.888;0.888;0.657;0.863;1.0;1.0;0.969;0.708;0.935;0.736
ENSMUST00000185355_90_90;0.938;0.969;0.969;0.73;0.823;0.31;0.643;0.258;0.304;0.933;0.888;1.0;0.888;0.888;0.657;0.863;1.0;1.0;0.969;0.708;0.935;0.736
ENSMUST00000070748_90_90;0.956;1.0;1.0;0.751;0.869;0.303;0.643;0.299;0.341;0.969;0.99;0.969;0.99;0.99;0.77;0.956;0.969;0.969;1.0;0.732;0.971;0.756
ENSMUST00000199256_90_90;0.827;0.836;0.726;0.972;0.826;0.324;0.424;0.293;0.334;0.745;0.822;0.806;0.721;0.721;0.923;0.744;0.708;0.708;0.732;1.0;0.75;0.974
ENSMUST00000199261_90_90;0.956;0.968;0.969;0.726;0.84;0.309;0.613;0.311;0.354;1.0;0.956;0.935;0.956;0.956;0.741;0.989;0.935;0.935;0.971;0.75;1.0;0.732
ENSMUST00000199534_90_90;0.827;0.869;0.751;1.0;0.853;0.319;0.45;0.284;0.324;0.726;0.857;0.84;0.75;0.75;0.955;0.721;0.736;0.736;0.756;0.974;0.732;1.0
