;ENSCAFT00000011939_90_90;ENST00000288986_90_90;ENST00000467911_90_90;ENST00000469404_90_90;ENST00000476286_90_90;ENST00000481752_90_90;ENST00000485096_90_90;ENST00000488930_90_90;ENST00000491539_90_90;ENST00000496489_90_90;ENSMUST00000112874_90_90;ENSMUST00000116522_90_90;ENSMUST00000186591_90_90;ENSMUST00000188670_90_90
ENSCAFT00000011939_90_90;1.0;0.867;0.375;0.688;0.143;0.867;0.2;0.533;0.267;0.333;0.688;0.867;0.467;0.4
ENST00000288986_90_90;0.867;1.0;0.467;0.8;0.143;1.0;0.286;0.643;0.357;0.429;0.8;1.0;0.571;0.5
ENST00000467911_90_90;0.375;0.467;1.0;0.615;0.0;0.467;0.2;0.545;0.3;0.556;0.615;0.467;0.333;0.364
ENST00000469404_90_90;0.688;0.8;0.615;1.0;0.0;0.8;0.133;0.467;0.2;0.357;1.0;0.8;0.4;0.333
ENST00000476286_90_90;0.143;0.143;0.0;0.0;1.0;0.143;0.5;0.222;0.4;0.143;0.0;0.143;0.25;0.286
ENST00000481752_90_90;0.867;1.0;0.467;0.8;0.143;1.0;0.286;0.643;0.357;0.429;0.8;1.0;0.571;0.5
ENST00000485096_90_90;0.2;0.286;0.2;0.133;0.5;0.286;1.0;0.444;0.8;0.429;0.133;0.286;0.5;0.571
ENST00000488930_90_90;0.533;0.643;0.545;0.467;0.222;0.643;0.444;1.0;0.556;0.667;0.467;0.643;0.545;0.6
ENST00000491539_90_90;0.267;0.357;0.3;0.2;0.4;0.357;0.8;0.556;1.0;0.571;0.2;0.357;0.625;0.714
ENST00000496489_90_90;0.333;0.429;0.556;0.357;0.143;0.429;0.429;0.667;0.571;1.0;0.357;0.429;0.556;0.625
ENSMUST00000112874_90_90;0.688;0.8;0.615;1.0;0.0;0.8;0.133;0.467;0.2;0.357;1.0;0.8;0.4;0.333
ENSMUST00000116522_90_90;0.867;1.0;0.467;0.8;0.143;1.0;0.286;0.643;0.357;0.429;0.8;1.0;0.571;0.5
ENSMUST00000186591_90_90;0.467;0.571;0.333;0.4;0.25;0.571;0.5;0.545;0.625;0.556;0.4;0.571;1.0;0.875
ENSMUST00000188670_90_90;0.4;0.5;0.364;0.333;0.286;0.5;0.571;0.6;0.714;0.625;0.333;0.5;0.875;1.0
