;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.823;1.0;1.0;1.0;0.71;0.668;0.843;0.802;0.559;0.556;1.0;0.53;0.559
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.823;1.0;1.0;1.0;0.71;0.668;0.843;0.802;0.559;0.556;1.0;0.53;0.559
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.823;1.0;1.0;1.0;0.71;0.668;0.843;0.802;0.559;0.556;1.0;0.53;0.559
transcript22_ENSAPOG00000016134;0.949;0.949;0.949;1.0;1.0;1.0;0.529;0.529;0.342;0.342;0.793;0.772;0.949;0.949;0.949;0.659;0.618;0.793;0.751;0.53;0.516;0.949;0.546;0.53
transcript22_ENSAPOG00000023408;0.949;0.949;0.949;1.0;1.0;1.0;0.529;0.529;0.342;0.342;0.793;0.772;0.949;0.949;0.949;0.659;0.618;0.793;0.751;0.53;0.516;0.949;0.546;0.53
transcript22_ENSPNYG00000024266;0.949;0.949;0.949;1.0;1.0;1.0;0.529;0.529;0.342;0.342;0.793;0.772;0.949;0.949;0.949;0.659;0.618;0.793;0.751;0.53;0.516;0.949;0.546;0.53
transcript27_ENSAPOG00000016134;0.502;0.502;0.502;0.529;0.529;0.529;1.0;1.0;0.647;0.647;0.596;0.325;0.502;0.502;0.502;0.708;0.752;0.596;0.304;0.281;0.509;0.502;0.289;0.281
transcript27_ENSAOCG00000015695;0.502;0.502;0.502;0.529;0.529;0.529;1.0;1.0;0.647;0.647;0.596;0.325;0.502;0.502;0.502;0.708;0.752;0.596;0.304;0.281;0.509;0.502;0.289;0.281
transcript28_ENSAPOG00000016134;0.325;0.325;0.325;0.342;0.342;0.342;0.647;0.647;1.0;1.0;0.385;0.395;0.325;0.325;0.325;0.458;0.486;0.385;0.127;0.181;0.329;0.325;0.187;0.181
transcript28_ENSAOCG00000015695;0.325;0.325;0.325;0.342;0.342;0.342;0.647;0.647;1.0;1.0;0.385;0.395;0.325;0.325;0.325;0.458;0.486;0.385;0.127;0.181;0.329;0.325;0.187;0.181
transcript32_ENSAPOG00000023408;0.843;0.843;0.843;0.793;0.793;0.793;0.596;0.596;0.385;0.385;1.0;0.666;0.843;0.843;0.843;0.553;0.577;1.0;0.645;0.471;0.433;0.843;0.443;0.471
transcript33_ENSAPOG00000023408;0.823;0.823;0.823;0.772;0.772;0.772;0.325;0.325;0.395;0.395;0.666;1.0;0.823;0.823;0.823;0.532;0.491;0.666;0.624;0.459;0.417;0.823;0.431;0.459
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.823;1.0;1.0;1.0;0.71;0.668;0.843;0.802;0.559;0.556;1.0;0.53;0.559
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.823;1.0;1.0;1.0;0.71;0.668;0.843;0.802;0.559;0.556;1.0;0.53;0.559
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.823;1.0;1.0;1.0;0.71;0.668;0.843;0.802;0.559;0.556;1.0;0.53;0.559
transcript26_ENSAOCG00000015695;0.71;0.71;0.71;0.659;0.659;0.659;0.708;0.708;0.458;0.458;0.553;0.532;0.71;0.71;0.71;1.0;0.942;0.553;0.512;0.396;0.72;0.71;0.368;0.396
transcript29_ENSAOCG00000015695;0.668;0.668;0.668;0.618;0.618;0.618;0.752;0.752;0.486;0.486;0.577;0.491;0.668;0.668;0.668;0.942;1.0;0.577;0.47;0.373;0.678;0.668;0.345;0.373
transcript14_ENSPNYG00000024266;0.843;0.843;0.843;0.793;0.793;0.793;0.596;0.596;0.385;0.385;1.0;0.666;0.843;0.843;0.843;0.553;0.577;1.0;0.645;0.471;0.433;0.843;0.443;0.471
transcript21_ENSPNYG00000024266;0.802;0.802;0.802;0.751;0.751;0.751;0.304;0.304;0.127;0.127;0.645;0.624;0.802;0.802;0.802;0.512;0.47;0.645;1.0;0.448;0.401;0.802;0.42;0.448
transcript3_ENSXMAG00000026005;0.559;0.559;0.559;0.53;0.53;0.53;0.281;0.281;0.181;0.181;0.471;0.459;0.559;0.559;0.559;0.396;0.373;0.471;0.448;1.0;0.551;0.559;0.972;1.0
transcript10_ENSXMAG00000026005;0.556;0.556;0.556;0.516;0.516;0.516;0.509;0.509;0.329;0.329;0.433;0.417;0.556;0.556;0.556;0.72;0.678;0.433;0.401;0.551;1.0;0.556;0.523;0.551
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.949;0.949;0.949;0.502;0.502;0.325;0.325;0.843;0.823;1.0;1.0;1.0;0.71;0.668;0.843;0.802;0.559;0.556;1.0;0.53;0.559
transcript16_ENSXMAG00000026005;0.53;0.53;0.53;0.546;0.546;0.546;0.289;0.289;0.187;0.187;0.443;0.431;0.53;0.53;0.53;0.368;0.345;0.443;0.42;0.972;0.523;0.53;1.0;0.972
transcript17_ENSXMAG00000026005;0.559;0.559;0.559;0.53;0.53;0.53;0.281;0.281;0.181;0.181;0.471;0.459;0.559;0.559;0.559;0.396;0.373;0.471;0.448;1.0;0.551;0.559;0.972;1.0
