;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.077;0.126;0.518;0.076;0.966;0.057;0.949;0.947;0.929;0.052;0.967;0.542;0.928;0.056;0.621;0.947;0.077;0.33;0.234;0.051
ENST00000423692_90_90;0.077;1.0;0.0;0.0;0.0;0.074;0.0;0.074;0.075;0.076;0.658;0.077;0.0;0.079;0.0;0.128;0.079;0.0;0.0;0.0;0.658
ENST00000431645_90_90;0.126;0.0;1.0;0.0;0.0;0.133;0.23;0.136;0.136;0.138;0.0;0.107;0.0;0.111;0.433;0.175;0.11;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.518;0.0;0.0;1.0;0.105;0.527;0.0;0.511;0.51;0.494;0.0;0.535;0.85;0.526;0.0;0.172;0.546;0.032;0.217;0.415;0.0
ENST00000449389_90_90;0.076;0.0;0.0;0.105;1.0;0.055;0.0;0.057;0.057;0.057;0.0;0.076;0.08;0.081;0.0;0.118;0.078;0.0;0.223;0.0;0.0
ENST00000611405_90_90;0.966;0.074;0.133;0.527;0.055;1.0;0.037;0.984;0.982;0.966;0.05;0.936;0.542;0.898;0.057;0.578;0.916;0.079;0.314;0.254;0.052
ENST00000614370_90_90;0.057;0.0;0.23;0.0;0.0;0.037;1.0;0.037;0.037;0.038;0.0;0.057;0.0;0.059;0.658;0.089;0.058;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.949;0.074;0.136;0.511;0.057;0.984;0.037;1.0;0.966;0.982;0.051;0.92;0.526;0.882;0.058;0.561;0.9;0.081;0.32;0.258;0.052
ENST00000618262_90_90;0.947;0.075;0.136;0.51;0.057;0.982;0.037;0.966;1.0;0.984;0.051;0.918;0.524;0.914;0.058;0.589;0.898;0.081;0.32;0.258;0.053
ENST00000618411_90_90;0.929;0.076;0.138;0.494;0.057;0.966;0.038;0.982;0.984;1.0;0.052;0.901;0.507;0.897;0.059;0.573;0.882;0.083;0.326;0.262;0.054
ENST00000641476_90_90;0.052;0.658;0.0;0.0;0.0;0.05;0.0;0.051;0.051;0.052;1.0;0.052;0.0;0.054;0.0;0.089;0.053;0.0;0.0;0.0;1.0
ENSMUST00000040873_90_90;0.967;0.077;0.107;0.535;0.076;0.936;0.057;0.92;0.918;0.901;0.052;1.0;0.536;0.962;0.037;0.604;0.98;0.058;0.297;0.248;0.051
ENSMUST00000196109_90_90;0.542;0.0;0.0;0.85;0.08;0.542;0.0;0.526;0.524;0.507;0.0;0.536;1.0;0.5;0.0;0.164;0.518;0.026;0.211;0.427;0.0
ENSMUST00000197466_90_90;0.928;0.079;0.111;0.526;0.081;0.898;0.059;0.882;0.914;0.897;0.054;0.962;0.5;1.0;0.039;0.629;0.982;0.059;0.309;0.231;0.052
ENSMUST00000197484_90_90;0.056;0.0;0.433;0.0;0.0;0.057;0.658;0.058;0.058;0.059;0.0;0.037;0.0;0.039;1.0;0.061;0.038;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.621;0.128;0.175;0.172;0.118;0.578;0.089;0.561;0.589;0.573;0.089;0.604;0.164;0.629;0.061;1.0;0.616;0.135;0.516;0.0;0.087
ENSMUST00000199243_90_90;0.947;0.079;0.11;0.546;0.078;0.916;0.058;0.9;0.898;0.882;0.053;0.98;0.518;0.982;0.038;0.616;1.0;0.059;0.303;0.228;0.052
ENSMUST00000199365_90_90;0.077;0.0;0.0;0.032;0.0;0.079;0.0;0.081;0.081;0.083;0.0;0.058;0.026;0.059;0.0;0.135;0.059;1.0;0.262;0.0;0.0
ENSMUST00000199605_90_90;0.33;0.0;0.0;0.217;0.223;0.314;0.0;0.32;0.32;0.326;0.0;0.297;0.211;0.309;0.0;0.516;0.303;0.262;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.234;0.0;0.0;0.415;0.0;0.254;0.0;0.258;0.258;0.262;0.0;0.248;0.427;0.231;0.0;0.0;0.228;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.051;0.658;0.0;0.0;0.0;0.052;0.0;0.052;0.053;0.054;1.0;0.051;0.0;0.052;0.0;0.087;0.052;0.0;0.0;0.0;1.0
