;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript38_MGP-PahariEiJ-G0020237;transcript66_MGP-SPRETEiJ-G0021131;transcript40_MGP-SPRETEiJ-G0021131
transcript8_ENSMSIG00000000513;1.0;0.34;0.334;0.271;0.241;0.233;0.261;0.261;0.356;0.362;0.356;0.249;0.281;0.249
transcript49_ENSMSIG00000000513;0.34;1.0;0.997;0.761;0.792;0.78;0.776;0.779;0.971;0.96;0.972;0.806;0.808;0.832
transcript49_MGP-SPRETEiJ-G0021131;0.334;0.997;1.0;0.753;0.734;0.711;0.729;0.732;0.924;0.914;0.927;0.734;0.792;0.803
transcript65_MGP-SPRETEiJ-G0021131;0.271;0.761;0.753;1.0;0.834;0.808;0.834;0.836;0.703;0.694;0.71;0.833;0.844;0.909
transcript47_MGP-CAROLIEiJ-G0020234;0.241;0.792;0.734;0.834;1.0;0.955;0.911;0.914;0.787;0.779;0.799;0.928;0.831;0.919
transcript38_MGP-CAROLIEiJ-G0020234;0.233;0.78;0.711;0.808;0.955;1.0;0.871;0.873;0.775;0.767;0.782;0.972;0.805;0.889
transcript7_ENSMUSG00000054036;0.261;0.776;0.729;0.834;0.911;0.871;1.0;0.997;0.744;0.735;0.758;0.894;0.83;0.922
transcript46_ENSMUSG00000054036;0.261;0.779;0.732;0.836;0.914;0.873;0.997;1.0;0.747;0.738;0.761;0.897;0.833;0.925
transcript61_ENSMSIG00000000513;0.356;0.971;0.924;0.703;0.787;0.775;0.744;0.747;1.0;0.989;1.0;0.801;0.747;0.772
transcript62_ENSMSIG00000000513;0.362;0.96;0.914;0.694;0.779;0.767;0.735;0.738;0.989;1.0;0.989;0.793;0.753;0.763
transcript60_ENSMSIG00000000513;0.356;0.972;0.927;0.71;0.799;0.782;0.758;0.761;1.0;0.989;1.0;0.806;0.753;0.778
transcript38_MGP-PahariEiJ-G0020237;0.249;0.806;0.734;0.833;0.928;0.972;0.894;0.897;0.801;0.793;0.806;1.0;0.829;0.916
transcript66_MGP-SPRETEiJ-G0021131;0.281;0.808;0.792;0.844;0.831;0.805;0.83;0.833;0.747;0.753;0.753;0.829;1.0;0.905
transcript40_MGP-SPRETEiJ-G0021131;0.249;0.832;0.803;0.909;0.919;0.889;0.922;0.925;0.772;0.763;0.778;0.916;0.905;1.0
