;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.706;0.6;0.294;0.722;0.333;0.875;0.882;0.2;0.238
ENST00000248450_90_90;0.706;1.0;0.632;0.312;0.875;0.357;0.812;0.722;0.214;0.19
ENST00000420660_90_90;0.6;0.632;1.0;0.263;0.737;0.294;0.524;0.619;0.176;0.333
ENST00000422731_90_90;0.294;0.312;0.263;1.0;0.278;0.0;0.294;0.263;0.111;0.0
ENST00000444053_90_90;0.722;0.875;0.737;0.278;1.0;0.312;0.722;0.833;0.188;0.174
ENST00000447885_90_90;0.333;0.357;0.294;0.0;0.312;1.0;0.333;0.294;0.333;0.231
ENSMUST00000006462_90_90;0.875;0.812;0.524;0.294;0.722;0.333;1.0;0.882;0.2;0.238
ENSMUST00000178235_90_90;0.882;0.722;0.619;0.263;0.833;0.294;0.882;1.0;0.176;0.217
ENSMUST00000187046_90_90;0.2;0.214;0.176;0.111;0.188;0.333;0.2;0.176;1.0;0.077
ENSMUST00000190008_90_90;0.238;0.19;0.333;0.0;0.174;0.231;0.238;0.217;0.077;1.0
