id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript52_ENSMUSG00000054036;null;transcript52_MGP-CAROLIEiJ-G0020234|1.0;null;0
transcript52_MGP-CAROLIEiJ-G0020234;null;transcript52_ENSMUSG00000054036|1.0;null;0
transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036|1.0&transcript67_ENSMUSG00000054036|1.0;transcript48_MGP-PahariEiJ-G0020237|0.995&transcript41_ENSMUGG00000013649|0.914;null;1
transcript64_ENSMUSG00000054036;transcript57_ENSMUSG00000054036|1.0&transcript67_ENSMUSG00000054036|1.0;transcript54_ENSRNOG00000031503|0.988&transcript55_ENSRNOG00000031503|0.988;null;1
transcript67_ENSMUSG00000054036;transcript57_ENSMUSG00000054036|1.0&transcript64_ENSMUSG00000054036|1.0;null;null;1
transcript48_MGP-PahariEiJ-G0020237;null;transcript57_ENSMUSG00000054036|0.995&transcript41_ENSMUGG00000013649|0.909;null;1
transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503|0.984;null;null;1
transcript40_ENSRNOG00000031503;transcript8_ENSRNOG00000031503|0.984;transcript41_ENSMUGG00000013649|0.982;null;1
transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503|1.0;transcript64_ENSMUSG00000054036|0.988;null;1
transcript55_ENSRNOG00000031503;transcript54_ENSRNOG00000031503|1.0;transcript64_ENSMUSG00000054036|0.988;null;1
transcript41_ENSMUGG00000013649;null;transcript57_ENSMUSG00000054036|0.914&transcript48_MGP-PahariEiJ-G0020237|0.909&transcript40_ENSRNOG00000031503|0.982;null;1
transcript9_MGP-PahariEiJ-G0020237;null;transcript9_MGP-CAROLIEiJ-G0020234|1.0;null;2
transcript9_MGP-CAROLIEiJ-G0020234;null;transcript9_MGP-PahariEiJ-G0020237|1.0;null;2
transcript62_MGP-CAROLIEiJ-G0020234;null;null;null;3
transcript53_ENSRNOG00000031503;null;transcript63_MGP-CAROLIEiJ-G0020234|0.911;null;4
transcript63_MGP-CAROLIEiJ-G0020234;null;transcript53_ENSRNOG00000031503|0.911;null;4
transcript7_MGP-PahariEiJ-G0020237;null;null;null;5
transcript49_ENSRNOG00000031503;null;null;null;6
