;transcript52_ENSMUSG00000054036;transcript52_MGP-CAROLIEiJ-G0020234;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;0.857;0.857;0.857;0.883;0.883;0.905;0.871;0.819;0.862;0.788;0.762;0.762;0.794;0.844;0.844;0.77
transcript52_MGP-CAROLIEiJ-G0020234;1.0;1.0;0.857;0.857;0.857;0.883;0.883;0.905;0.871;0.819;0.862;0.788;0.762;0.762;0.794;0.844;0.844;0.77
transcript57_ENSMUSG00000054036;0.857;0.857;1.0;1.0;1.0;0.775;0.744;0.775;0.764;0.96;0.995;0.928;0.903;0.795;0.76;0.983;0.983;0.914
transcript64_ENSMUSG00000054036;0.857;0.857;1.0;1.0;1.0;0.77;0.77;0.775;0.759;0.952;0.994;0.922;0.892;0.892;0.719;0.988;0.988;0.898
transcript67_ENSMUSG00000054036;0.857;0.857;1.0;1.0;1.0;0.775;0.744;0.775;0.764;0.959;0.995;0.929;0.903;0.813;0.755;0.986;0.986;0.912
transcript9_MGP-CAROLIEiJ-G0020234;0.883;0.883;0.775;0.77;0.775;1.0;1.0;0.799;0.988;0.741;0.779;0.836;0.856;0.844;0.904;0.788;0.788;0.874
transcript9_MGP-PahariEiJ-G0020237;0.883;0.883;0.744;0.77;0.744;1.0;1.0;0.799;0.988;0.711;0.747;0.801;0.821;0.844;0.861;0.755;0.755;0.839
transcript62_MGP-CAROLIEiJ-G0020234;0.905;0.905;0.775;0.775;0.775;0.799;0.799;1.0;0.787;0.819;0.78;0.711;0.688;0.688;0.705;0.762;0.762;0.696
transcript63_MGP-CAROLIEiJ-G0020234;0.871;0.871;0.764;0.759;0.764;0.988;0.988;0.787;1.0;0.73;0.768;0.825;0.845;0.834;0.911;0.777;0.777;0.864
transcript7_MGP-PahariEiJ-G0020237;0.819;0.819;0.96;0.952;0.959;0.741;0.711;0.819;0.73;1.0;0.965;0.889;0.864;0.762;0.723;0.943;0.943;0.876
transcript48_MGP-PahariEiJ-G0020237;0.862;0.862;0.995;0.994;0.995;0.779;0.747;0.78;0.768;0.965;1.0;0.922;0.897;0.797;0.759;0.978;0.978;0.909
transcript8_ENSRNOG00000031503;0.788;0.788;0.928;0.922;0.929;0.836;0.801;0.711;0.825;0.889;0.922;1.0;0.984;0.878;0.843;0.961;0.961;0.966
transcript40_ENSRNOG00000031503;0.762;0.762;0.903;0.892;0.903;0.856;0.821;0.688;0.845;0.864;0.897;0.984;1.0;0.896;0.861;0.946;0.946;0.982
transcript49_ENSRNOG00000031503;0.762;0.762;0.795;0.892;0.813;0.844;0.844;0.688;0.834;0.762;0.797;0.878;0.896;1.0;0.741;0.835;0.835;0.878
transcript53_ENSRNOG00000031503;0.794;0.794;0.76;0.719;0.755;0.904;0.861;0.705;0.911;0.723;0.759;0.843;0.861;0.741;1.0;0.799;0.799;0.845
transcript54_ENSRNOG00000031503;0.844;0.844;0.983;0.988;0.986;0.788;0.755;0.762;0.777;0.943;0.978;0.961;0.946;0.835;0.799;1.0;1.0;0.928
transcript55_ENSRNOG00000031503;0.844;0.844;0.983;0.988;0.986;0.788;0.755;0.762;0.777;0.943;0.978;0.961;0.946;0.835;0.799;1.0;1.0;0.928
transcript41_ENSMUGG00000013649;0.77;0.77;0.914;0.898;0.912;0.874;0.839;0.696;0.864;0.876;0.909;0.966;0.982;0.878;0.845;0.928;0.928;1.0
