;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.988;0.867;0.995;0.387;0.988;0.387;0.163;0.387;0.334;0.866;0.99;0.077;0.343;0.522;0.997;0.228;0.941
ENST00000367378_90_90;0.988;1.0;0.877;0.98;0.379;1.0;0.374;0.154;0.367;0.337;0.877;0.998;0.077;0.328;0.525;0.98;0.23;0.949
ENST00000367380_90_90;0.867;0.877;1.0;0.859;0.26;0.877;0.256;0.174;0.251;0.271;0.754;0.876;0.0;0.212;0.403;0.86;0.159;0.827
ENST00000367384_90_90;0.995;0.98;0.859;1.0;0.378;0.98;0.373;0.154;0.365;0.336;0.859;0.978;0.077;0.327;0.523;0.995;0.229;0.929
ENST00000460828_90_90;0.387;0.379;0.26;0.378;1.0;0.379;0.839;0.337;0.803;0.115;0.43;0.388;0.196;0.788;0.154;0.388;0.143;0.339
ENST00000464889_90_90;0.988;1.0;0.877;0.98;0.379;1.0;0.374;0.154;0.367;0.337;0.877;0.998;0.077;0.328;0.525;0.98;0.23;0.949
ENST00000484601_90_90;0.387;0.374;0.256;0.373;0.839;0.374;1.0;0.327;0.78;0.113;0.424;0.372;0.186;0.89;0.145;0.371;0.132;0.325
ENST00000486585_90_90;0.163;0.154;0.174;0.154;0.337;0.154;0.327;1.0;0.314;0.0;0.174;0.164;0.0;0.42;0.0;0.164;0.0;0.172
ENST00000494411_90_90;0.387;0.367;0.251;0.365;0.803;0.367;0.78;0.314;1.0;0.11;0.414;0.388;0.196;0.788;0.154;0.388;0.143;0.339
ENST00000495487_90_90;0.334;0.337;0.271;0.336;0.115;0.337;0.113;0.0;0.11;1.0;0.214;0.336;0.227;0.119;0.639;0.335;0.681;0.353
ENST00000544496_90_90;0.866;0.877;0.754;0.859;0.43;0.877;0.424;0.174;0.414;0.214;1.0;0.875;0.088;0.372;0.402;0.859;0.116;0.826
ENSMUST00000159917_90_90;0.99;0.998;0.876;0.978;0.388;0.998;0.372;0.164;0.388;0.336;0.875;1.0;0.078;0.33;0.48;0.98;0.23;0.951
ENSMUST00000159977_90_90;0.077;0.077;0.0;0.077;0.196;0.077;0.186;0.0;0.196;0.227;0.088;0.078;1.0;0.21;0.126;0.078;0.335;0.082
ENSMUST00000161123_90_90;0.343;0.328;0.212;0.327;0.788;0.328;0.89;0.42;0.788;0.119;0.372;0.33;0.21;1.0;0.139;0.329;0.145;0.342
ENSMUST00000161428_90_90;0.522;0.525;0.403;0.523;0.154;0.525;0.145;0.0;0.154;0.639;0.402;0.48;0.126;0.139;1.0;0.478;0.372;0.502
ENSMUST00000162606_90_90;0.997;0.98;0.86;0.995;0.388;0.98;0.371;0.164;0.388;0.335;0.859;0.98;0.078;0.329;0.478;1.0;0.23;0.932
ENSMUST00000162682_90_90;0.228;0.23;0.159;0.229;0.143;0.23;0.132;0.0;0.143;0.681;0.116;0.23;0.335;0.145;0.372;0.23;1.0;0.242
ENSMUST00000163085_90_90;0.941;0.949;0.827;0.929;0.339;0.949;0.325;0.172;0.339;0.353;0.826;0.951;0.082;0.342;0.502;0.932;0.242;1.0
