;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.869;0.946;0.941;0.98;0.845;0.98;0.923;0.845;0.923;0.923;0.923;0.923;0.845;0.845;0.845;0.845
transcript7_ENSMLUG00000027828;0.869;1.0;0.882;0.882;0.819;0.938;0.819;0.833;0.938;0.833;0.833;0.833;0.833;0.938;0.938;0.938;0.938
transcript7_ENSSTOG00000019743;0.946;0.882;1.0;1.0;0.946;0.885;0.946;1.0;0.885;1.0;1.0;1.0;1.0;0.885;0.885;0.885;0.885
transcript7_ENSCCNG00000000226;0.941;0.882;1.0;1.0;0.941;0.886;0.941;1.0;0.886;1.0;1.0;1.0;1.0;0.886;0.886;0.886;0.886
transcript25_ENSMPUG00000020072;0.98;0.819;0.946;0.941;1.0;0.989;1.0;0.964;0.99;0.964;0.964;0.96;0.962;0.989;0.989;0.989;0.988
transcript25_ENSMLUG00000027828;0.845;0.938;0.885;0.886;0.989;1.0;0.989;0.96;1.0;0.96;0.96;0.932;0.959;1.0;1.0;1.0;1.0
transcript28_ENSMPUG00000020072;0.98;0.819;0.946;0.941;1.0;0.989;1.0;0.969;0.991;0.969;0.969;0.966;0.968;0.991;0.989;0.988;0.987
transcript12_ENSECAG00000007947;0.923;0.833;1.0;1.0;0.964;0.96;0.969;1.0;0.966;1.0;1.0;0.951;0.989;0.967;0.963;0.96;0.963
transcript12_ENSMLUG00000027828;0.845;0.938;0.885;0.886;0.99;1.0;0.991;0.966;1.0;0.966;0.966;0.919;0.958;1.0;1.0;1.0;1.0
transcript23_ENSECAG00000007947;0.923;0.833;1.0;1.0;0.964;0.96;0.969;1.0;0.966;1.0;1.0;0.951;0.989;0.967;0.963;0.96;0.963
transcript31_ENSECAG00000007947;0.923;0.833;1.0;1.0;0.964;0.96;0.969;1.0;0.966;1.0;1.0;0.951;0.989;0.967;0.963;0.96;0.963
transcript32_ENSECAG00000007947;0.923;0.833;1.0;1.0;0.96;0.932;0.966;0.951;0.919;0.951;0.951;1.0;0.96;0.918;0.902;0.931;0.896
transcript33_ENSECAG00000007947;0.923;0.833;1.0;1.0;0.962;0.959;0.968;0.989;0.958;0.989;0.989;0.96;1.0;0.958;0.952;0.959;0.951
transcript15_ENSMLUG00000027828;0.845;0.938;0.885;0.886;0.989;1.0;0.991;0.967;1.0;0.967;0.967;0.918;0.958;1.0;1.0;1.0;1.0
transcript16_ENSMLUG00000027828;0.845;0.938;0.885;0.886;0.989;1.0;0.989;0.963;1.0;0.963;0.963;0.902;0.952;1.0;1.0;1.0;1.0
transcript26_ENSMLUG00000027828;0.845;0.938;0.885;0.886;0.989;1.0;0.988;0.96;1.0;0.96;0.96;0.931;0.959;1.0;1.0;1.0;1.0
transcript27_ENSMLUG00000027828;0.845;0.938;0.885;0.886;0.988;1.0;0.987;0.963;1.0;0.963;0.963;0.896;0.951;1.0;1.0;1.0;1.0
