;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.926;0.887;0.956;0.887;0.887;0.887;0.21;0.064;0.031;0.118;0.253;0.372;0.286;0.092;0.163;0.155;0.356;0.481;0.184;0.887;0.821;0.275;0.856;0.539
ENSCAFT00000045366_90_90;0.926;1.0;0.96;0.887;0.96;0.96;0.96;0.193;0.059;0.029;0.11;0.233;0.345;0.264;0.085;0.237;0.143;0.33;0.445;0.169;0.96;0.893;0.254;0.795;0.578
ENST00000340022_90_90;0.887;0.96;1.0;0.926;1.0;1.0;1.0;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.237;0.143;0.302;0.478;0.169;0.922;0.857;0.254;0.763;0.543
ENST00000394503_90_90;0.956;0.887;0.926;1.0;0.926;0.926;0.926;0.21;0.064;0.031;0.118;0.253;0.407;0.286;0.092;0.163;0.155;0.326;0.518;0.184;0.851;0.786;0.275;0.819;0.504
ENST00000394505_90_90;0.887;0.96;1.0;0.926;1.0;1.0;1.0;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.237;0.143;0.302;0.478;0.169;0.922;0.857;0.254;0.763;0.543
ENST00000394507_90_90;0.887;0.96;1.0;0.926;1.0;1.0;1.0;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.237;0.143;0.302;0.478;0.169;0.922;0.857;0.254;0.763;0.543
ENST00000412043_90_90;0.887;0.96;1.0;0.926;1.0;1.0;1.0;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.237;0.143;0.302;0.478;0.169;0.922;0.857;0.254;0.763;0.543
ENST00000413688_90_90;0.21;0.193;0.193;0.21;0.193;0.193;0.193;1.0;0.324;0.155;0.559;0.792;0.479;0.699;0.46;0.0;0.775;0.505;0.376;0.902;0.193;0.209;0.613;0.22;0.311
ENST00000422347_90_90;0.064;0.059;0.059;0.064;0.059;0.059;0.059;0.324;1.0;0.484;0.579;0.253;0.152;0.223;0.701;0.0;0.415;0.161;0.118;0.357;0.059;0.064;0.195;0.067;0.097
ENST00000425073_90_90;0.031;0.029;0.029;0.031;0.029;0.029;0.029;0.155;0.484;1.0;0.278;0.122;0.073;0.107;0.338;0.0;0.201;0.077;0.058;0.172;0.029;0.031;0.094;0.033;0.047
ENST00000425919_90_90;0.118;0.11;0.11;0.118;0.11;0.11;0.11;0.559;0.579;0.278;1.0;0.445;0.27;0.392;0.823;0.0;0.728;0.284;0.212;0.623;0.11;0.118;0.344;0.124;0.175
ENST00000430102_90_90;0.253;0.233;0.233;0.253;0.233;0.233;0.233;0.792;0.253;0.122;0.445;1.0;0.599;0.881;0.361;0.0;0.609;0.635;0.468;0.711;0.233;0.252;0.77;0.266;0.384
ENST00000433016_90_90;0.372;0.345;0.375;0.407;0.375;0.375;0.375;0.479;0.152;0.073;0.27;0.599;1.0;0.679;0.217;0.0;0.366;0.794;0.78;0.428;0.345;0.371;0.62;0.392;0.585
ENST00000440209_90_90;0.286;0.264;0.264;0.286;0.264;0.264;0.264;0.699;0.223;0.107;0.392;0.881;0.679;1.0;0.319;0.0;0.537;0.72;0.53;0.627;0.264;0.285;0.874;0.301;0.434
ENST00000444960_90_90;0.092;0.085;0.085;0.092;0.085;0.085;0.085;0.46;0.701;0.338;0.823;0.361;0.217;0.319;1.0;0.0;0.593;0.229;0.17;0.509;0.085;0.092;0.279;0.098;0.139
ENST00000445516_90_90;0.163;0.237;0.237;0.163;0.237;0.237;0.237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.031;0.0;0.212;0.226;0.0;0.146;0.188
ENST00000452773_90_90;0.155;0.143;0.143;0.155;0.143;0.143;0.143;0.775;0.415;0.201;0.728;0.609;0.366;0.537;0.593;0.0;1.0;0.387;0.286;0.858;0.143;0.155;0.47;0.164;0.235
ENST00000454017_90_90;0.356;0.33;0.302;0.326;0.302;0.302;0.302;0.505;0.161;0.077;0.284;0.635;0.794;0.72;0.229;0.0;0.387;1.0;0.625;0.453;0.33;0.355;0.653;0.375;0.551
ENST00000458177_90_90;0.481;0.445;0.478;0.518;0.478;0.478;0.478;0.376;0.118;0.058;0.212;0.468;0.78;0.53;0.17;0.031;0.286;0.625;1.0;0.335;0.445;0.478;0.494;0.506;0.758
ENST00000458493_90_90;0.184;0.169;0.169;0.184;0.169;0.169;0.169;0.902;0.357;0.172;0.623;0.711;0.428;0.627;0.509;0.0;0.858;0.453;0.335;1.0;0.169;0.183;0.548;0.194;0.276
ENSMUST00000080085_90_90;0.887;0.96;0.922;0.851;0.922;0.922;0.922;0.193;0.059;0.029;0.11;0.233;0.345;0.264;0.085;0.212;0.143;0.33;0.445;0.169;1.0;0.932;0.254;0.831;0.578
ENSMUST00000171023_90_90;0.821;0.893;0.857;0.786;0.857;0.857;0.857;0.209;0.064;0.031;0.118;0.252;0.371;0.285;0.092;0.226;0.155;0.355;0.478;0.183;0.932;1.0;0.274;0.833;0.623
ENSMUST00000198079_90_90;0.275;0.254;0.254;0.275;0.254;0.254;0.254;0.613;0.195;0.094;0.344;0.77;0.62;0.874;0.279;0.0;0.47;0.653;0.494;0.548;0.254;0.274;1.0;0.288;0.41
ENSMUST00000200386_90_90;0.856;0.795;0.763;0.819;0.763;0.763;0.763;0.22;0.067;0.033;0.124;0.266;0.392;0.301;0.098;0.146;0.164;0.375;0.506;0.194;0.831;0.833;0.288;1.0;0.567
ENSMUST00000200577_90_90;0.539;0.578;0.543;0.504;0.543;0.543;0.543;0.311;0.097;0.047;0.175;0.384;0.585;0.434;0.139;0.188;0.235;0.551;0.758;0.276;0.578;0.623;0.41;0.567;1.0
