;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;;;0.954;0.895;0.238;0.557;0.954;0.656;0.947;0.634;0.947;0.884;0.125;0.427
ENSCAFT00000036937_90_90;;;0.895;0.949;0.252;0.595;0.895;0.692;0.884;0.67;0.884;0.941;0.132;0.451
ENST00000258180_90_90;0.954;0.895;;;;;;;0.904;0.611;0.904;0.847;0.12;0.413
ENST00000538274_90_90;0.895;0.949;;;;;;;0.847;0.642;0.847;0.895;0.127;0.433
ENST00000562564_90_90;0.238;0.252;;;;;;;0.25;0.114;0.25;0.267;0.0;0.0
ENST00000562580_90_90;0.557;0.595;;;;;;;0.508;0.298;0.508;0.542;0.0;0.08
ENST00000566428_90_90;0.954;0.895;;;;;;;0.904;0.611;0.904;0.847;0.12;0.413
ENST00000567328_90_90;0.656;0.692;;;;;;;0.611;0.883;0.611;0.642;0.158;0.543
ENSMUST00000034281_90_90;0.947;0.884;0.904;0.847;0.25;0.508;0.904;0.611;;;;;;
ENSMUST00000108948_90_90;0.634;0.67;0.611;0.642;0.114;0.298;0.611;0.883;;;;;;
ENSMUST00000108950_90_90;0.947;0.884;0.904;0.847;0.25;0.508;0.904;0.611;;;;;;
ENSMUST00000108951_90_90;0.884;0.941;0.847;0.895;0.267;0.542;0.847;0.642;;;;;;
ENSMUST00000132229_90_90;0.125;0.132;0.12;0.127;0.0;0.0;0.12;0.158;;;;;;
ENSMUST00000153725_90_90;0.427;0.451;0.413;0.433;0.0;0.08;0.413;0.543;;;;;;
