;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.942;0.501;0.43;0.493;0.445;0.497;0.285;0.051;0.014;0.014;0.014;0.013;0.0;0.107;0.036;0.034;0.22;0.014;0.342;0.014;0.014;0.014;0.048;0.288;0.466;0.176;0.14;0.429;0.226;0.418;0.021;0.206;0.919;0.998;0.891;0.916;0.581;0.968;0.945;0.563;0.371;0.345;0.402;0.275;0.993;0.963;0.5;0.034;0.496;0.341;0.014;0.441;0.162;0.5;0.014;0.034;0.353;0.014;0.036;0.013;0.014;0.416;0.427;0.356;0.206;0.056;0.096;0.23;0.416;0.2;0.13
ENSCAFT00000045695_90_90;0.942;1.0;0.508;0.419;0.5;0.453;0.504;0.294;0.036;0.012;0.012;0.012;0.0;0.013;0.095;0.021;0.019;0.232;0.012;0.35;0.012;0.012;0.012;0.046;0.28;0.47;0.171;0.136;0.418;0.219;0.407;0.036;0.2;0.891;0.94;0.921;0.919;0.541;0.97;0.889;0.575;0.36;0.335;0.391;0.303;0.935;0.965;0.507;0.019;0.503;0.349;0.012;0.449;0.172;0.507;0.012;0.019;0.354;0.012;0.021;0.0;0.012;0.405;0.416;0.347;0.2;0.054;0.094;0.224;0.405;0.195;0.126
ENSCAFT00000013241_90_90;0.501;0.508;1.0;0.504;0.983;0.726;0.971;0.428;0.052;0.031;0.031;0.031;0.03;0.0;0.156;0.06;0.058;0.357;0.031;0.63;0.031;0.031;0.031;0.087;0.379;0.941;0.273;0.141;0.503;0.229;0.493;0.038;0.197;0.466;0.501;0.49;0.51;0.526;0.525;0.486;0.557;0.324;0.298;0.359;0.278;0.498;0.522;0.977;0.058;0.989;0.509;0.031;0.732;0.288;0.977;0.031;0.058;0.585;0.031;0.06;0.03;0.031;0.49;0.501;0.438;0.198;0.057;0.102;0.305;0.49;0.192;0.136
ENSCAFT00000019370_90_90;0.43;0.419;0.504;1.0;0.502;0.421;0.507;0.155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.0;0.505;0.0;0.0;0.0;0.072;0.409;0.493;0.278;0.217;0.997;0.337;0.953;0.027;0.306;0.461;0.43;0.448;0.438;0.426;0.419;0.45;0.408;0.215;0.187;0.515;0.129;0.427;0.416;0.509;0.0;0.504;0.215;0.0;0.401;0.034;0.509;0.0;0.0;0.519;0.0;0.0;0.0;0.0;0.948;0.992;0.851;0.307;0.077;0.258;0.618;0.948;0.32;0.202
ENST00000253363_90_90;0.493;0.5;0.983;0.502;1.0;0.74;0.989;0.437;0.057;0.031;0.031;0.031;0.03;0.0;0.162;0.062;0.063;0.365;0.031;0.634;0.031;0.031;0.031;0.089;0.377;0.958;0.276;0.141;0.502;0.229;0.491;0.038;0.197;0.462;0.494;0.486;0.506;0.517;0.517;0.482;0.548;0.318;0.293;0.356;0.272;0.49;0.514;0.982;0.063;0.994;0.514;0.031;0.736;0.293;0.982;0.031;0.063;0.583;0.031;0.062;0.03;0.031;0.488;0.499;0.436;0.198;0.057;0.101;0.304;0.488;0.192;0.136
ENST00000338163_90_90;0.445;0.453;0.726;0.421;0.74;1.0;0.748;0.548;0.07;0.038;0.038;0.038;0.036;0.0;0.203;0.077;0.079;0.458;0.038;0.508;0.038;0.038;0.038;0.111;0.466;0.7;0.344;0.176;0.42;0.285;0.407;0.048;0.245;0.411;0.446;0.437;0.459;0.656;0.472;0.433;0.685;0.387;0.356;0.299;0.332;0.443;0.468;0.743;0.079;0.735;0.644;0.038;0.937;0.367;0.743;0.038;0.079;0.498;0.038;0.077;0.036;0.038;0.407;0.42;0.351;0.246;0.072;0.126;0.207;0.407;0.237;0.077
ENST00000361162_90_90;0.497;0.504;0.971;0.507;0.989;0.748;1.0;0.442;0.058;0.031;0.031;0.031;0.03;0.0;0.163;0.063;0.064;0.37;0.031;0.623;0.031;0.031;0.031;0.09;0.381;0.947;0.279;0.143;0.507;0.231;0.496;0.039;0.2;0.466;0.498;0.491;0.511;0.523;0.522;0.486;0.554;0.321;0.295;0.36;0.275;0.494;0.518;0.994;0.064;0.982;0.52;0.031;0.744;0.296;0.994;0.031;0.064;0.571;0.031;0.063;0.03;0.031;0.493;0.504;0.441;0.2;0.058;0.102;0.307;0.493;0.194;0.138
ENST00000374038_90_90;0.285;0.294;0.428;0.155;0.437;0.548;0.442;1.0;0.115;0.067;0.067;0.067;0.061;0.0;0.37;0.137;0.142;0.828;0.067;0.227;0.067;0.067;0.067;0.0;0.201;0.396;0.0;0.143;0.155;0.122;0.138;0.082;0.251;0.243;0.286;0.27;0.294;0.446;0.312;0.267;0.486;0.496;0.52;0.119;0.54;0.284;0.309;0.44;0.143;0.435;0.842;0.067;0.556;0.661;0.44;0.067;0.142;0.21;0.067;0.137;0.061;0.067;0.138;0.155;0.075;0.251;0.0;0.0;0.0;0.138;0.239;0.126
ENST00000397370_90_90;0.051;0.036;0.052;0.0;0.057;0.07;0.058;0.115;1.0;0.144;0.144;0.144;0.121;0.0;0.134;0.311;0.336;0.132;0.144;0.0;0.144;0.144;0.144;0.0;0.0;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.049;0.0;0.013;0.075;0.048;0.013;0.069;0.065;0.069;0.0;0.073;0.058;0.056;0.058;0.4;0.057;0.1;0.144;0.071;0.155;0.058;0.144;0.336;0.0;0.144;0.311;0.121;0.144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000403542_90_90;0.014;0.012;0.031;0.0;0.031;0.038;0.031;0.067;0.144;1.0;1.0;1.0;0.2;0.575;0.039;0.243;0.274;0.078;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.0;0.014;0.023;0.014;0.015;0.018;0.0;0.0;0.0;0.0;0.014;0.013;0.031;0.279;0.031;0.057;1.0;0.039;0.095;0.031;1.0;0.274;0.0;1.0;0.243;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000412738_90_90;0.014;0.012;0.031;0.0;0.031;0.038;0.031;0.067;0.144;1.0;1.0;1.0;0.2;0.575;0.039;0.243;0.274;0.078;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.0;0.014;0.023;0.014;0.015;0.018;0.0;0.0;0.0;0.0;0.014;0.013;0.031;0.279;0.031;0.057;1.0;0.039;0.095;0.031;1.0;0.274;0.0;1.0;0.243;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
