;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;1.0;0.667;0.667;0.045;0.5;0.0;0.0;0.667;0.154;0.565;0.154;0.478;0.407;0.043;0.269;0.045;0.321;0.955;1.0;0.318;0.727
ENST00000268049_90_90;0.667;1.0;0.917;0.043;0.667;0.0;0.0;0.917;0.24;0.609;0.348;0.4;0.696;0.042;0.417;0.043;0.52;0.63;0.667;0.2;0.5
ENST00000380324_90_90;0.667;0.917;1.0;0.043;0.739;0.042;0.042;0.917;0.292;0.609;0.292;0.4;0.625;0.087;0.478;0.043;0.583;0.63;0.667;0.2;0.5
ENST00000538686_90_90;0.045;0.043;0.043;1.0;0.0;0.0;0.0;0.043;0.0;0.071;0.0;0.0;0.062;0.0;0.0;0.0;0.067;0.048;0.045;0.0;0.0
ENST00000540797_90_90;0.5;0.667;0.739;0.0;1.0;0.056;0.056;0.667;0.389;0.476;0.316;0.526;0.375;0.118;0.647;0.059;0.333;0.462;0.5;0.263;0.65
ENST00000557884_90_90;0.0;0.0;0.042;0.0;0.056;1.0;1.0;0.0;0.111;0.0;0.0;0.0;0.0;0.333;0.083;0.0;0.062;0.0;0.0;0.0;0.0
ENST00000558157_90_90;0.0;0.0;0.042;0.0;0.056;1.0;1.0;0.0;0.111;0.0;0.0;0.0;0.0;0.333;0.083;0.0;0.062;0.0;0.0;0.0;0.0
ENST00000558285_90_90;0.667;0.917;0.917;0.043;0.667;0.0;0.0;1.0;0.24;0.609;0.292;0.4;0.625;0.042;0.417;0.043;0.52;0.63;0.667;0.2;0.5
ENST00000559192_90_90;0.154;0.24;0.292;0.0;0.389;0.111;0.111;0.24;1.0;0.0;0.6;0.0;0.333;0.111;0.583;0.0;0.438;0.16;0.154;0.364;0.2
ENST00000559257_90_90;0.565;0.609;0.609;0.071;0.476;0.0;0.0;0.609;0.0;1.0;0.0;0.625;0.304;0.067;0.19;0.071;0.208;0.522;0.565;0.105;0.5
ENST00000559276_90_90;0.154;0.348;0.292;0.0;0.316;0.0;0.0;0.292;0.6;0.0;1.0;0.0;0.5;0.0;0.462;0.0;0.438;0.16;0.154;0.25;0.143
ENST00000559711_90_90;0.478;0.4;0.4;0.0;0.526;0.0;0.0;0.4;0.0;0.625;0.0;1.0;0.12;0.077;0.211;0.083;0.038;0.435;0.478;0.118;0.556
ENST00000559771_90_90;0.407;0.696;0.625;0.062;0.375;0.0;0.0;0.625;0.333;0.304;0.5;0.12;1.0;0.0;0.5;0.0;0.722;0.423;0.407;0.278;0.231
ENST00000559873_90_90;0.043;0.042;0.087;0.0;0.118;0.333;0.333;0.042;0.111;0.067;0.0;0.077;0.0;1.0;0.083;0.0;0.062;0.045;0.043;0.0;0.059
ENST00000560070_90_90;0.269;0.417;0.478;0.0;0.647;0.083;0.083;0.417;0.583;0.19;0.462;0.211;0.5;0.083;1.0;0.0;0.444;0.28;0.269;0.385;0.35
ENST00000560202_90_90;0.045;0.043;0.043;0.0;0.059;0.0;0.0;0.043;0.0;0.071;0.0;0.083;0.0;0.0;0.0;1.0;0.0;0.048;0.045;0.0;0.062
ENST00000561442_90_90;0.321;0.52;0.583;0.067;0.333;0.062;0.062;0.52;0.438;0.208;0.438;0.038;0.722;0.062;0.444;0.0;1.0;0.333;0.321;0.222;0.148
ENSMUST00000098613_90_90;0.955;0.63;0.63;0.048;0.462;0.0;0.0;0.63;0.16;0.522;0.16;0.435;0.423;0.045;0.28;0.048;0.333;1.0;0.955;0.333;0.682
ENSMUST00000127569_90_90;1.0;0.667;0.667;0.045;0.5;0.0;0.0;0.667;0.154;0.565;0.154;0.478;0.407;0.043;0.269;0.045;0.321;0.955;1.0;0.318;0.727
ENSMUST00000139547_90_90;0.318;0.2;0.2;0.0;0.263;0.0;0.0;0.2;0.364;0.105;0.25;0.118;0.278;0.0;0.385;0.0;0.222;0.333;0.318;1.0;0.438
ENSMUST00000174387_90_90;0.727;0.5;0.5;0.0;0.65;0.0;0.0;0.5;0.2;0.5;0.143;0.556;0.231;0.059;0.35;0.062;0.148;0.682;0.727;0.438;1.0
