;ENSCAFT00000026865_90_90;ENST00000355560_90_90;ENST00000361168_90_90;ENST00000368361_90_90;ENSMUST00000090927_90_90;ENSMUST00000121212_90_90;ENSMUST00000121931_90_90;ENSMUST00000128318_90_90;ENSMUST00000148265_90_90;ENSMUST00000152205_90_90
ENSCAFT00000026865_90_90;1.0;0.778;0.889;1.0;0.8;0.9;1.0;0.4;0.6;0.1
ENST00000355560_90_90;0.778;1.0;0.875;0.778;1.0;0.875;0.778;0.375;0.625;0.143
ENST00000361168_90_90;0.889;0.875;1.0;0.889;0.875;1.0;0.889;0.5;0.75;0.125
ENST00000368361_90_90;1.0;0.778;0.889;1.0;0.778;0.889;1.0;0.444;0.667;0.111
ENSMUST00000090927_90_90;0.8;1.0;0.875;0.778;1.0;0.889;0.8;0.333;0.556;0.125
ENSMUST00000121212_90_90;0.9;0.875;1.0;0.889;0.889;1.0;0.9;0.444;0.667;0.111
ENSMUST00000121931_90_90;1.0;0.778;0.889;1.0;0.8;0.9;1.0;0.4;0.6;0.1
ENSMUST00000128318_90_90;0.4;0.375;0.5;0.444;0.333;0.444;0.4;1.0;0.667;0.25
ENSMUST00000148265_90_90;0.6;0.625;0.75;0.667;0.556;0.667;0.6;0.667;1.0;0.167
ENSMUST00000152205_90_90;0.1;0.143;0.125;0.111;0.125;0.111;0.1;0.25;0.167;1.0
