;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.979;1.0;0.889;0.639;0.694;0.694;0.389;0.978;1.0;0.979;0.022;0.745;0.234;0.37;0.5;0.743;0.743;0.686;1.0;0.979;1.0
ENSCAFT00000016916_90_90;0.979;1.0;1.0;0.889;0.639;0.694;0.694;0.389;0.957;0.979;1.0;0.021;0.766;0.255;0.362;0.489;0.743;0.743;0.686;1.0;1.0;0.979
ENSCAFT00000023521_90_90;1.0;1.0;1.0;0.976;0.78;0.805;0.805;0.366;1.0;1.0;1.0;0.031;0.719;0.219;0.406;0.5;0.805;0.805;0.78;1.0;1.0;1.0
ENST00000342558_90_90;0.889;0.889;0.976;1.0;0.723;0.708;0.694;0.283;0.886;0.886;0.886;0.032;0.629;0.226;0.419;0.429;0.688;0.673;0.702;0.936;0.889;0.889
ENST00000360663_90_90;0.639;0.639;0.78;0.723;1.0;0.921;0.947;0.405;0.629;0.629;0.629;0.045;0.371;0.318;0.591;0.577;0.895;0.921;0.972;0.673;0.639;0.639
ENST00000394828_90_90;0.694;0.694;0.805;0.708;0.921;1.0;0.974;0.429;0.686;0.686;0.686;0.042;0.429;0.292;0.542;0.654;0.973;0.947;0.895;0.729;0.694;0.694
ENST00000394829_90_90;0.694;0.694;0.805;0.694;0.947;0.974;1.0;0.452;0.686;0.686;0.686;0.042;0.429;0.292;0.542;0.654;0.947;0.974;0.921;0.714;0.694;0.694
ENST00000430762_90_90;0.389;0.389;0.366;0.283;0.405;0.429;0.452;1.0;0.4;0.4;0.4;0.0;0.538;0.0;0.125;0.375;0.474;0.5;0.447;0.347;0.389;0.389
ENST00000323055_90_90;0.978;0.957;1.0;0.886;0.629;0.686;0.686;0.4;1.0;0.979;0.958;0.043;0.708;0.229;0.391;0.522;0.735;0.735;0.676;1.0;0.957;0.978
ENST00000394853_90_90;1.0;0.979;1.0;0.886;0.629;0.686;0.686;0.4;0.979;1.0;0.979;0.042;0.729;0.25;0.383;0.511;0.735;0.735;0.676;1.0;0.979;1.0
ENST00000394854_90_90;0.979;1.0;1.0;0.886;0.629;0.686;0.686;0.4;0.958;0.979;1.0;0.041;0.75;0.271;0.375;0.5;0.735;0.735;0.676;1.0;1.0;0.979
ENST00000492351_90_90;0.022;0.021;0.031;0.032;0.045;0.042;0.042;0.0;0.043;0.042;0.041;1.0;0.0;0.143;0.105;0.08;0.04;0.04;0.043;0.029;0.021;0.022
ENST00000507176_90_90;0.745;0.766;0.719;0.629;0.371;0.429;0.429;0.538;0.708;0.729;0.75;0.0;1.0;0.089;0.174;0.304;0.471;0.471;0.412;0.735;0.766;0.745
ENST00000512215_90_90;0.234;0.255;0.219;0.226;0.318;0.292;0.292;0.0;0.229;0.25;0.271;0.143;0.089;1.0;0.292;0.233;0.28;0.28;0.304;0.206;0.255;0.234
ENST00000525819_90_90;0.37;0.362;0.406;0.419;0.591;0.542;0.542;0.125;0.391;0.383;0.375;0.105;0.174;0.292;1.0;0.75;0.52;0.52;0.565;0.382;0.362;0.37
ENST00000529324_90_90;0.5;0.489;0.5;0.429;0.577;0.654;0.654;0.375;0.522;0.511;0.5;0.08;0.304;0.233;0.75;1.0;0.72;0.72;0.64;0.529;0.489;0.5
ENSMUST00000022355_90_90;0.743;0.743;0.805;0.688;0.895;0.973;0.947;0.474;0.735;0.735;0.735;0.04;0.471;0.28;0.52;0.72;1.0;0.974;0.921;0.75;0.743;0.743
ENSMUST00000159027_90_90;0.743;0.743;0.805;0.673;0.921;0.947;0.974;0.5;0.735;0.735;0.735;0.04;0.471;0.28;0.52;0.72;0.974;1.0;0.947;0.735;0.743;0.743
ENSMUST00000161445_90_90;0.686;0.686;0.78;0.702;0.972;0.895;0.921;0.447;0.676;0.676;0.676;0.043;0.412;0.304;0.565;0.64;0.921;0.947;1.0;0.694;0.686;0.686
ENSMUST00000161989_90_90;1.0;1.0;1.0;0.936;0.673;0.729;0.714;0.347;1.0;1.0;1.0;0.029;0.735;0.206;0.382;0.529;0.75;0.735;0.694;1.0;1.0;1.0
ENSMUST00000056758_90_90;0.979;1.0;1.0;0.889;0.639;0.694;0.694;0.389;0.957;0.979;1.0;0.021;0.766;0.255;0.362;0.489;0.743;0.743;0.686;1.0;1.0;0.979
ENSMUST00000070198_90_90;1.0;0.979;1.0;0.889;0.639;0.694;0.694;0.389;0.978;1.0;0.979;0.022;0.745;0.234;0.37;0.5;0.743;0.743;0.686;1.0;0.979;1.0
