;ENSCAFT00000023990_90_90;ENST00000220429_90_90;ENST00000359031_90_90;ENST00000380877_90_90;ENST00000396464_90_90;ENST00000429662_90_90;ENST00000543881_90_90;ENST00000558335_90_90;ENST00000558970_90_90;ENST00000560825_90_90;ENST00000561010_90_90;ENSMUST00000039978_90_90;ENSMUST00000089745_90_90;ENSMUST00000103226_90_90;ENSMUST00000103227_90_90;ENSMUST00000110424_90_90;ENSMUST00000110425_90_90;ENSMUST00000124972_90_90;ENSMUST00000137335_90_90
ENSCAFT00000023990_90_90;1.0;1.0;0.875;0.938;0.875;0.938;0.812;0.312;0.25;0.812;0.562;0.917;1.0;0.917;0.917;0.917;0.917;0.167;0.083
ENST00000220429_90_90;1.0;1.0;0.739;0.818;0.739;0.913;0.818;0.273;0.227;0.696;0.609;0.941;1.0;0.941;0.941;0.941;0.941;0.176;0.118
ENST00000359031_90_90;0.875;0.739;1.0;0.895;1.0;0.818;0.565;0.333;0.278;0.944;0.435;0.706;0.765;0.706;0.706;0.706;0.706;0.231;0.154
ENST00000380877_90_90;0.938;0.818;0.895;1.0;0.895;0.739;0.636;0.333;0.278;0.842;0.435;0.706;0.765;0.706;0.706;0.706;0.706;0.231;0.154
ENST00000396464_90_90;0.875;0.739;1.0;0.895;1.0;0.818;0.565;0.333;0.278;0.944;0.435;0.706;0.765;0.706;0.706;0.706;0.706;0.231;0.154
ENST00000429662_90_90;0.938;0.913;0.818;0.739;0.818;1.0;0.739;0.273;0.227;0.773;0.609;0.941;1.0;0.941;0.941;0.941;0.941;0.176;0.118
ENST00000543881_90_90;0.812;0.818;0.565;0.636;0.565;0.739;1.0;0.091;0.045;0.522;0.737;0.706;0.765;0.706;0.706;0.706;0.706;0.0;0.0
ENST00000558335_90_90;0.312;0.273;0.333;0.333;0.333;0.273;0.091;1.0;0.833;0.353;0.0;0.375;0.353;0.375;0.375;0.375;0.375;0.5;0.333
ENST00000558970_90_90;0.25;0.227;0.278;0.278;0.278;0.227;0.045;0.833;1.0;0.294;0.0;0.312;0.294;0.312;0.312;0.312;0.312;0.6;0.4
ENST00000560825_90_90;0.812;0.696;0.944;0.842;0.944;0.773;0.522;0.353;0.294;1.0;0.391;0.706;0.765;0.706;0.706;0.706;0.706;0.231;0.154
ENST00000561010_90_90;0.562;0.609;0.435;0.435;0.435;0.609;0.737;0.0;0.0;0.391;1.0;0.529;0.588;0.529;0.529;0.529;0.529;0.0;0.0
ENSMUST00000039978_90_90;0.917;0.941;0.706;0.706;0.706;0.941;0.706;0.375;0.312;0.706;0.529;1.0;0.87;0.957;0.913;0.913;0.875;0.136;0.091
ENSMUST00000089745_90_90;1.0;1.0;0.765;0.765;0.765;1.0;0.765;0.353;0.294;0.765;0.588;0.87;1.0;0.833;0.87;0.87;0.833;0.143;0.095
ENSMUST00000103226_90_90;0.917;0.941;0.706;0.706;0.706;0.941;0.706;0.375;0.312;0.706;0.529;0.957;0.833;1.0;0.875;0.875;0.917;0.13;0.087
ENSMUST00000103227_90_90;0.917;0.941;0.706;0.706;0.706;0.941;0.706;0.375;0.312;0.706;0.529;0.913;0.87;0.875;1.0;1.0;0.957;0.136;0.091
ENSMUST00000110424_90_90;0.917;0.941;0.706;0.706;0.706;0.941;0.706;0.375;0.312;0.706;0.529;0.913;0.87;0.875;1.0;1.0;0.957;0.136;0.091
ENSMUST00000110425_90_90;0.917;0.941;0.706;0.706;0.706;0.941;0.706;0.375;0.312;0.706;0.529;0.875;0.833;0.917;0.957;0.957;1.0;0.13;0.087
ENSMUST00000124972_90_90;0.167;0.176;0.231;0.231;0.231;0.176;0.0;0.5;0.6;0.231;0.0;0.136;0.143;0.13;0.136;0.136;0.13;1.0;0.667
ENSMUST00000137335_90_90;0.083;0.118;0.154;0.154;0.154;0.118;0.0;0.333;0.4;0.154;0.0;0.091;0.095;0.087;0.091;0.091;0.087;0.667;1.0
