;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.517;0.553;0.866;0.57;0.865;0.865;0.862;0.806;0.727;0.669;0.235;0.955;0.898;0.329;0.784;0.51;0.559;0.228;0.547;0.568;0.568;0.512;0.1;0.276;0.214;0.632;0.196;0.1;0.336;0.522;0.238;0.379;0.955;0.168;0.119;0.349;0.898;0.894;0.956;0.842;0.784;0.757;0.517;0.566;0.553;0.731;0.868;0.129;0.731;0.46;0.163;0.868;0.115;0.516;0.574;0.574;0.574;0.574;0.574;0.274;0.574;0.011;0.023
ENSCAFT00000013439_90_90;0.517;1.0;0.849;0.485;0.607;0.485;0.485;0.484;0.44;0.532;0.483;0.125;0.508;0.492;0.131;0.563;0.751;0.847;0.227;0.816;0.6;0.6;0.569;0.073;0.253;0.19;0.548;0.171;0.073;0.315;0.589;0.214;0.359;0.508;0.016;0.097;0.148;0.492;0.46;0.507;0.446;0.563;0.351;0.781;0.882;0.849;0.535;0.486;0.107;0.535;0.257;0.016;0.486;0.011;0.569;0.607;0.607;0.607;0.607;0.607;0.252;0.607;0.002;0.002
ENSCAFT00000037016_90_90;0.553;0.849;1.0;0.517;0.652;0.516;0.516;0.515;0.469;0.572;0.519;0.136;0.544;0.524;0.141;0.608;0.816;0.919;0.248;0.96;0.644;0.644;0.613;0.08;0.277;0.208;0.595;0.188;0.08;0.345;0.634;0.235;0.394;0.544;0.018;0.106;0.16;0.524;0.493;0.543;0.476;0.608;0.376;0.849;0.958;1.0;0.575;0.518;0.117;0.575;0.278;0.017;0.518;0.011;0.613;0.651;0.651;0.651;0.651;0.651;0.276;0.651;0.002;0.002
ENSCAFT00000021145_90_90;0.866;0.485;0.517;1.0;0.569;0.999;0.999;0.995;0.939;0.836;0.779;0.215;0.833;0.966;0.282;0.696;0.48;0.521;0.203;0.511;0.568;0.568;0.487;0.089;0.245;0.19;0.566;0.174;0.089;0.299;0.525;0.211;0.337;0.833;0.141;0.106;0.3;0.966;0.779;0.834;0.911;0.696;0.658;0.485;0.528;0.517;0.839;0.998;0.114;0.839;0.427;0.16;0.998;0.116;0.491;0.572;0.572;0.572;0.572;0.572;0.244;0.572;0.01;0.021
ENSCAFT00000025193_90_90;0.57;0.607;0.652;0.569;1.0;0.568;0.568;0.566;0.523;0.631;0.582;0.172;0.562;0.574;0.133;0.627;0.628;0.691;0.225;0.675;0.979;0.979;0.872;0.1;0.268;0.209;0.619;0.192;0.1;0.326;0.916;0.232;0.367;0.562;0.012;0.106;0.149;0.574;0.514;0.56;0.528;0.627;0.407;0.607;0.667;0.652;0.635;0.569;0.115;0.635;0.25;0.012;0.569;0.0;0.87;0.985;0.985;0.985;0.985;0.985;0.267;0.985;0.011;0.022
ENST00000302271_90_90;0.865;0.485;0.516;0.999;0.568;1.0;1.0;0.995;0.94;0.836;0.78;0.215;0.832;0.965;0.282;0.695;0.479;0.521;0.203;0.51;0.567;0.567;0.487;0.089;0.245;0.19;0.565;0.174;0.089;0.298;0.524;0.211;0.336;0.832;0.141;0.106;0.3;0.965;0.778;0.833;0.91;0.695;0.658;0.485;0.527;0.516;0.838;0.997;0.114;0.838;0.426;0.16;0.997;0.116;0.49;0.571;0.571;0.571;0.571;0.571;0.244;0.571;0.01;0.021
ENST00000374612_90_90;0.865;0.485;0.516;0.999;0.568;1.0;1.0;0.995;0.94;0.836;0.78;0.215;0.832;0.965;0.282;0.695;0.479;0.521;0.203;0.51;0.567;0.567;0.487;0.089;0.245;0.19;0.565;0.174;0.089;0.298;0.524;0.211;0.336;0.832;0.141;0.106;0.3;0.965;0.778;0.833;0.91;0.695;0.658;0.485;0.527;0.516;0.838;0.997;0.114;0.838;0.426;0.16;0.997;0.116;0.49;0.571;0.571;0.571;0.571;0.571;0.244;0.571;0.01;0.021
ENST00000374616_90_90;0.862;0.484;0.515;0.995;0.566;0.995;0.995;1.0;0.936;0.841;0.777;0.214;0.829;0.961;0.281;0.692;0.478;0.519;0.202;0.509;0.566;0.566;0.485;0.088;0.244;0.189;0.563;0.173;0.088;0.297;0.523;0.21;0.335;0.829;0.14;0.105;0.298;0.961;0.776;0.83;0.907;0.692;0.655;0.484;0.526;0.515;0.835;0.994;0.114;0.835;0.425;0.159;0.994;0.115;0.489;0.57;0.57;0.57;0.57;0.57;0.243;0.57;0.01;0.02
ENST00000427764_90_90;0.806;0.44;0.469;0.939;0.523;0.94;0.94;0.936;1.0;0.777;0.83;0.228;0.774;0.905;0.223;0.636;0.435;0.472;0.146;0.463;0.522;0.522;0.441;0.053;0.189;0.134;0.511;0.118;0.053;0.242;0.483;0.155;0.281;0.774;0.149;0.06;0.24;0.905;0.72;0.775;0.85;0.636;0.6;0.44;0.478;0.469;0.778;0.937;0.054;0.778;0.366;0.17;0.937;0.123;0.445;0.526;0.526;0.526;0.526;0.526;0.188;0.526;0.011;0.022
ENST00000478691_90_90;0.727;0.532;0.572;0.836;0.631;0.836;0.836;0.841;0.777;1.0;0.923;0.254;0.696;0.826;0.137;0.82;0.548;0.603;0.239;0.589;0.63;0.63;0.539;0.089;0.27;0.206;0.642;0.188;0.089;0.333;0.601;0.231;0.378;0.696;0.0;0.125;0.155;0.826;0.641;0.697;0.771;0.82;0.519;0.532;0.585;0.572;0.993;0.835;0.135;0.993;0.266;0.001;0.835;0.0;0.544;0.635;0.635;0.635;0.635;0.635;0.269;0.635;0.0;0.009
