;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.446;0.394;0.433;0.241;0.127;0.397;0.408;0.034;0.948;0.746
ENST00000360057_90_90;0.446;1.0;0.48;0.798;0.064;0.166;0.525;0.686;0.352;0.295;0.322
ENST00000378098_90_90;0.394;0.48;1.0;0.599;0.107;0.332;0.306;0.695;0.049;0.434;0.504
ENST00000378099_90_90;0.433;0.798;0.599;1.0;0.076;0.208;0.634;0.486;0.176;0.335;0.372
ENST00000482940_90_90;0.241;0.064;0.107;0.076;1.0;0.19;0.286;0.085;0.0;0.241;0.056
ENST00000489798_90_90;0.127;0.166;0.332;0.208;0.19;1.0;0.214;0.242;0.0;0.127;0.129
ENST00000538212_90_90;0.397;0.525;0.306;0.634;0.286;0.214;1.0;0.257;0.18;0.307;0.188
ENST00000552881_90_90;0.408;0.686;0.695;0.486;0.085;0.242;0.257;1.0;0.252;0.361;0.406
ENST00000639328_90_90;0.034;0.352;0.049;0.176;0.0;0.0;0.18;0.252;1.0;0.034;0.039
ENSMUST00000067888_90_90;0.948;0.295;0.434;0.335;0.241;0.127;0.307;0.361;0.034;1.0;0.798
ENSMUST00000114644_90_90;0.746;0.322;0.504;0.372;0.056;0.129;0.188;0.406;0.039;0.798;1.0
