;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.969;1.0;0.746;1.0;1.0;0.969;0.979;0.941;1.0;0.994;1.0;1.0;0.994;0.994;0.994;0.994;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;0.969;1.0;0.746;0.951;1.0;0.969;0.979;0.941;0.453;0.584;0.439;0.439;0.441;0.566;0.441;0.441;0.439
transcript8_ENSRNOG00000031503;0.969;0.969;1.0;0.996;0.763;0.996;0.969;1.0;0.945;0.918;0.419;0.506;0.408;0.408;0.411;0.488;0.411;0.411;0.408
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;0.996;1.0;1.0;1.0;1.0;0.996;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;0.746;0.746;0.763;1.0;1.0;0.914;0.746;0.763;0.74;0.803;0.312;0.393;0.282;0.282;0.286;0.379;0.286;0.286;0.282
transcript47_ENSMUGG00000013649;1.0;0.951;0.996;1.0;0.914;1.0;0.951;0.996;0.9;0.914;0.378;0.382;0.361;0.361;0.364;0.364;0.364;0.364;0.361
transcript42_ENSMUSG00000054036;1.0;1.0;0.969;1.0;0.746;0.951;1.0;0.974;0.983;0.95;0.488;0.621;0.48;0.48;0.479;0.603;0.479;0.479;0.48
transcript42_ENSRNOG00000031503;0.969;0.969;1.0;0.996;0.763;0.996;0.974;1.0;0.953;0.931;0.452;0.543;0.447;0.447;0.448;0.525;0.448;0.448;0.447
transcript54_ENSMUSG00000054036;0.979;0.979;0.945;1.0;0.74;0.9;0.983;0.953;1.0;0.964;0.452;0.587;0.448;0.448;0.447;0.569;0.447;0.447;0.448
transcript55_ENSMUSG00000054036;0.941;0.941;0.918;1.0;0.803;0.914;0.95;0.931;0.964;1.0;0.447;0.58;0.441;0.441;0.443;0.562;0.443;0.443;0.441
transcript7_ENSMUGG00000013649;1.0;0.453;0.419;1.0;0.312;0.378;0.488;0.452;0.452;0.447;1.0;0.938;0.99;0.99;0.979;0.928;0.919;0.837;0.99
transcript7_ENSMUGG00000013592;0.994;0.584;0.506;1.0;0.393;0.382;0.621;0.543;0.587;0.58;0.938;1.0;0.918;0.914;0.934;0.992;0.877;0.798;0.844
transcript44_ENSMUGG00000013649;1.0;0.439;0.408;1.0;0.282;0.361;0.48;0.447;0.448;0.441;0.99;0.918;1.0;1.0;0.987;0.926;0.929;0.849;1.0
transcript48_ENSMUGG00000013649;1.0;0.439;0.408;1.0;0.282;0.361;0.48;0.447;0.448;0.441;0.99;0.914;1.0;1.0;0.987;0.923;0.926;0.842;1.0
transcript28_ENSMUGG00000013592;0.994;0.441;0.411;1.0;0.286;0.364;0.479;0.448;0.447;0.443;0.979;0.934;0.987;0.987;1.0;0.942;0.944;0.867;0.905
transcript52_ENSMUGG00000013592;0.994;0.566;0.488;1.0;0.379;0.364;0.603;0.525;0.569;0.562;0.928;0.992;0.926;0.923;0.942;1.0;0.885;0.806;0.851
transcript53_ENSMUGG00000013592;0.994;0.441;0.411;1.0;0.286;0.364;0.479;0.448;0.447;0.443;0.919;0.877;0.929;0.926;0.944;0.885;1.0;0.913;0.855
transcript54_ENSMUGG00000013592;0.994;0.441;0.411;1.0;0.286;0.364;0.479;0.448;0.447;0.443;0.837;0.798;0.849;0.842;0.867;0.806;0.913;1.0;0.785
transcript25_ENSPEMG00000024651;1.0;0.439;0.408;1.0;0.282;0.361;0.48;0.447;0.448;0.441;0.99;0.844;1.0;1.0;0.905;0.851;0.855;0.785;1.0
