;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;0.43;0.486;0.982;0.991;0.464;0.023;0.991;0.59;0.027;0.636;0.368;0.321;0.293;0.342;0.233;0.319;0.368;0.342;0.293;0.064;0.036;0.225;0.195;0.0;0.17;0.437;0.372;0.43;0.437;0.374;0.381;0.995;0.86;0.928;0.208;0.032;0.987;0.995;0.476;0.46;0.519;0.498;0.519;0.542;0.539;0.46;0.435;0.429;0.371;0.077;0.032;0.122;0.429;0.435;0.122
ENSCAFT00000019817_90_90;0.43;1.0;0.233;0.427;0.43;0.316;0.0;0.43;0.389;0.0;0.376;0.316;0.287;0.167;0.311;0.13;0.293;0.316;0.311;0.167;0.066;0.0;0.125;0.16;0.0;0.098;0.96;0.887;0.987;0.96;0.607;0.607;0.429;0.377;0.413;0.153;0.0;0.425;0.429;0.41;0.402;0.439;0.42;0.439;0.448;0.445;0.402;0.928;0.954;0.856;0.107;0.04;0.149;0.954;0.928;0.149
ENSCAFT00000022132_90_90;0.486;0.233;1.0;0.487;0.48;0.097;0.016;0.48;0.188;0.021;0.222;0.348;0.373;0.476;0.371;0.382;0.354;0.348;0.371;0.476;0.106;0.041;0.253;0.075;0.0;0.19;0.236;0.182;0.233;0.236;0.294;0.294;0.484;0.396;0.449;0.203;0.026;0.491;0.484;0.397;0.394;0.37;0.388;0.37;0.362;0.363;0.394;0.235;0.232;0.182;0.089;0.037;0.141;0.232;0.235;0.141
ENST00000257414_90_90;0.982;0.427;0.487;1.0;0.991;0.453;0.023;0.991;0.592;0.027;0.631;0.37;0.323;0.3;0.348;0.24;0.325;0.37;0.348;0.3;0.059;0.036;0.223;0.189;0.0;0.168;0.434;0.369;0.427;0.434;0.371;0.377;0.978;0.852;0.912;0.201;0.032;0.987;0.978;0.477;0.461;0.521;0.5;0.521;0.543;0.54;0.461;0.432;0.425;0.368;0.077;0.032;0.121;0.425;0.432;0.121
ENST00000343348_90_90;0.991;0.43;0.48;0.991;1.0;0.457;0.023;1.0;0.597;0.027;0.636;0.364;0.317;0.293;0.342;0.233;0.319;0.364;0.342;0.293;0.06;0.036;0.225;0.19;0.0;0.17;0.437;0.372;0.43;0.437;0.374;0.381;0.986;0.86;0.92;0.203;0.032;0.978;0.986;0.471;0.455;0.514;0.494;0.514;0.537;0.534;0.455;0.435;0.429;0.371;0.077;0.032;0.122;0.429;0.435;0.122
ENST00000503865_90_90;0.464;0.316;0.097;0.453;0.457;1.0;0.0;0.457;0.75;0.0;0.713;0.172;0.116;0.028;0.103;0.0;0.105;0.172;0.103;0.028;0.039;0.0;0.0;0.291;0.0;0.0;0.323;0.343;0.316;0.323;0.216;0.224;0.462;0.526;0.486;0.007;0.0;0.458;0.462;0.236;0.217;0.285;0.261;0.285;0.31;0.307;0.217;0.321;0.314;0.341;0.0;0.0;0.0;0.314;0.321;0.0
ENST00000509665_90_90;0.023;0.0;0.016;0.023;0.023;0.0;1.0;0.023;0.0;0.833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023;0.026;0.024;0.0;0.714;0.022;0.023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000510263_90_90;0.991;0.43;0.48;0.991;1.0;0.457;0.023;1.0;0.597;0.027;0.636;0.364;0.317;0.293;0.342;0.233;0.319;0.364;0.342;0.293;0.06;0.036;0.225;0.19;0.0;0.17;0.437;0.372;0.43;0.437;0.374;0.381;0.986;0.86;0.92;0.203;0.032;0.978;0.986;0.471;0.455;0.514;0.494;0.514;0.537;0.534;0.455;0.435;0.429;0.371;0.077;0.032;0.122;0.429;0.435;0.122
ENST00000513137_90_90;0.59;0.389;0.188;0.592;0.597;0.75;0.0;0.597;1.0;0.0;0.596;0.211;0.158;0.092;0.181;0.0;0.156;0.211;0.181;0.092;0.095;0.0;0.0;0.297;0.0;0.0;0.397;0.315;0.389;0.397;0.308;0.316;0.587;0.459;0.626;0.192;0.0;0.582;0.587;0.309;0.291;0.357;0.333;0.357;0.382;0.378;0.291;0.395;0.387;0.314;0.0;0.0;0.0;0.387;0.395;0.0
ENST00000515009_90_90;0.027;0.0;0.021;0.027;0.027;0.0;0.833;0.027;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;0.031;0.029;0.0;0.857;0.027;0.027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
