;ENSCAFT00000017823_90_90;ENST00000257075_90_90;ENST00000373741_90_90;ENST00000373742_90_90;ENST00000373747_90_90;ENST00000424085_90_90;ENST00000426105_90_90;ENST00000440538_90_90;ENST00000480602_90_90;ENST00000498419_90_90;ENST00000525843_90_90;ENST00000525948_90_90;ENST00000525997_90_90;ENST00000526215_90_90;ENST00000527498_90_90;ENST00000529846_90_90;ENST00000530669_90_90;ENST00000531867_90_90;ENST00000532678_90_90;ENSMUST00000030315_90_90;ENSMUST00000097862_90_90;ENSMUST00000097864_90_90;ENSMUST00000105991_90_90;ENSMUST00000105992_90_90;ENSMUST00000143277_90_90
ENSCAFT00000017823_90_90;1.0;0.974;0.947;0.868;0.977;0.771;0.976;0.999;0.104;0.725;0.896;0.081;0.186;0.081;0.077;0.196;0.043;0.083;0.227;0.977;0.976;0.975;0.771;0.896;0.188
ENST00000257075_90_90;0.974;1.0;0.969;0.891;0.997;0.796;0.998;0.975;0.102;0.745;0.92;0.079;0.183;0.079;0.076;0.19;0.042;0.081;0.223;0.997;0.998;0.999;0.795;0.917;0.183
ENST00000373741_90_90;0.947;0.969;1.0;0.919;0.97;0.771;0.971;0.948;0.099;0.725;0.917;0.077;0.177;0.077;0.074;0.186;0.041;0.078;0.216;0.969;0.97;0.968;0.771;0.892;0.178
ENST00000373742_90_90;0.868;0.891;0.919;1.0;0.891;0.838;0.89;0.869;0.107;0.785;0.841;0.083;0.192;0.083;0.08;0.2;0.044;0.085;0.235;0.89;0.889;0.891;0.837;0.965;0.193
ENST00000373747_90_90;0.977;0.997;0.97;0.891;1.0;0.794;0.999;0.977;0.102;0.748;0.919;0.079;0.182;0.079;0.076;0.191;0.042;0.081;0.222;0.999;0.999;0.997;0.793;0.918;0.183
ENST00000424085_90_90;0.771;0.796;0.771;0.838;0.794;1.0;0.795;0.771;0.128;0.767;0.719;0.1;0.23;0.1;0.095;0.239;0.053;0.102;0.149;0.793;0.794;0.795;0.999;0.864;0.23
ENST00000426105_90_90;0.976;0.998;0.971;0.89;0.999;0.795;1.0;0.976;0.102;0.747;0.918;0.079;0.182;0.079;0.076;0.192;0.042;0.081;0.223;0.999;0.999;0.998;0.794;0.919;0.183
ENST00000440538_90_90;0.999;0.975;0.948;0.869;0.977;0.771;0.976;1.0;0.104;0.725;0.897;0.081;0.186;0.081;0.077;0.196;0.043;0.083;0.227;0.977;0.976;0.974;0.771;0.895;0.187
ENST00000480602_90_90;0.104;0.102;0.099;0.107;0.102;0.128;0.102;0.104;1.0;0.0;0.107;0.694;0.0;0.694;0.0;0.0;0.0;0.774;0.0;0.102;0.102;0.102;0.128;0.111;0.548
ENST00000498419_90_90;0.725;0.745;0.725;0.785;0.748;0.767;0.747;0.725;0.0;1.0;0.671;0.0;0.241;0.0;0.1;0.253;0.055;0.0;0.27;0.748;0.747;0.745;0.767;0.812;0.071
ENST00000525843_90_90;0.896;0.92;0.917;0.841;0.919;0.719;0.918;0.897;0.107;0.671;1.0;0.084;0.193;0.084;0.02;0.2;0.044;0.085;0.235;0.919;0.918;0.919;0.718;0.838;0.194
ENST00000525948_90_90;0.081;0.079;0.077;0.083;0.079;0.1;0.079;0.081;0.694;0.0;0.084;1.0;0.0;1.0;0.0;0.0;0.0;0.887;0.0;0.079;0.079;0.079;0.1;0.086;0.431
ENST00000525997_90_90;0.186;0.183;0.177;0.192;0.182;0.23;0.182;0.186;0.0;0.241;0.193;0.0;1.0;0.0;0.0;0.648;0.168;0.0;0.0;0.182;0.182;0.183;0.23;0.198;0.0
ENST00000526215_90_90;0.081;0.079;0.077;0.083;0.079;0.1;0.079;0.081;0.694;0.0;0.084;1.0;0.0;1.0;0.0;0.0;0.0;0.887;0.0;0.079;0.079;0.079;0.1;0.086;0.431
ENST00000527498_90_90;0.077;0.076;0.074;0.08;0.076;0.095;0.076;0.077;0.0;0.1;0.02;0.0;0.0;0.0;1.0;0.011;0.0;0.0;0.0;0.076;0.076;0.076;0.095;0.082;0.0
ENST00000529846_90_90;0.196;0.19;0.186;0.2;0.191;0.239;0.192;0.196;0.0;0.253;0.2;0.0;0.648;0.0;0.011;1.0;0.031;0.0;0.0;0.191;0.192;0.19;0.239;0.208;0.0
ENST00000530669_90_90;0.043;0.042;0.041;0.044;0.042;0.053;0.042;0.043;0.0;0.055;0.044;0.0;0.168;0.0;0.0;0.031;1.0;0.0;0.0;0.042;0.042;0.042;0.053;0.046;0.0
ENST00000531867_90_90;0.083;0.081;0.078;0.085;0.081;0.102;0.081;0.083;0.774;0.0;0.085;0.887;0.0;0.887;0.0;0.0;0.0;1.0;0.0;0.081;0.081;0.081;0.102;0.088;0.44
ENST00000532678_90_90;0.227;0.223;0.216;0.235;0.222;0.149;0.223;0.227;0.0;0.27;0.235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.222;0.222;0.223;0.149;0.242;0.09
ENSMUST00000030315_90_90;0.977;0.997;0.969;0.89;0.999;0.793;0.999;0.977;0.102;0.748;0.919;0.079;0.182;0.079;0.076;0.191;0.042;0.081;0.222;1.0;0.999;0.997;0.794;0.918;0.183
ENSMUST00000097862_90_90;0.976;0.998;0.97;0.889;0.999;0.794;0.999;0.976;0.102;0.747;0.918;0.079;0.182;0.079;0.076;0.192;0.042;0.081;0.222;0.999;1.0;0.998;0.795;0.919;0.184
ENSMUST00000097864_90_90;0.975;0.999;0.968;0.891;0.997;0.795;0.998;0.974;0.102;0.745;0.919;0.079;0.183;0.079;0.076;0.19;0.042;0.081;0.223;0.997;0.998;1.0;0.796;0.918;0.184
ENSMUST00000105991_90_90;0.771;0.795;0.771;0.837;0.793;0.999;0.794;0.771;0.128;0.767;0.718;0.1;0.23;0.1;0.095;0.239;0.053;0.102;0.149;0.794;0.795;0.796;1.0;0.864;0.231
ENSMUST00000105992_90_90;0.896;0.917;0.892;0.965;0.918;0.864;0.919;0.895;0.111;0.812;0.838;0.086;0.198;0.086;0.082;0.208;0.046;0.088;0.242;0.918;0.919;0.918;0.864;1.0;0.2
ENSMUST00000143277_90_90;0.188;0.183;0.178;0.193;0.183;0.23;0.183;0.187;0.548;0.071;0.194;0.431;0.0;0.431;0.0;0.0;0.0;0.44;0.09;0.183;0.184;0.184;0.231;0.2;1.0
