;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENSCAFT00000006204_90_90;;0.722;0.913;0.925;0.121;0.883;0.895;0.659;0.075;0.659;0.326;0.122;0.057;0.158;0.055;0.199;0.676;0.215;0.057;0.049;0.128;0.961;0.769;0.126;0.722;0.93;0.794;0.913;0.883
ENST00000361556_90_90;0.722;;;;;;;;;;;;;;;;;;;;;0.722;0.938;0.0;1.0;0.744;0.845;0.755;0.728
ENST00000371714_90_90;0.913;;;;;;;;;;;;;;;;;;;;;0.913;0.722;0.134;0.755;0.883;0.796;0.958;0.924
ENST00000428468_90_90;0.925;;;;;;;;;;;;;;;;;;;;;0.925;0.738;0.126;0.722;0.895;0.762;0.913;0.883
ENST00000435274_90_90;0.121;;;;;;;;;;;;;;;;;;;;;0.141;0.0;0.376;0.0;0.112;0.0;0.149;0.144
ENST00000447887_90_90;0.883;;;;;;;;;;;;;;;;;;;;;0.883;0.698;0.129;0.728;0.854;0.769;0.924;0.96
ENST00000453295_90_90;0.895;;;;;;;;;;;;;;;;;;;;;0.895;0.76;0.094;0.744;0.922;0.785;0.883;0.854
ENST00000462759_90_90;0.659;;;;;;;;;;;;;;;;;;;;;0.659;0.805;0.0;0.857;0.679;0.775;0.691;0.665
ENST00000481937_90_90;0.075;;;;;;;;;;;;;;;;;;;;;0.075;0.094;0.0;0.062;0.077;0.055;0.05;0.048
ENST00000486942_90_90;0.659;;;;;;;;;;;;;;;;;;;;;0.659;0.805;0.0;0.857;0.679;0.775;0.691;0.665
ENST00000489990_90_90;0.326;;;;;;;;;;;;;;;;;;;;;0.326;0.161;0.292;0.17;0.294;0.225;0.344;0.331
ENST00000495776_90_90;0.122;;;;;;;;;;;;;;;;;;;;;0.122;0.0;0.857;0.0;0.091;0.03;0.13;0.124
ENST00000526917_90_90;0.057;;;;;;;;;;;;;;;;;;;;;0.057;0.102;0.0;0.108;0.058;0.066;0.059;0.057
ENST00000527631_90_90;0.158;;;;;;;;;;;;;;;;;;;;;0.158;0.197;0.0;0.167;0.164;0.15;0.134;0.129
ENST00000528603_90_90;0.055;;;;;;;;;;;;;;;;;;;;;0.055;0.068;0.0;0.036;0.057;0.032;0.028;0.027
ENST00000531061_90_90;0.199;;;;;;;;;;;;;;;;;;;;;0.199;0.248;0.0;0.269;0.206;0.238;0.211;0.203
ENST00000531828_90_90;0.676;;;;;;;;;;;;;;;;;;;;;0.676;0.822;0.0;0.805;0.697;0.735;0.659;0.637
ENST00000532975_90_90;0.215;;;;;;;;;;;;;;;;;;;;;0.215;0.27;0.0;0.293;0.222;0.259;0.227;0.219
ENST00000533884_90_90;0.057;;;;;;;;;;;;;;;;;;;;;0.057;0.102;0.0;0.108;0.058;0.066;0.059;0.057
ENST00000534040_90_90;0.049;;;;;;;;;;;;;;;;;;;;;0.049;0.062;0.0;0.068;0.051;0.059;0.052;0.051
ENST00000625138_90_90;0.128;;;;;;;;;;;;;;;;;;;;;0.128;0.153;0.0;0.162;0.131;0.149;0.133;0.128
ENSMUST00000030288_90_90;0.961;0.722;0.913;0.925;0.141;0.883;0.895;0.659;0.075;0.659;0.326;0.122;0.057;0.158;0.055;0.199;0.676;0.215;0.057;0.049;0.128;;;;;;;;
ENSMUST00000084366_90_90;0.769;0.938;0.722;0.738;0.0;0.698;0.76;0.805;0.094;0.805;0.161;0.0;0.102;0.197;0.068;0.248;0.822;0.27;0.102;0.062;0.153;;;;;;;;
ENSMUST00000159545_90_90;0.126;0.0;0.134;0.126;0.376;0.129;0.094;0.0;0.0;0.0;0.292;0.857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;
ENSMUST00000160271_90_90;0.722;1.0;0.755;0.722;0.0;0.728;0.744;0.857;0.062;0.857;0.17;0.0;0.108;0.167;0.036;0.269;0.805;0.293;0.108;0.068;0.162;;;;;;;;
ENSMUST00000160774_90_90;0.93;0.744;0.883;0.895;0.112;0.854;0.922;0.679;0.077;0.679;0.294;0.091;0.058;0.164;0.057;0.206;0.697;0.222;0.058;0.051;0.131;;;;;;;;
ENSMUST00000161363_90_90;0.794;0.845;0.796;0.762;0.0;0.769;0.785;0.775;0.055;0.775;0.225;0.03;0.066;0.15;0.032;0.238;0.735;0.259;0.066;0.059;0.149;;;;;;;;
ENSMUST00000162787_90_90;0.913;0.755;0.958;0.913;0.149;0.924;0.883;0.691;0.05;0.691;0.344;0.13;0.059;0.134;0.028;0.211;0.659;0.227;0.059;0.052;0.133;;;;;;;;
ENSMUST00000194478_90_90;0.883;0.728;0.924;0.883;0.144;0.96;0.854;0.665;0.048;0.665;0.331;0.124;0.057;0.129;0.027;0.203;0.637;0.219;0.057;0.051;0.128;;;;;;;;
