;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.0;0.523;0.525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.998;0.454;0.782;0.889;0.782;0.891;0.889;0.396;0.556;0.956;0.292
ENST00000227214_90_90;0.0;1.0;0.714;0.796;0.887;1.0;0.579;0.234;0.69;0.409;0.87;0.855;0.566;0.827;0.793;0.34;0.478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000354190_90_90;0.523;0.714;1.0;0.903;0.811;0.714;0.415;0.175;0.503;0.438;0.631;0.611;0.555;0.584;0.568;0.249;0.354;0.52;0.0;0.316;0.314;0.316;0.522;0.314;0.0;0.0;0.417;0.21
ENST00000398492_90_90;0.525;0.796;0.903;1.0;0.714;0.796;0.465;0.199;0.56;0.344;0.703;0.682;0.458;0.647;0.635;0.282;0.392;0.522;0.0;0.317;0.316;0.317;0.524;0.316;0.0;0.0;0.418;0.211
ENST00000398494_90_90;0.0;0.887;0.811;0.714;1.0;0.887;0.511;0.205;0.613;0.519;0.774;0.758;0.679;0.736;0.702;0.296;0.427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000535129_90_90;0.0;1.0;0.714;0.796;0.887;1.0;0.579;0.234;0.69;0.409;0.87;0.855;0.566;0.827;0.793;0.34;0.478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000535582_90_90;0.0;0.579;0.415;0.465;0.511;0.579;1.0;0.385;0.736;0.631;0.594;0.676;0.754;0.405;0.728;0.577;0.766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000536527_90_90;0.0;0.234;0.175;0.199;0.205;0.234;0.385;1.0;0.293;0.324;0.242;0.272;0.291;0.068;0.289;0.603;0.335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000538227_90_90;0.0;0.69;0.503;0.56;0.613;0.69;0.736;0.293;1.0;0.499;0.708;0.798;0.7;0.523;0.855;0.429;0.591;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000539157_90_90;0.0;0.409;0.438;0.344;0.519;0.409;0.631;0.324;0.499;1.0;0.492;0.466;0.74;0.267;0.494;0.489;0.576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000540431_90_90;0.0;0.87;0.631;0.703;0.774;0.87;0.594;0.242;0.708;0.492;1.0;0.877;0.577;0.704;0.814;0.35;0.489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000541597_90_90;0.0;0.855;0.611;0.682;0.758;0.855;0.676;0.272;0.798;0.466;0.877;1.0;0.649;0.681;0.928;0.396;0.548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000542389_90_90;0.0;0.566;0.555;0.458;0.679;0.566;0.754;0.291;0.7;0.74;0.577;0.649;1.0;0.416;0.694;0.43;0.603;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000543085_90_90;0.0;0.827;0.584;0.647;0.736;0.827;0.405;0.068;0.523;0.267;0.704;0.681;0.416;1.0;0.621;0.166;0.326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000543524_90_90;0.0;0.793;0.568;0.635;0.702;0.793;0.728;0.289;0.855;0.494;0.814;0.928;0.694;0.621;1.0;0.423;0.585;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000545798_90_90;0.0;0.34;0.249;0.282;0.296;0.34;0.577;0.603;0.429;0.489;0.35;0.396;0.43;0.166;0.423;1.0;0.504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000546251_90_90;0.0;0.478;0.354;0.392;0.427;0.478;0.766;0.335;0.591;0.576;0.489;0.548;0.603;0.326;0.585;0.504;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000079176_90_90;0.998;0.0;0.52;0.522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.452;0.742;0.844;0.742;0.898;0.844;0.369;0.542;0.964;0.333
ENSMUST00000107043_90_90;0.454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.452;1.0;0.605;0.53;0.605;0.51;0.53;0.585;0.825;0.467;0.283
ENSMUST00000107044_90_90;0.782;0.0;0.316;0.317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.742;0.605;1.0;0.883;1.0;0.83;0.883;0.49;0.728;0.706;0.203
ENSMUST00000107045_90_90;0.889;0.0;0.314;0.316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.844;0.53;0.883;1.0;0.883;0.742;1.0;0.427;0.64;0.807;0.176
ENSMUST00000107046_90_90;0.782;0.0;0.316;0.317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.742;0.605;1.0;0.883;1.0;0.83;0.883;0.49;0.728;0.706;0.203
ENSMUST00000107047_90_90;0.891;0.0;0.522;0.524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.898;0.51;0.83;0.742;0.83;1.0;0.742;0.419;0.608;0.862;0.373
ENSMUST00000116287_90_90;0.889;0.0;0.314;0.316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.844;0.53;0.883;1.0;0.883;0.742;1.0;0.427;0.64;0.807;0.176
ENSMUST00000138830_90_90;0.396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.369;0.585;0.49;0.427;0.49;0.419;0.427;1.0;0.66;0.38;0.315
ENSMUST00000139708_90_90;0.556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.542;0.825;0.728;0.64;0.728;0.608;0.64;0.66;1.0;0.561;0.254
ENSMUST00000151123_90_90;0.956;0.0;0.417;0.418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.964;0.467;0.706;0.807;0.706;0.862;0.807;0.38;0.561;1.0;0.345
