;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.99;0.966;0.051;0.103;0.017;0.982;0.982;0.966;0.991;0.68
ENST00000344157_90_90;0.99;1.0;0.975;0.051;0.103;0.017;0.989;0.984;0.97;0.995;0.68
ENST00000355665_90_90;0.966;0.975;1.0;0.053;0.106;0.018;0.965;0.96;0.995;0.97;0.697
ENST00000505251_90_90;0.051;0.051;0.053;1.0;0.0;0.339;0.051;0.051;0.053;0.051;0.069
ENST00000507529_90_90;0.103;0.103;0.106;0.0;1.0;0.0;0.102;0.102;0.106;0.103;0.0
ENST00000510746_90_90;0.017;0.017;0.018;0.339;0.0;1.0;0.017;0.017;0.018;0.017;0.023
ENST00000579690_90_90;0.982;0.989;0.965;0.051;0.102;0.017;1.0;0.995;0.96;0.984;0.673
ENSMUST00000038384_90_90;0.982;0.984;0.96;0.051;0.102;0.017;0.995;1.0;0.965;0.989;0.676
ENSMUST00000119339_90_90;0.966;0.97;0.995;0.053;0.106;0.018;0.96;0.965;1.0;0.975;0.7
ENSMUST00000120498_90_90;0.991;0.995;0.97;0.051;0.103;0.017;0.984;0.989;0.975;1.0;0.683
ENSMUST00000156363_90_90;0.68;0.68;0.697;0.069;0.0;0.023;0.673;0.676;0.7;0.683;1.0
