;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.817;0.829;0.826;0.826;0.822;0.68;0.792;0.878;0.792;0.803;0.777;0.906;0.889;0.906
transcript1_ENSSTOG00000019743;0.817;1.0;0.825;0.681;0.681;0.681;0.826;0.963;0.872;0.963;0.798;0.946;0.902;0.889;0.902
transcript1_ENSCCNG00000000226;0.829;0.825;1.0;0.683;0.683;0.679;0.681;0.798;0.88;0.798;0.963;0.784;0.91;0.895;0.91
transcript10_ENSMLUG00000027828;0.826;0.681;0.683;1.0;1.0;0.995;0.811;0.705;0.777;0.705;0.707;0.689;0.748;0.731;0.748
transcript16_ENSMLUG00000027828;0.826;0.681;0.683;1.0;1.0;0.995;0.811;0.705;0.777;0.705;0.707;0.689;0.748;0.731;0.748
transcript28_ENSMLUG00000027828;0.822;0.681;0.679;0.995;0.995;1.0;0.81;0.705;0.773;0.705;0.703;0.692;0.744;0.734;0.744
transcript9_ENSSTOG00000019743;0.68;0.826;0.681;0.811;0.811;0.81;1.0;0.858;0.774;0.858;0.705;0.84;0.745;0.731;0.745
transcript29_ENSSTOG00000019743;0.792;0.963;0.798;0.705;0.705;0.705;0.858;1.0;0.903;1.0;0.826;0.982;0.869;0.855;0.869
transcript29_ENSCPOG00000024843;0.878;0.872;0.88;0.777;0.777;0.773;0.774;0.903;1.0;0.903;0.911;0.887;0.963;0.945;0.963
transcript30_ENSSTOG00000019743;0.792;0.963;0.798;0.705;0.705;0.705;0.858;1.0;0.903;1.0;0.826;0.982;0.869;0.855;0.869
transcript30_ENSCCNG00000000226;0.803;0.798;0.963;0.707;0.707;0.703;0.705;0.826;0.911;0.826;1.0;0.812;0.877;0.861;0.877
transcript31_ENSSTOG00000019743;0.777;0.946;0.784;0.689;0.689;0.692;0.84;0.982;0.887;0.982;0.812;1.0;0.854;0.869;0.854
transcript35_ENSCPOG00000024843;0.906;0.902;0.91;0.748;0.748;0.744;0.745;0.869;0.963;0.869;0.877;0.854;1.0;0.983;1.0
transcript36_ENSCPOG00000024843;0.889;0.889;0.895;0.731;0.731;0.734;0.731;0.855;0.945;0.855;0.861;0.869;0.983;1.0;0.983
transcript37_ENSCPOG00000024843;0.906;0.902;0.91;0.748;0.748;0.744;0.745;0.869;0.963;0.869;0.877;0.854;1.0;0.983;1.0
