;ENSCAFT00000015696_90_90;ENST00000370183_90_90;ENST00000370187_90_90;ENST00000393441_90_90;ENST00000408038_90_90;ENSMUST00000065601_90_90;ENSMUST00000111936_90_90;ENSMUST00000223684_90_90;ENSMUST00000223764_90_90;ENSMUST00000224102_90_90;ENSMUST00000224318_90_90;ENSMUST00000224478_90_90
ENSCAFT00000015696_90_90;1.0;0.792;0.846;0.654;0.769;0.161;0.032;0.0;0.036;0.467;0.125;0.0
ENST00000370183_90_90;0.792;1.0;0.792;0.583;0.783;0.148;0.0;0.0;0.0;0.5;0.158;0.0
ENST00000370187_90_90;0.846;0.792;1.0;0.792;0.917;0.2;0.067;0.0;0.074;0.517;0.125;0.0
ENST00000393441_90_90;0.654;0.583;0.792;1.0;0.708;0.148;0.08;0.0;0.091;0.345;0.1;0.0
ENST00000408038_90_90;0.769;0.783;0.917;0.708;1.0;0.214;0.071;0.0;0.08;0.556;0.136;0.0
ENSMUST00000065601_90_90;0.161;0.148;0.2;0.148;0.214;1.0;0.667;0.167;0.417;0.28;0.25;0.333
ENSMUST00000111936_90_90;0.032;0.0;0.067;0.08;0.071;0.667;1.0;0.25;0.625;0.12;0.0;0.5
ENSMUST00000223684_90_90;0.0;0.0;0.0;0.0;0.0;0.167;0.25;1.0;0.167;0.0;0.0;0.5
ENSMUST00000223764_90_90;0.036;0.0;0.074;0.091;0.08;0.417;0.625;0.167;1.0;0.136;0.0;0.286
ENSMUST00000224102_90_90;0.467;0.5;0.517;0.345;0.556;0.28;0.12;0.0;0.136;1.0;0.15;0.0
ENSMUST00000224318_90_90;0.125;0.158;0.125;0.1;0.136;0.25;0.0;0.0;0.0;0.15;1.0;0.0
ENSMUST00000224478_90_90;0.0;0.0;0.0;0.0;0.0;0.333;0.5;0.5;0.286;0.0;0.0;1.0
