;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.772;0.547;0.53;0.588;0.484;0.417;0.252;0.528;0.521;0.504;0.509;0.772
transcript2_ENSSTOG00000019743;0.772;1.0;0.622;0.6;0.672;0.555;0.481;0.292;0.699;0.687;0.655;0.665;1.0
transcript17_ENSMUGG00000013649;0.547;0.622;1.0;0.964;0.864;0.724;0.639;0.282;0.485;0.472;0.49;0.484;0.622
transcript17_ENSMUGG00000013592;0.53;0.6;0.964;1.0;0.893;0.7;0.626;0.278;0.474;0.46;0.478;0.472;0.6
transcript29_ENSMUGG00000013592;0.588;0.672;0.864;0.893;1.0;0.776;0.681;0.252;0.519;0.506;0.525;0.519;0.672
transcript8_ENSPEMG00000024651;0.484;0.555;0.724;0.7;0.776;1.0;0.65;0.197;0.483;0.415;0.431;0.425;0.555
transcript8_ENSNGAG00000018584;0.417;0.481;0.639;0.626;0.681;0.65;1.0;0.262;0.689;0.583;0.61;0.601;0.481
transcript7_ENSNGAG00000018584;0.252;0.292;0.282;0.278;0.252;0.197;0.262;1.0;0.342;0.425;0.377;0.439;0.292
transcript9_ENSNGAG00000018584;0.528;0.699;0.485;0.474;0.519;0.483;0.689;0.342;1.0;0.877;0.833;0.847;0.699
transcript10_ENSNGAG00000018584;0.521;0.687;0.472;0.46;0.506;0.415;0.583;0.425;0.877;1.0;0.953;0.968;0.687
transcript18_ENSNGAG00000018584;0.504;0.655;0.49;0.478;0.525;0.431;0.61;0.377;0.833;0.953;1.0;0.92;0.655
transcript19_ENSNGAG00000018584;0.509;0.665;0.484;0.472;0.519;0.425;0.601;0.439;0.847;0.968;0.92;1.0;0.665
transcript15_ENSSTOG00000019743;0.772;1.0;0.622;0.6;0.672;0.555;0.481;0.292;0.699;0.687;0.655;0.665;1.0
