;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.895;0.861;0.861;0.602;0.506;0.538;0.892;0.354;0.827;0.084;0.128;0.305;0.133;0.348;0.342;0.966;0.897;0.966;0.836;0.778;0.927;0.506;0.596;0.255
ENSCAFT00000012333_90_90;0.895;1.0;0.899;0.899;0.624;0.466;0.497;0.931;0.366;0.931;0.044;0.133;0.27;0.138;0.307;0.41;0.925;0.936;0.925;0.936;0.812;0.966;0.467;0.68;0.222
ENST00000295951_90_90;0.861;0.899;1.0;1.0;0.536;0.481;0.532;0.968;0.391;0.964;0.044;0.153;0.288;0.159;0.326;0.427;0.827;0.966;0.827;0.962;0.9;0.934;0.479;0.634;0.243
ENST00000295952_90_90;0.861;0.899;1.0;1.0;0.536;0.481;0.532;0.968;0.391;0.964;0.044;0.153;0.288;0.159;0.326;0.427;0.827;0.966;0.827;0.962;0.9;0.934;0.479;0.634;0.243
ENST00000383718_90_90;0.602;0.624;0.536;0.536;1.0;0.158;0.206;0.565;0.177;0.553;0.0;0.067;0.391;0.067;0.054;0.052;0.625;0.569;0.625;0.555;0.442;0.601;0.15;0.294;0.363
ENST00000416658_90_90;0.506;0.466;0.481;0.481;0.158;1.0;0.773;0.466;0.558;0.498;0.159;0.284;0.117;0.293;0.702;0.666;0.525;0.465;0.525;0.498;0.532;0.45;1.0;0.696;0.068
ENST00000417128_90_90;0.538;0.497;0.532;0.532;0.206;0.773;1.0;0.514;0.647;0.551;0.146;0.258;0.169;0.268;0.655;0.629;0.558;0.496;0.558;0.533;0.566;0.48;0.786;0.731;0.029
ENST00000428312_90_90;0.892;0.931;0.968;0.968;0.565;0.466;0.514;1.0;0.379;0.933;0.043;0.148;0.278;0.153;0.316;0.414;0.858;1.0;0.858;0.929;0.869;0.967;0.465;0.668;0.235
ENST00000438794_90_90;0.354;0.366;0.391;0.391;0.177;0.558;0.647;0.379;1.0;0.405;0.097;0.21;0.131;0.355;0.548;0.499;0.367;0.365;0.367;0.394;0.42;0.354;0.599;0.554;0.0
ENST00000449503_90_90;0.827;0.931;0.964;0.964;0.553;0.498;0.551;0.933;0.405;1.0;0.045;0.16;0.254;0.164;0.337;0.444;0.855;0.929;0.855;1.0;0.862;0.899;0.498;0.659;0.207
