;ENSCAFT00000027066_90_90;ENST00000316856_90_90;ENST00000586375_90_90;ENST00000586534_90_90;ENST00000590881_90_90;ENST00000591499_90_90;ENST00000592268_90_90;ENST00000593114_90_90;ENSMUST00000003911_90_90;ENSMUST00000109761_90_90;ENSMUST00000128035_90_90;ENSMUST00000144675_90_90
ENSCAFT00000027066_90_90;1.0;0.938;0.312;1.0;0.438;0.188;0.812;0.062;0.938;1.0;0.812;0.562
ENST00000316856_90_90;0.938;1.0;0.222;0.889;0.5;0.188;0.722;0.062;1.0;0.889;0.722;0.5
ENST00000586375_90_90;0.312;0.222;1.0;0.333;0.077;0.125;0.4;0.0;0.222;0.333;0.4;0.308
ENST00000586534_90_90;1.0;0.889;0.333;1.0;0.444;0.167;0.833;0.056;0.889;1.0;0.833;0.611
ENST00000590881_90_90;0.438;0.5;0.077;0.444;1.0;0.0;0.353;0.0;0.5;0.444;0.353;0.462
ENST00000591499_90_90;0.188;0.188;0.125;0.167;0.0;1.0;0.2;0.333;0.188;0.167;0.2;0.0
ENST00000592268_90_90;0.812;0.722;0.4;0.833;0.353;0.2;1.0;0.067;0.722;0.833;0.875;0.444
ENST00000593114_90_90;0.062;0.062;0.0;0.056;0.0;0.333;0.067;1.0;0.062;0.056;0.067;0.0
ENSMUST00000003911_90_90;0.938;1.0;0.222;0.889;0.5;0.188;0.722;0.062;1.0;0.889;0.722;0.474
ENSMUST00000109761_90_90;1.0;0.889;0.333;1.0;0.444;0.167;0.833;0.056;0.889;1.0;0.833;0.579
ENSMUST00000128035_90_90;0.812;0.722;0.4;0.833;0.353;0.2;0.875;0.067;0.722;0.833;1.0;0.5
ENSMUST00000144675_90_90;0.562;0.5;0.308;0.611;0.462;0.0;0.444;0.0;0.474;0.579;0.5;1.0
