;ENSCAFT00000037573_90_90;ENSCAFT00000037581_90_90;ENST00000382096_90_90;ENST00000382099_90_90;ENST00000382100_90_90;ENSMUST00000025866_90_90;ENSMUST00000047645_90_90;ENSMUST00000164746_90_90;ENSMUST00000165761_90_90;ENSMUST00000167487_90_90;ENSMUST00000172302_90_90
ENSCAFT00000037573_90_90;1.0;0.949;0.218;1.0;0.949;0.64;0.937;0.091;0.345;0.949;1.0
ENSCAFT00000037581_90_90;0.949;1.0;0.207;0.949;1.0;0.607;0.889;0.087;0.327;1.0;0.949
ENST00000382096_90_90;0.218;0.207;1.0;0.218;0.207;0.341;0.233;0.424;0.0;0.207;0.218
ENST00000382099_90_90;1.0;0.949;0.218;1.0;0.949;0.64;0.937;0.091;0.345;0.949;1.0
ENST00000382100_90_90;0.949;1.0;0.207;0.949;1.0;0.607;0.889;0.087;0.327;1.0;0.949
ENSMUST00000025866_90_90;0.64;0.607;0.341;0.64;0.607;1.0;0.578;0.145;0.236;0.607;0.64
ENSMUST00000047645_90_90;0.937;0.889;0.233;0.937;0.889;0.578;1.0;0.098;0.369;0.889;0.937
ENSMUST00000164746_90_90;0.091;0.087;0.424;0.091;0.087;0.145;0.098;1.0;0.0;0.087;0.091
ENSMUST00000165761_90_90;0.345;0.327;0.0;0.345;0.327;0.236;0.369;0.0;1.0;0.327;0.345
ENSMUST00000167487_90_90;0.949;1.0;0.207;0.949;1.0;0.607;0.889;0.087;0.327;1.0;0.949
ENSMUST00000172302_90_90;1.0;0.949;0.218;1.0;0.949;0.64;0.937;0.091;0.345;0.949;1.0
