;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.903;0.903;0.903;0.466;0.466;0.305;0.305;0.778;0.84;1.0;1.0;1.0;0.783;0.691;0.778;0.83;0.669;0.653;1.0;0.599;0.669
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.903;0.903;0.903;0.466;0.466;0.305;0.305;0.778;0.84;1.0;1.0;1.0;0.783;0.691;0.778;0.83;0.669;0.653;1.0;0.599;0.669
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.903;0.903;0.903;0.466;0.466;0.305;0.305;0.778;0.84;1.0;1.0;1.0;0.783;0.691;0.778;0.83;0.669;0.653;1.0;0.599;0.669
transcript22_ENSAPOG00000016134;0.903;0.903;0.903;1.0;1.0;1.0;0.514;0.514;0.338;0.338;0.682;0.743;0.903;0.903;0.903;0.686;0.595;0.682;0.732;0.599;0.571;0.903;0.648;0.599
transcript22_ENSAPOG00000023408;0.903;0.903;0.903;1.0;1.0;1.0;0.514;0.514;0.338;0.338;0.682;0.743;0.903;0.903;0.903;0.686;0.595;0.682;0.732;0.599;0.571;0.903;0.648;0.599
transcript22_ENSPNYG00000024266;0.903;0.903;0.903;1.0;1.0;1.0;0.514;0.514;0.338;0.338;0.682;0.743;0.903;0.903;0.903;0.686;0.595;0.682;0.732;0.599;0.571;0.903;0.648;0.599
transcript27_ENSAPOG00000016134;0.466;0.466;0.466;0.514;0.514;0.514;1.0;1.0;0.657;0.657;0.598;0.305;0.466;0.466;0.466;0.604;0.676;0.598;0.295;0.307;0.469;0.466;0.332;0.307
transcript27_ENSAOCG00000015695;0.466;0.466;0.466;0.514;0.514;0.514;1.0;1.0;0.657;0.657;0.598;0.305;0.466;0.466;0.466;0.604;0.676;0.598;0.295;0.307;0.469;0.466;0.332;0.307
transcript28_ENSAPOG00000016134;0.305;0.305;0.305;0.338;0.338;0.338;0.657;0.657;1.0;1.0;0.393;0.364;0.305;0.305;0.305;0.396;0.443;0.393;0.135;0.202;0.307;0.305;0.218;0.202
transcript28_ENSAOCG00000015695;0.305;0.305;0.305;0.338;0.338;0.338;0.657;0.657;1.0;1.0;0.393;0.364;0.305;0.305;0.305;0.396;0.443;0.393;0.135;0.202;0.307;0.305;0.218;0.202
transcript32_ENSAPOG00000023408;0.778;0.778;0.778;0.682;0.682;0.682;0.598;0.598;0.393;0.393;1.0;0.619;0.778;0.778;0.778;0.562;0.622;1.0;0.608;0.514;0.467;0.778;0.444;0.514
transcript33_ENSAPOG00000023408;0.84;0.84;0.84;0.743;0.743;0.743;0.305;0.305;0.364;0.364;0.619;1.0;0.84;0.84;0.84;0.623;0.531;0.619;0.669;0.563;0.521;0.84;0.494;0.563
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.903;0.903;0.903;0.466;0.466;0.305;0.305;0.778;0.84;1.0;1.0;1.0;0.783;0.691;0.778;0.83;0.669;0.653;1.0;0.599;0.669
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.903;0.903;0.903;0.466;0.466;0.305;0.305;0.778;0.84;1.0;1.0;1.0;0.783;0.691;0.778;0.83;0.669;0.653;1.0;0.599;0.669
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.903;0.903;0.903;0.466;0.466;0.305;0.305;0.778;0.84;1.0;1.0;1.0;0.783;0.691;0.778;0.83;0.669;0.653;1.0;0.599;0.669
transcript26_ENSAOCG00000015695;0.783;0.783;0.783;0.686;0.686;0.686;0.604;0.604;0.396;0.396;0.562;0.623;0.783;0.783;0.783;1.0;0.887;0.562;0.613;0.532;0.788;0.783;0.462;0.532
transcript29_ENSAOCG00000015695;0.691;0.691;0.691;0.595;0.595;0.595;0.676;0.676;0.443;0.443;0.622;0.531;0.691;0.691;0.691;0.887;1.0;0.622;0.52;0.465;0.696;0.691;0.394;0.465
transcript14_ENSPNYG00000024266;0.778;0.778;0.778;0.682;0.682;0.682;0.598;0.598;0.393;0.393;1.0;0.619;0.778;0.778;0.778;0.562;0.622;1.0;0.608;0.514;0.467;0.778;0.444;0.514
transcript21_ENSPNYG00000024266;0.83;0.83;0.83;0.732;0.732;0.732;0.295;0.295;0.135;0.135;0.608;0.669;0.83;0.83;0.83;0.613;0.52;0.608;1.0;0.557;0.513;0.83;0.488;0.557
transcript3_ENSXMAG00000026005;0.669;0.669;0.669;0.599;0.599;0.599;0.307;0.307;0.202;0.202;0.514;0.563;0.669;0.669;0.669;0.532;0.465;0.514;0.557;1.0;0.665;0.669;0.93;1.0
transcript10_ENSXMAG00000026005;0.653;0.653;0.653;0.571;0.571;0.571;0.469;0.469;0.307;0.307;0.467;0.521;0.653;0.653;0.653;0.788;0.696;0.467;0.513;0.665;1.0;0.653;0.595;0.665
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.903;0.903;0.903;0.466;0.466;0.305;0.305;0.778;0.84;1.0;1.0;1.0;0.783;0.691;0.778;0.83;0.669;0.653;1.0;0.599;0.669
transcript16_ENSXMAG00000026005;0.599;0.599;0.599;0.648;0.648;0.648;0.332;0.332;0.218;0.218;0.444;0.494;0.599;0.599;0.599;0.462;0.394;0.444;0.488;0.93;0.595;0.599;1.0;0.93
transcript17_ENSXMAG00000026005;0.669;0.669;0.669;0.599;0.599;0.599;0.307;0.307;0.202;0.202;0.514;0.563;0.669;0.669;0.669;0.532;0.465;0.514;0.557;1.0;0.665;0.669;0.93;1.0
