;ENSBTAT00000016415_98;ENSCAFT00000037053_98;ENSCAFT00000046361_98;ENSCAFT00000088814_98;ENSCAFT00000093453_98;ENSCAFT00020025289_98;ENST00000372235_98;ENST00000372237_98;ENST00000372242_98;ENST00000372243_98;ENST00000372244_98;ENST00000420706_98;ENSGALT00000083555_98;ENSMUST00000062824_98;ENSMUST00000106433_98;ENSMUST00000106434_98;ENSMUST00000125943_98
ENSBTAT00000016415_98;1.0;0.913;0.498;0.282;0.026;0.913;0.586;0.582;0.0;0.0;0.0;0.0;0.912;0.831;0.934;0.822;0.949
ENSCAFT00000037053_98;0.913;1.0;0.531;0.36;0.194;1.0;0.524;0.585;0.256;0.071;0.049;0.147;0.944;0.939;0.851;0.952;0.822
ENSCAFT00000046361_98;0.498;0.531;1.0;0.722;0.445;0.581;0.6;0.667;0.215;0.024;0.0;0.165;0.601;0.481;0.393;0.495;0.404
ENSCAFT00000088814_98;0.282;0.36;0.722;1.0;0.607;0.382;0.645;0.717;0.254;0.03;0.0;0.197;0.396;0.283;0.195;0.296;0.2
ENSCAFT00000093453_98;0.026;0.194;0.445;0.607;1.0;0.207;0.288;0.36;0.389;0.045;0.0;0.315;0.236;0.126;0.018;0.139;0.019
ENSCAFT00020025289_98;0.913;1.0;0.581;0.382;0.207;1.0;0.524;0.585;0.256;0.071;0.049;0.147;0.944;0.939;0.851;0.952;0.822
ENST00000372235_98;0.586;0.524;0.6;0.645;0.288;0.524;1.0;0.879;0.378;0.206;0.053;0.53;0.582;0.324;0.308;0.41;0.31
ENST00000372237_98;0.582;0.585;0.667;0.717;0.36;0.585;0.879;1.0;0.487;0.184;0.048;0.466;0.647;0.445;0.257;0.531;0.259
ENST00000372242_98;0.0;0.256;0.215;0.254;0.389;0.256;0.378;0.487;1.0;0.486;0.247;0.584;0.329;0.309;0.041;0.404;0.041
ENST00000372243_98;0.0;0.071;0.024;0.03;0.045;0.071;0.206;0.184;0.486;1.0;0.478;0.356;0.119;0.075;0.077;0.065;0.078
ENST00000372244_98;0.0;0.049;0.0;0.0;0.0;0.049;0.053;0.048;0.247;0.478;1.0;0.088;0.019;0.051;0.083;0.044;0.083
ENST00000420706_98;0.0;0.147;0.165;0.197;0.315;0.147;0.53;0.466;0.584;0.356;0.088;1.0;0.289;0.114;0.0;0.208;0.0
ENSGALT00000083555_98;0.912;0.944;0.601;0.396;0.236;0.944;0.582;0.647;0.329;0.119;0.019;0.289;1.0;0.813;0.692;0.866;0.703
ENSMUST00000062824_98;0.831;0.939;0.481;0.283;0.126;0.939;0.324;0.445;0.309;0.075;0.051;0.114;0.813;1.0;0.762;0.933;0.734
ENSMUST00000106433_98;0.934;0.851;0.393;0.195;0.018;0.851;0.308;0.257;0.041;0.077;0.083;0.0;0.692;0.762;1.0;0.719;0.967
ENSMUST00000106434_98;0.822;0.952;0.495;0.296;0.139;0.952;0.41;0.531;0.404;0.065;0.044;0.208;0.866;0.933;0.719;1.0;0.694
ENSMUST00000125943_98;0.949;0.822;0.404;0.2;0.019;0.822;0.31;0.259;0.041;0.078;0.083;0.0;0.703;0.734;0.967;0.694;1.0
