;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.923;0.923;0.923;1.0;0.381;0.923;0.846;0.481;0.35;0.769;0.375;0.375;0.368;0.769;0.433
transcript19_ppan;0.923;1.0;0.846;0.846;0.923;0.333;1.0;0.769;0.444;0.3;0.692;0.333;0.333;0.316;0.833;0.4
transcript20_ppan;0.923;0.846;1.0;0.846;0.923;0.333;0.846;0.917;0.444;0.3;0.692;0.391;0.391;0.316;0.692;0.4
transcript12_ptro;0.923;0.846;0.846;1.0;0.923;0.4;0.846;0.769;0.444;0.368;0.692;0.333;0.333;0.389;0.692;0.4
transcript12_hsap;1.0;0.923;0.923;0.923;1.0;0.381;0.923;0.846;0.481;0.35;0.769;0.375;0.375;0.368;0.769;0.433
transcript18_hsap;0.381;0.333;0.333;0.4;0.381;1.0;0.333;0.35;0.593;0.579;0.3;0.385;0.385;0.611;0.238;0.533
transcript19_hsap;0.923;1.0;0.846;0.846;0.923;0.333;1.0;0.769;0.444;0.3;0.692;0.333;0.333;0.316;0.833;0.4
transcript20_hsap;0.846;0.769;0.917;0.769;0.846;0.35;0.769;1.0;0.407;0.25;0.615;0.348;0.348;0.263;0.615;0.367
transcript21_hsap;0.481;0.444;0.444;0.444;0.481;0.593;0.444;0.407;1.0;0.414;0.37;0.621;0.621;0.429;0.37;0.9
transcript11_ggor;0.35;0.3;0.3;0.368;0.35;0.579;0.3;0.25;0.414;1.0;0.412;0.545;0.545;0.929;0.333;0.467
transcript12_ggor;0.769;0.692;0.692;0.692;0.769;0.3;0.692;0.615;0.37;0.412;1.0;0.429;0.429;0.438;0.818;0.333
transcript16_ggor;0.375;0.333;0.391;0.333;0.375;0.385;0.333;0.348;0.621;0.545;0.429;1.0;1.0;0.571;0.364;0.667
transcript17_ggor;0.375;0.333;0.391;0.333;0.375;0.385;0.333;0.348;0.621;0.545;0.429;1.0;1.0;0.571;0.364;0.667
transcript18_ggor;0.368;0.316;0.316;0.389;0.368;0.611;0.316;0.263;0.429;0.929;0.438;0.571;0.571;1.0;0.353;0.433
transcript19_ggor;0.769;0.833;0.692;0.692;0.769;0.238;0.833;0.615;0.37;0.333;0.818;0.364;0.364;0.353;1.0;0.333
transcript8_pabe;0.433;0.4;0.4;0.4;0.433;0.533;0.4;0.367;0.9;0.467;0.333;0.667;0.667;0.433;0.333;1.0
