;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;1.0;0.605;0.646;1.0;0.595;0.419;0.862;0.856;0.821;0.83;1.0
transcript2_ENSSTOG00000019743;1.0;1.0;1.0;0.604;0.647;1.0;0.596;0.417;0.862;0.855;0.819;0.829;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;1.0;0.991;0.991;1.0;0.845;0.47;0.849;0.837;0.837;0.837;1.0
transcript17_ENSMUGG00000013592;0.605;0.604;0.991;1.0;0.949;0.939;0.805;0.401;0.561;0.553;0.577;0.571;0.604
transcript29_ENSMUGG00000013592;0.646;0.647;0.991;0.949;1.0;0.992;0.848;0.383;0.598;0.591;0.615;0.609;0.647
transcript8_ENSPEMG00000024651;1.0;1.0;1.0;0.939;0.992;1.0;0.91;0.416;0.91;0.841;0.841;0.841;1.0
transcript8_ENSNGAG00000018584;0.595;0.596;0.845;0.805;0.848;0.91;1.0;0.375;0.703;0.621;0.651;0.642;0.596
transcript7_ENSNGAG00000018584;0.419;0.417;0.47;0.401;0.383;0.416;0.375;1.0;0.427;0.498;0.45;0.516;0.417
transcript9_ENSNGAG00000018584;0.862;0.862;0.849;0.561;0.598;0.91;0.703;0.427;1.0;0.916;0.876;0.887;0.862
transcript10_ENSNGAG00000018584;0.856;0.855;0.837;0.553;0.591;0.841;0.621;0.498;0.916;1.0;0.958;0.97;0.855
transcript18_ENSNGAG00000018584;0.821;0.819;0.837;0.577;0.615;0.841;0.651;0.45;0.876;0.958;1.0;0.928;0.819
transcript19_ENSNGAG00000018584;0.83;0.829;0.837;0.571;0.609;0.841;0.642;0.516;0.887;0.97;0.928;1.0;0.829
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;0.604;0.647;1.0;0.596;0.417;0.862;0.855;0.819;0.829;1.0
