;ENSCAFT00000031997_90_90;ENSCAFT00000046265_90_90;ENST00000223836_90_90;ENST00000373156_90_90;ENST00000373176_90_90;ENST00000413016_90_90;ENST00000550143_90_90;ENST00000550992_90_90;ENSMUST00000068271_90_90;ENSMUST00000113277_90_90;ENSMUST00000113278_90_90;ENSMUST00000156578_90_90;ENSMUST00000195721_90_90
ENSCAFT00000031997_90_90;1.0;0.818;0.927;0.818;0.818;0.59;0.314;0.0;1.0;0.845;0.845;0.418;0.436
ENSCAFT00000046265_90_90;0.818;1.0;0.818;0.925;0.925;0.616;0.324;0.037;0.818;0.881;0.881;0.435;0.454
ENST00000223836_90_90;0.927;0.818;1.0;0.818;0.818;0.59;0.314;0.0;0.927;0.845;0.845;0.418;0.436
ENST00000373156_90_90;0.818;0.925;0.818;1.0;1.0;0.616;0.324;0.076;0.818;0.881;0.881;0.435;0.454
ENST00000373176_90_90;0.818;0.925;0.818;1.0;1.0;0.616;0.324;0.076;0.818;0.881;0.881;0.435;0.454
ENST00000413016_90_90;0.59;0.616;0.59;0.616;0.616;1.0;0.4;0.0;0.59;0.638;0.638;0.16;0.247
ENST00000550143_90_90;0.314;0.324;0.314;0.324;0.324;0.4;1.0;0.0;0.314;0.34;0.34;0.225;0.355
ENST00000550992_90_90;0.0;0.037;0.0;0.076;0.076;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000068271_90_90;1.0;0.818;0.927;0.818;0.818;0.59;0.314;0.0;1.0;0.845;0.845;0.418;0.436
ENSMUST00000113277_90_90;0.845;0.881;0.845;0.881;0.881;0.638;0.34;0.0;0.845;1.0;1.0;0.521;0.54
ENSMUST00000113278_90_90;0.845;0.881;0.845;0.881;0.881;0.638;0.34;0.0;0.845;1.0;1.0;0.521;0.54
ENSMUST00000156578_90_90;0.418;0.435;0.418;0.435;0.435;0.16;0.225;0.0;0.418;0.521;0.521;1.0;0.789
ENSMUST00000195721_90_90;0.436;0.454;0.436;0.454;0.454;0.247;0.355;0.0;0.436;0.54;0.54;0.789;1.0
