;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.771;0.931;1.0;0.345;0.966;0.3;0.379;0.793;0.207;0.3;0.345;0.226;0.138;0.448;0.207;0.867;0.103;0.138;0.207;0.9;0.793;0.828;0.933;0.367;0.138;0.8;0.966;0.833
ENSCAFT00000044406_90_90;0.771;1.0;0.774;0.839;0.31;0.806;0.267;0.345;0.759;0.214;0.357;0.267;0.276;0.103;0.414;0.214;0.897;0.107;0.103;0.214;0.806;0.645;0.793;0.839;0.429;0.143;0.828;0.806;0.862
ENST00000356360_90_90;0.931;0.774;1.0;0.938;0.333;0.875;0.273;0.367;0.719;0.267;0.273;0.355;0.147;0.133;0.433;0.2;0.788;0.133;0.133;0.2;0.848;0.75;0.75;0.879;0.303;0.133;0.727;0.906;0.758
ENST00000393346_90_90;1.0;0.839;0.938;1.0;0.312;0.938;0.333;0.344;0.781;0.25;0.333;0.375;0.206;0.125;0.406;0.188;0.848;0.125;0.125;0.188;0.909;0.812;0.812;0.939;0.364;0.125;0.788;0.969;0.818
ENST00000525162_90_90;0.345;0.31;0.333;0.312;1.0;0.333;0.0;0.75;0.4;0.0;0.0;0.0;0.0;0.167;0.769;0.231;0.345;0.0;0.167;0.231;0.281;0.286;0.333;0.273;0.0;0.4;0.321;0.281;0.31
ENST00000526033_90_90;0.966;0.806;0.875;0.938;0.333;1.0;0.355;0.367;0.833;0.267;0.355;0.312;0.219;0.133;0.433;0.2;0.903;0.133;0.133;0.2;0.848;0.75;0.867;0.879;0.387;0.133;0.839;0.906;0.871
ENST00000526961_90_90;0.3;0.267;0.273;0.333;0.0;0.355;1.0;0.0;0.321;0.429;0.714;0.5;0.615;0.0;0.0;0.0;0.323;0.333;0.0;0.0;0.387;0.407;0.31;0.375;0.471;0.0;0.345;0.344;0.333
ENST00000528256_90_90;0.379;0.345;0.367;0.344;0.75;0.367;0.0;1.0;0.333;0.0;0.0;0.0;0.0;0.25;0.846;0.417;0.379;0.0;0.25;0.417;0.312;0.233;0.37;0.303;0.0;0.364;0.357;0.312;0.345
ENST00000528398_90_90;0.793;0.759;0.719;0.781;0.4;0.833;0.321;0.333;1.0;0.32;0.423;0.276;0.214;0.074;0.407;0.107;0.862;0.16;0.074;0.107;0.697;0.759;0.821;0.727;0.462;0.16;0.793;0.75;0.828
ENST00000529016_90_90;0.207;0.214;0.267;0.25;0.0;0.267;0.429;0.0;0.32;1.0;0.538;0.429;0.214;0.0;0.0;0.0;0.276;0.333;0.0;0.0;0.219;0.259;0.259;0.25;0.5;0.0;0.25;0.258;0.286
