;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.833;0.891;0.763;0.891;0.338;0.78;0.357;0.312;0.782;0.288;0.864;0.782;0.372;0.048;0.107
ENSCAFT00000043863_90_90;0.833;1.0;0.734;0.855;0.734;0.371;0.627;0.382;0.357;0.879;0.308;0.742;0.879;0.37;0.061;0.102
ENST00000264183_90_90;0.891;0.734;1.0;0.821;1.0;0.351;0.841;0.32;0.344;0.774;0.297;0.891;0.774;0.386;0.029;0.112
ENST00000349213_90_90;0.763;0.855;0.821;1.0;0.821;0.432;0.673;0.335;0.404;0.92;0.357;0.762;0.92;0.423;0.037;0.14
ENST00000366603_90_90;0.891;0.734;1.0;0.821;1.0;0.351;0.841;0.32;0.344;0.774;0.297;0.891;0.774;0.386;0.029;0.112
ENST00000418304_90_90;0.338;0.371;0.351;0.432;0.351;1.0;0.383;0.0;0.0;0.381;0.813;0.313;0.381;0.763;0.0;0.32
ENST00000421364_90_90;0.78;0.627;0.841;0.673;0.841;0.383;1.0;0.352;0.244;0.635;0.327;0.752;0.635;0.421;0.054;0.12
ENST00000444620_90_90;0.357;0.382;0.32;0.335;0.32;0.0;0.352;1.0;0.461;0.329;0.0;0.311;0.329;0.0;0.124;0.0
ENST00000474953_90_90;0.312;0.357;0.344;0.404;0.344;0.0;0.244;0.461;1.0;0.396;0.0;0.334;0.396;0.0;0.074;0.0
ENSMUST00000039538_90_90;0.782;0.879;0.774;0.92;0.774;0.381;0.635;0.329;0.396;1.0;0.348;0.813;1.0;0.412;0.036;0.136
ENSMUST00000110533_90_90;0.288;0.308;0.297;0.357;0.297;0.813;0.327;0.0;0.0;0.348;1.0;0.288;0.348;0.702;0.0;0.35
ENSMUST00000110534_90_90;0.864;0.742;0.891;0.762;0.891;0.313;0.752;0.311;0.334;0.813;0.288;1.0;0.813;0.398;0.028;0.106
ENSMUST00000110536_90_90;0.782;0.879;0.774;0.92;0.774;0.381;0.635;0.329;0.396;1.0;0.348;0.813;1.0;0.412;0.036;0.136
ENSMUST00000129488_90_90;0.372;0.37;0.386;0.423;0.386;0.763;0.421;0.0;0.0;0.412;0.702;0.398;0.412;1.0;0.0;0.268
ENSMUST00000151151_90_90;0.048;0.061;0.029;0.037;0.029;0.0;0.054;0.124;0.074;0.036;0.0;0.028;0.036;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.107;0.102;0.112;0.14;0.112;0.32;0.12;0.0;0.0;0.136;0.35;0.106;0.136;0.268;0.0;1.0
