;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.924;0.62;0.219;0.722;0.547;0.49;0.119;0.163;0.088;0.636;0.501;0.532;0.5;0.461;0.102;0.0;0.459
ENSCAFT00000045237_90_90;0.924;1.0;0.553;0.152;0.658;0.48;0.532;0.06;0.096;0.018;0.571;0.535;0.57;0.535;0.494;0.11;0.0;0.492
ENST00000323906_90_90;0.62;0.553;1.0;0.353;0.758;0.868;0.37;0.342;0.431;0.095;0.637;0.525;0.56;0.557;0.403;0.104;0.166;0.485
ENST00000391859_90_90;0.219;0.152;0.353;1.0;0.142;0.365;0.006;0.552;0.686;0.171;0.147;0.128;0.137;0.149;0.073;0.0;0.295;0.147
ENST00000426897_90_90;0.722;0.658;0.758;0.142;1.0;0.637;0.448;0.136;0.194;0.125;0.828;0.416;0.446;0.435;0.381;0.134;0.0;0.365
ENST00000535669_90_90;0.547;0.48;0.868;0.365;0.637;1.0;0.381;0.354;0.448;0.099;0.748;0.438;0.465;0.577;0.417;0.108;0.172;0.502
ENST00000594743_90_90;0.49;0.532;0.37;0.006;0.448;0.381;1.0;0.002;0.029;0.0;0.464;0.346;0.367;0.383;0.369;0.193;0.0;0.395
ENST00000595660_90_90;0.119;0.06;0.342;0.552;0.136;0.354;0.002;1.0;0.654;0.166;0.14;0.127;0.135;0.147;0.072;0.0;0.324;0.145
ENST00000595725_90_90;0.163;0.096;0.431;0.686;0.194;0.448;0.029;0.654;1.0;0.22;0.202;0.166;0.178;0.197;0.108;0.0;0.362;0.194
ENST00000597602_90_90;0.088;0.018;0.095;0.171;0.125;0.099;0.0;0.166;0.22;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000598095_90_90;0.636;0.571;0.637;0.147;0.828;0.748;0.464;0.14;0.202;0.132;1.0;0.328;0.35;0.452;0.395;0.141;0.0;0.379
ENSMUST00000033063_90_90;0.501;0.535;0.525;0.128;0.416;0.438;0.346;0.127;0.166;0.0;0.328;1.0;0.927;0.697;0.776;0.193;0.15;0.839
ENSMUST00000098461_90_90;0.532;0.57;0.56;0.137;0.446;0.465;0.367;0.135;0.178;0.0;0.35;0.927;1.0;0.748;0.714;0.208;0.161;0.905
ENSMUST00000209779_90_90;0.5;0.535;0.557;0.149;0.435;0.577;0.383;0.147;0.197;0.0;0.452;0.697;0.748;1.0;0.727;0.11;0.179;0.809
ENSMUST00000210078_90_90;0.461;0.494;0.403;0.073;0.381;0.417;0.369;0.072;0.108;0.0;0.395;0.776;0.714;0.727;1.0;0.161;0.09;0.773
ENSMUST00000210226_90_90;0.102;0.11;0.104;0.0;0.134;0.108;0.193;0.0;0.0;0.0;0.141;0.193;0.208;0.11;0.161;1.0;0.0;0.236
ENSMUST00000210372_90_90;0.0;0.0;0.166;0.295;0.0;0.172;0.0;0.324;0.362;0.0;0.0;0.15;0.161;0.179;0.09;0.0;1.0;0.175
ENSMUST00000211373_90_90;0.459;0.492;0.485;0.147;0.365;0.502;0.395;0.145;0.194;0.0;0.379;0.839;0.905;0.809;0.773;0.236;0.175;1.0
