;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.037;0.488;0.0;0.138;0.214;0.385;0.161;0.488;0.512;0.0
ENST00000258909_90_90;0.037;1.0;0.1;0.6;0.444;0.0;0.133;0.067;0.073;0.05;0.333
ENST00000322019_90_90;0.488;0.1;1.0;0.073;0.225;0.19;0.75;0.3;0.951;0.95;0.073
ENST00000379384_90_90;0.0;0.6;0.073;1.0;0.3;0.0;0.097;0.067;0.048;0.024;0.333
ENST00000379390_90_90;0.138;0.444;0.225;0.3;1.0;0.188;0.3;0.105;0.195;0.175;0.182
ENST00000561551_90_90;0.214;0.0;0.19;0.0;0.188;1.0;0.25;0.0;0.19;0.2;0.0
ENST00000565774_90_90;0.385;0.133;0.75;0.097;0.3;0.25;1.0;0.135;0.707;0.7;0.097
ENST00000565982_90_90;0.161;0.067;0.3;0.067;0.105;0.0;0.135;1.0;0.3;0.316;0.143
ENSMUST00000041890_90_90;0.488;0.073;0.951;0.048;0.195;0.19;0.707;0.3;1.0;0.95;0.1
ENSMUST00000119543_90_90;0.512;0.05;0.95;0.024;0.175;0.2;0.7;0.316;0.95;1.0;0.05
ENSMUST00000126334_90_90;0.0;0.333;0.073;0.333;0.182;0.0;0.097;0.143;0.1;0.05;1.0
