;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.911;0.894;0.894;0.551;0.513;0.484;0.914;0.334;0.87;0.077;0.12;0.202;0.129;0.377;0.38;0.975;0.915;0.975;0.872;0.757;0.935;0.513;0.512;0.218
ENSCAFT00000012333_90_90;0.911;1.0;0.933;0.933;0.562;0.476;0.447;0.953;0.341;0.957;0.044;0.123;0.176;0.132;0.341;0.439;0.933;0.955;0.933;0.959;0.792;0.975;0.476;0.578;0.193
ENST00000295951_90_90;0.894;0.933;1.0;1.0;0.511;0.484;0.455;0.979;0.347;0.974;0.045;0.125;0.185;0.135;0.347;0.446;0.87;0.978;0.87;0.972;0.849;0.958;0.483;0.554;0.201
ENST00000295952_90_90;0.894;0.933;1.0;1.0;0.511;0.484;0.455;0.979;0.347;0.974;0.045;0.125;0.185;0.135;0.347;0.446;0.87;0.978;0.87;0.972;0.849;0.958;0.483;0.554;0.201
ENST00000383718_90_90;0.551;0.562;0.511;0.511;1.0;0.107;0.079;0.53;0.081;0.524;0.0;0.029;0.283;0.029;0.021;0.02;0.564;0.529;0.564;0.522;0.371;0.549;0.107;0.154;0.309
ENST00000416658_90_90;0.513;0.476;0.484;0.484;0.107;1.0;0.859;0.474;0.584;0.496;0.15;0.235;0.133;0.253;0.736;0.718;0.526;0.473;0.526;0.496;0.565;0.464;0.998;0.804;0.076
ENST00000417128_90_90;0.484;0.447;0.455;0.455;0.079;0.859;1.0;0.446;0.669;0.467;0.158;0.249;0.088;0.268;0.778;0.757;0.497;0.445;0.497;0.466;0.531;0.437;0.858;0.755;0.006
ENST00000428312_90_90;0.914;0.953;0.979;0.979;0.53;0.474;0.446;1.0;0.34;0.954;0.044;0.123;0.181;0.132;0.34;0.437;0.89;0.998;0.89;0.953;0.832;0.978;0.473;0.574;0.197
ENST00000438794_90_90;0.334;0.341;0.347;0.347;0.081;0.584;0.669;0.34;1.0;0.356;0.11;0.17;0.094;0.347;0.635;0.57;0.342;0.339;0.342;0.355;0.405;0.333;0.583;0.577;0.0
ENST00000449503_90_90;0.87;0.957;0.974;0.974;0.524;0.496;0.467;0.954;0.356;1.0;0.046;0.129;0.16;0.138;0.356;0.458;0.892;0.953;0.892;0.998;0.823;0.933;0.496;0.568;0.176
ENST00000460223_90_90;0.077;0.044;0.045;0.045;0.0;0.15;0.158;0.044;0.11;0.046;1.0;0.0;0.0;0.0;0.203;0.097;0.079;0.044;0.079;0.046;0.053;0.043;0.15;0.075;0.0
ENST00000461354_90_90;0.12;0.123;0.125;0.125;0.029;0.235;0.249;0.123;0.17;0.129;0.0;1.0;0.0;0.404;0.169;0.281;0.123;0.122;0.123;0.128;0.147;0.12;0.234;0.212;0.0
ENST00000465203_90_90;0.202;0.176;0.185;0.185;0.283;0.133;0.088;0.181;0.094;0.16;0.0;0.0;1.0;0.0;0.0;0.0;0.177;0.181;0.177;0.159;0.216;0.201;0.133;0.171;0.559
ENST00000466255_90_90;0.129;0.132;0.135;0.135;0.029;0.253;0.268;0.132;0.347;0.138;0.0;0.404;0.0;1.0;0.344;0.302;0.133;0.132;0.133;0.138;0.158;0.129;0.252;0.229;0.0
ENST00000494088_90_90;0.377;0.341;0.347;0.347;0.021;0.736;0.778;0.34;0.635;0.356;0.203;0.169;0.0;0.344;1.0;0.748;0.387;0.34;0.387;0.356;0.405;0.333;0.734;0.577;0.0
ENST00000495364_90_90;0.38;0.439;0.446;0.446;0.02;0.718;0.757;0.437;0.57;0.458;0.097;0.281;0.0;0.302;0.748;1.0;0.39;0.437;0.39;0.458;0.524;0.428;0.717;0.758;0.0
