;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;1.0;1.0;0.276;0.071;0.873;0.296;0.873;0.296;0.18;0.407
ENST00000348628_90_90;1.0;1.0;0.951;0.303;0.067;0.873;0.296;0.916;0.283;0.133;0.449
ENST00000398376_90_90;1.0;0.951;1.0;0.285;0.064;0.922;0.283;0.873;0.333;0.125;0.423
ENST00000510347_90_90;0.276;0.303;0.285;1.0;0.0;0.259;0.0;0.276;0.0;0.384;0.455
ENST00000515758_90_90;0.071;0.067;0.064;0.0;1.0;0.071;0.0;0.075;0.0;0.0;0.152
ENSMUST00000025519_90_90;0.873;0.873;0.922;0.259;0.071;1.0;0.226;0.951;0.27;0.148;0.38
ENSMUST00000039904_90_90;0.296;0.296;0.283;0.0;0.0;0.226;1.0;0.234;0.873;0.0;0.0
ENSMUST00000102888_90_90;0.873;0.916;0.873;0.276;0.075;0.951;0.234;1.0;0.226;0.156;0.399
ENSMUST00000115295_90_90;0.296;0.283;0.333;0.0;0.0;0.27;0.873;0.226;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.18;0.133;0.125;0.384;0.0;0.148;0.0;0.156;0.0;1.0;0.146
ENSMUST00000137805_90_90;0.407;0.449;0.423;0.455;0.152;0.38;0.0;0.399;0.0;0.146;1.0
