;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.579;0.737;0.211;0.154;0.556;0.37;0.444;0.333;0.556;0.481;0.182;0.407;0.294
ENST00000331224_90_90;0.579;1.0;0.812;0.462;0.13;0.407;0.375;0.458;0.333;0.407;0.44;0.167;0.417;0.2
ENST00000341267_90_90;0.737;0.812;1.0;0.375;0.115;0.519;0.333;0.407;0.296;0.519;0.444;0.152;0.37;0.312
ENST00000392848_90_90;0.211;0.462;0.375;1.0;0.188;0.148;0.182;0.167;0.19;0.148;0.16;0.12;0.174;0.0
ENST00000556051_90_90;0.154;0.13;0.115;0.188;1.0;0.152;0.179;0.167;0.185;0.152;0.161;0.25;0.172;0.0
ENSMUST00000056110_90_90;0.556;0.407;0.519;0.148;0.152;1.0;0.8;0.88;0.76;1.0;0.92;0.516;0.84;0.2
ENSMUST00000109841_90_90;0.37;0.375;0.333;0.182;0.179;0.8;1.0;0.909;0.95;0.8;0.87;0.615;0.864;0.087
ENSMUST00000109842_90_90;0.444;0.458;0.407;0.167;0.167;0.88;0.909;1.0;0.864;0.88;0.957;0.571;0.955;0.125
ENSMUST00000109843_90_90;0.333;0.333;0.296;0.19;0.185;0.76;0.95;0.864;1.0;0.76;0.826;0.64;0.905;0.043
ENSMUST00000109844_90_90;0.556;0.407;0.519;0.148;0.152;1.0;0.8;0.88;0.76;1.0;0.92;0.516;0.84;0.2
ENSMUST00000109846_90_90;0.481;0.44;0.444;0.16;0.161;0.92;0.87;0.957;0.826;0.92;1.0;0.552;0.913;0.167
ENSMUST00000124293_90_90;0.182;0.167;0.152;0.12;0.25;0.516;0.615;0.571;0.64;0.516;0.552;1.0;0.593;0.0
ENSMUST00000173539_90_90;0.407;0.417;0.37;0.174;0.172;0.84;0.864;0.955;0.905;0.84;0.913;0.593;1.0;0.083
ENSMUST00000173812_90_90;0.294;0.2;0.312;0.0;0.0;0.2;0.087;0.125;0.043;0.2;0.167;0.0;0.083;1.0
