;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.85;0.847;0.996;0.051;0.236;0.162;0.199;0.236;0.19;0.051;0.767;0.904;0.799
ENSCAFT00000008030_90_90;0.85;1.0;0.996;0.847;0.051;0.236;0.075;0.199;0.143;0.19;0.051;0.904;0.767;0.799
ENST00000293217_90_90;0.847;0.996;1.0;0.85;0.052;0.237;0.075;0.199;0.144;0.19;0.052;0.902;0.765;0.798
ENST00000301608_90_90;0.996;0.847;0.85;1.0;0.052;0.237;0.162;0.199;0.237;0.19;0.052;0.765;0.902;0.798
ENST00000572047_90_90;0.051;0.051;0.052;0.052;1.0;0.141;0.0;0.0;0.19;0.0;1.0;0.033;0.033;0.0
ENST00000573078_90_90;0.236;0.236;0.237;0.237;0.141;1.0;0.478;0.0;0.606;0.0;0.141;0.181;0.181;0.187
ENST00000576743_90_90;0.162;0.075;0.075;0.162;0.0;0.478;1.0;0.0;0.68;0.0;0.0;0.075;0.162;0.079
ENST00000587927_90_90;0.199;0.199;0.199;0.199;0.0;0.0;0.0;1.0;0.0;0.696;0.0;0.199;0.199;0.211
ENST00000588176_90_90;0.236;0.143;0.144;0.237;0.19;0.606;0.68;0.0;1.0;0.0;0.19;0.093;0.177;0.094
ENST00000588968_90_90;0.19;0.19;0.19;0.19;0.0;0.0;0.0;0.696;0.0;1.0;0.0;0.19;0.19;0.2
ENST00000589301_90_90;0.051;0.051;0.052;0.052;1.0;0.141;0.0;0.0;0.19;0.0;1.0;0.033;0.033;0.0
ENSMUST00000066587_90_90;0.767;0.904;0.902;0.765;0.033;0.181;0.075;0.199;0.093;0.19;0.033;1.0;0.85;0.799
ENSMUST00000072948_90_90;0.904;0.767;0.765;0.902;0.033;0.181;0.162;0.199;0.177;0.19;0.033;0.85;1.0;0.799
ENSMUST00000148601_90_90;0.799;0.799;0.798;0.798;0.0;0.187;0.079;0.211;0.094;0.2;0.0;0.799;0.799;1.0
