;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.849;0.556;0.9;0.871;0.972;0.172;0.183;0.944;0.864;1.0;0.895;0.187;0.21;0.045;0.861
ENSCAFT00000001399_90_90;0.849;1.0;0.611;0.963;0.998;0.892;0.192;0.204;0.863;0.998;0.863;0.961;0.21;0.242;0.055;0.92
ENSCAFT00000001401_90_90;0.556;0.611;1.0;0.65;0.674;0.6;0.286;0.0;0.57;0.663;0.57;0.637;0.0;0.364;0.082;0.597
ENST00000378735_90_90;0.9;0.963;0.65;1.0;0.97;0.912;0.172;0.188;0.888;0.966;0.904;1.0;0.195;0.252;0.048;0.964
ENST00000378746_90_90;0.871;0.998;0.674;0.97;1.0;0.887;0.175;0.192;0.861;1.0;0.875;0.966;0.199;0.261;0.05;0.93
ENST00000403231_90_90;0.972;0.892;0.6;0.912;0.887;1.0;0.161;0.175;0.889;0.898;0.973;0.928;0.183;0.234;0.044;0.895
ENST00000428744_90_90;0.172;0.192;0.286;0.172;0.175;0.161;1.0;0.0;0.163;0.186;0.169;0.182;0.0;0.719;0.319;0.188
ENST00000450441_90_90;0.183;0.204;0.0;0.188;0.192;0.175;0.0;1.0;0.177;0.199;0.18;0.195;1.0;0.0;0.0;0.2
ENST00000618515_90_90;0.944;0.863;0.57;0.888;0.861;0.889;0.163;0.177;1.0;0.87;0.946;0.899;0.187;0.241;0.045;0.867
ENSMUST00000057330_90_90;0.864;0.998;0.663;0.966;1.0;0.898;0.186;0.199;0.87;1.0;0.881;0.968;0.195;0.253;0.046;0.934
ENSMUST00000118353_90_90;1.0;0.863;0.57;0.904;0.875;0.973;0.169;0.18;0.946;0.881;1.0;0.908;0.177;0.223;0.04;0.879
ENSMUST00000120613_90_90;0.895;0.961;0.637;1.0;0.966;0.928;0.182;0.195;0.899;0.968;0.908;1.0;0.191;0.244;0.044;0.966
ENSMUST00000130037_90_90;0.187;0.21;0.0;0.195;0.199;0.183;0.0;1.0;0.187;0.195;0.177;0.191;1.0;0.0;0.0;0.196
ENSMUST00000132496_90_90;0.21;0.242;0.364;0.252;0.261;0.234;0.719;0.0;0.241;0.253;0.223;0.244;0.0;1.0;0.165;0.254
ENSMUST00000132653_90_90;0.045;0.055;0.082;0.048;0.05;0.044;0.319;0.0;0.045;0.046;0.04;0.044;0.0;0.165;1.0;0.046
ENSMUST00000173744_90_90;0.861;0.92;0.597;0.964;0.93;0.895;0.188;0.2;0.867;0.934;0.879;0.966;0.196;0.254;0.046;1.0
