;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.304;0.36;0.45;0.4;0.182;0.5;0.15;0.294;0.412;0.333;0.444;0.476;0.364;0.556;0.444;0.526
ENSCAFT00000023892_90_90;0.304;1.0;0.818;0.7;0.118;0.2;0.778;0.474;0.5;0.812;0.526;0.824;0.714;0.25;0.737;0.55;0.789
ENSCAFT00000043832_90_90;0.36;0.818;1.0;0.9;0.211;0.158;0.8;0.6;0.55;0.65;0.571;0.667;0.905;0.2;0.762;0.667;0.81
ENST00000292476_90_90;0.45;0.7;0.9;1.0;0.174;0.192;0.913;0.538;0.609;0.783;0.593;0.682;0.909;0.217;0.773;0.682;0.818
ENST00000412686_90_90;0.4;0.118;0.211;0.174;1.0;0.0;0.19;0.105;0.286;0.1;0.143;0.105;0.182;0.0;0.211;0.235;0.2
ENST00000430038_90_90;0.182;0.2;0.158;0.192;0.0;1.0;0.208;0.0;0.0;0.238;0.077;0.211;0.167;0.75;0.19;0.15;0.182
ENST00000436336_90_90;0.5;0.778;0.8;0.913;0.19;0.208;1.0;0.462;0.667;0.857;0.64;0.75;0.818;0.238;0.85;0.667;0.9
ENST00000440514_90_90;0.15;0.474;0.6;0.538;0.105;0.0;0.462;1.0;0.632;0.4;0.48;0.429;0.591;0.0;0.455;0.5;0.5
ENST00000441580_90_90;0.294;0.5;0.55;0.609;0.286;0.0;0.667;0.632;1.0;0.524;0.619;0.45;0.545;0.0;0.55;0.526;0.6
ENST00000451876_90_90;0.412;0.812;0.65;0.783;0.1;0.238;0.857;0.4;0.524;1.0;0.52;0.882;0.682;0.278;0.789;0.524;0.75
ENST00000452047_90_90;0.333;0.526;0.571;0.593;0.143;0.077;0.64;0.48;0.619;0.52;1.0;0.6;0.682;0.15;0.7;0.684;0.75
ENSMUST00000070487_90_90;0.444;0.824;0.667;0.682;0.105;0.211;0.75;0.429;0.45;0.882;0.6;1.0;0.773;0.3;0.895;0.619;0.85
ENSMUST00000160422_90_90;0.476;0.714;0.905;0.909;0.182;0.167;0.818;0.591;0.545;0.682;0.682;0.773;1.0;0.24;0.864;0.773;0.909
ENSMUST00000160574_90_90;0.364;0.25;0.2;0.217;0.0;0.75;0.238;0.0;0.0;0.278;0.15;0.3;0.24;1.0;0.273;0.182;0.261
ENSMUST00000160629_90_90;0.556;0.737;0.762;0.773;0.211;0.19;0.85;0.455;0.55;0.789;0.7;0.895;0.864;0.273;1.0;0.714;0.95
ENSMUST00000160762_90_90;0.444;0.55;0.667;0.682;0.235;0.15;0.667;0.5;0.526;0.524;0.684;0.619;0.773;0.182;0.714;1.0;0.762
ENSMUST00000162244_90_90;0.526;0.789;0.81;0.818;0.2;0.182;0.9;0.5;0.6;0.75;0.75;0.85;0.909;0.261;0.95;0.762;1.0
