;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENSCAFT00000006204_90_90;1.0;0.615;0.846;0.852;0.138;0.815;0.815;0.56;0.111;0.56;0.385;0.154;0.037;0.192;0.074;0.24;0.577;0.28;0.037;0.077;0.08;0.923;0.692;0.16;0.615;0.885;0.731;0.846;0.815
ENST00000361556_90_90;0.615;1.0;0.667;0.615;0.0;0.64;0.64;0.824;0.1;0.824;0.217;0.0;0.111;0.211;0.05;0.353;0.737;0.412;0.111;0.111;0.118;0.615;0.895;0.0;1.0;0.64;0.762;0.667;0.64
ENST00000371714_90_90;0.846;0.667;1.0;0.92;0.192;0.958;0.88;0.609;0.077;0.609;0.478;0.167;0.04;0.16;0.038;0.261;0.56;0.304;0.04;0.083;0.087;0.846;0.615;0.174;0.667;0.808;0.72;0.917;0.88
ENST00000428468_90_90;0.852;0.615;0.92;1.0;0.179;0.885;0.96;0.56;0.154;0.56;0.44;0.154;0.037;0.24;0.115;0.24;0.64;0.28;0.037;0.077;0.08;0.852;0.63;0.16;0.615;0.815;0.667;0.846;0.815
ENST00000435274_90_90;0.138;0.0;0.192;0.179;1.0;0.185;0.143;0.0;0.0;0.0;0.267;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.179;0.0;0.333;0.0;0.143;0.0;0.192;0.185
ENST00000447887_90_90;0.815;0.64;0.958;0.885;0.185;1.0;0.846;0.583;0.074;0.583;0.458;0.16;0.038;0.154;0.037;0.25;0.538;0.292;0.038;0.08;0.083;0.815;0.593;0.167;0.64;0.778;0.692;0.88;0.92
ENST00000453295_90_90;0.815;0.64;0.88;0.96;0.143;0.846;1.0;0.583;0.16;0.583;0.4;0.115;0.038;0.25;0.12;0.25;0.667;0.292;0.038;0.08;0.083;0.815;0.654;0.12;0.64;0.846;0.692;0.808;0.778
ENST00000462759_90_90;0.56;0.824;0.609;0.56;0.0;0.583;0.583;1.0;0.118;1.0;0.136;0.0;0.0;0.25;0.059;0.429;0.875;0.5;0.0;0.133;0.143;0.56;0.737;0.0;0.824;0.583;0.7;0.609;0.583
ENST00000481937_90_90;0.111;0.1;0.077;0.154;0.0;0.074;0.16;0.118;1.0;0.118;0.143;0.0;0.0;0.571;0.5;0.0;0.235;0.2;0.0;0.333;0.0;0.111;0.143;0.0;0.1;0.115;0.087;0.077;0.074
ENST00000486942_90_90;0.56;0.824;0.609;0.56;0.0;0.583;0.583;1.0;0.118;1.0;0.136;0.0;0.0;0.25;0.059;0.429;0.875;0.5;0.0;0.133;0.143;0.56;0.737;0.0;0.824;0.583;0.7;0.609;0.583
ENST00000489990_90_90;0.385;0.217;0.478;0.44;0.267;0.458;0.4;0.136;0.143;0.136;1.0;0.231;0.077;0.133;0.071;0.062;0.125;0.2;0.077;0.167;0.0;0.385;0.2;0.25;0.217;0.346;0.292;0.417;0.4
ENST00000495776_90_90;0.154;0.0;0.167;0.154;0.3;0.16;0.115;0.0;0.0;0.0;0.231;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.154;0.0;0.8;0.0;0.115;0.042;0.167;0.16
ENST00000526917_90_90;0.037;0.111;0.04;0.037;0.0;0.038;0.038;0.0;0.0;0.0;0.077;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.037;0.1;0.0;0.111;0.038;0.045;0.04;0.038
ENST00000527631_90_90;0.192;0.211;0.16;0.24;0.0;0.154;0.25;0.25;0.571;0.25;0.133;0.0;0.0;1.0;0.429;0.091;0.375;0.444;0.0;0.286;0.0;0.192;0.25;0.0;0.211;0.2;0.182;0.16;0.154
ENST00000528603_90_90;0.074;0.05;0.038;0.115;0.0;0.037;0.12;0.059;0.5;0.059;0.071;0.0;0.0;0.429;1.0;0.0;0.176;0.1;0.0;0.167;0.0;0.074;0.095;0.0;0.05;0.077;0.043;0.038;0.037
ENST00000531061_90_90;0.24;0.353;0.261;0.24;0.0;0.25;0.25;0.429;0.0;0.429;0.062;0.0;0.0;0.091;0.0;1.0;0.375;0.444;0.0;0.0;0.0;0.24;0.316;0.0;0.353;0.25;0.3;0.261;0.25
ENST00000531828_90_90;0.577;0.737;0.56;0.64;0.0;0.538;0.667;0.875;0.235;0.875;0.125;0.0;0.0;0.375;0.176;0.375;1.0;0.438;0.0;0.118;0.125;0.577;0.75;0.0;0.737;0.6;0.636;0.56;0.538
ENST00000532975_90_90;0.28;0.412;0.304;0.28;0.0;0.292;0.292;0.5;0.2;0.5;0.2;0.0;0.0;0.444;0.1;0.444;0.438;1.0;0.0;0.25;0.0;0.28;0.368;0.0;0.412;0.292;0.35;0.304;0.292
ENST00000533884_90_90;0.037;0.111;0.04;0.037;0.0;0.038;0.038;0.0;0.0;0.0;0.077;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.037;0.1;0.0;0.111;0.038;0.045;0.04;0.038
ENST00000534040_90_90;0.077;0.111;0.083;0.077;0.0;0.08;0.08;0.133;0.333;0.133;0.167;0.0;0.0;0.286;0.167;0.0;0.118;0.25;0.0;1.0;0.0;0.077;0.1;0.0;0.111;0.08;0.095;0.083;0.08
ENST00000625138_90_90;0.08;0.118;0.087;0.08;0.0;0.083;0.083;0.143;0.0;0.143;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;1.0;0.08;0.105;0.0;0.118;0.083;0.1;0.087;0.083
ENSMUST00000030288_90_90;0.923;0.615;0.846;0.852;0.179;0.815;0.815;0.56;0.111;0.56;0.385;0.154;0.037;0.192;0.074;0.24;0.577;0.28;0.037;0.077;0.08;1.0;0.692;0.16;0.615;0.96;0.667;0.92;0.885
ENSMUST00000084366_90_90;0.692;0.895;0.615;0.63;0.0;0.593;0.654;0.737;0.143;0.737;0.2;0.0;0.1;0.25;0.095;0.316;0.75;0.368;0.1;0.1;0.105;0.692;1.0;0.0;0.895;0.72;0.696;0.615;0.593
ENSMUST00000159545_90_90;0.16;0.0;0.174;0.16;0.333;0.167;0.12;0.0;0.0;0.0;0.25;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16;0.0;1.0;0.0;0.12;0.043;0.174;0.167
ENSMUST00000160271_90_90;0.615;1.0;0.667;0.615;0.0;0.64;0.64;0.824;0.1;0.824;0.217;0.0;0.111;0.211;0.05;0.353;0.737;0.412;0.111;0.111;0.118;0.615;0.895;0.0;1.0;0.64;0.762;0.667;0.64
