;ENSCAFT00000030055_90_90;ENST00000345434_90_90;ENST00000370674_90_90;ENST00000370676_90_90;ENST00000370683_90_90;ENST00000370690_90_90;ENST00000394153_90_90;ENST00000394155_90_90;ENST00000420362_90_90;ENST00000434885_90_90;ENST00000449474_90_90;ENST00000452016_90_90;ENST00000456445_90_90;ENST00000458357_90_90;ENST00000535737_90_90;ENST00000539015_90_90;ENST00000543669_90_90;ENST00000618438_90_90;ENST00000625935_90_90;ENST00000627383_90_90;ENST00000627578_90_90;ENST00000627812_90_90;ENST00000628032_90_90;ENST00000628443_90_90;ENST00000628568_90_90;ENST00000628919_90_90;ENST00000629039_90_90;ENST00000630084_90_90;ENST00000630278_90_90;ENSMUST00000023854_90_90;ENSMUST00000114768_90_90;ENSMUST00000114769_90_90;ENSMUST00000114772_90_90;ENSMUST00000114773_90_90;ENSMUST00000116596_90_90;ENSMUST00000144600_90_90;ENSMUST00000151033_90_90;ENSMUST00000155882_90_90
ENSCAFT00000030055_90_90;1.0;0.866;0.867;0.705;0.995;0.944;0.944;0.866;0.69;0.7;0.476;0.7;0.695;0.524;0.944;0.91;0.944;0.653;0.063;0.467;0.516;0.223;0.591;0.499;0.944;0.44;0.944;0.944;0.264;0.944;0.67;0.864;0.956;0.91;0.944;0.777;0.302;0.245
ENST00000345434_90_90;0.866;1.0;0.791;0.572;0.707;0.739;0.739;1.0;0.633;0.642;0.437;0.642;0.637;0.48;0.739;0.682;0.739;0.601;0.058;0.428;0.473;0.204;0.542;0.457;0.739;0.404;0.739;0.739;0.241;0.739;0.576;0.998;0.711;0.682;0.739;0.712;0.277;0.225
ENST00000370674_90_90;0.867;0.791;1.0;0.71;0.869;0.919;0.919;0.791;0.794;0.806;0.548;0.806;0.799;0.602;0.919;0.833;0.919;0.754;0.073;0.538;0.593;0.256;0.68;0.574;0.919;0.506;0.919;0.919;0.303;0.919;0.715;0.793;0.875;0.833;0.919;0.889;0.347;0.282
ENST00000370676_90_90;0.705;0.572;0.71;1.0;0.709;0.655;0.655;0.572;0.675;0.667;0.671;0.667;0.672;0.738;0.655;0.641;0.655;0.924;0.089;0.659;0.727;0.314;0.766;0.703;0.655;0.621;0.655;0.655;0.371;0.657;0.944;0.575;0.674;0.642;0.657;0.613;0.427;0.347
ENST00000370683_90_90;0.995;0.707;0.869;0.709;1.0;0.946;0.946;0.707;0.69;0.7;0.476;0.7;0.695;0.524;0.946;0.913;0.946;0.655;0.063;0.467;0.516;0.223;0.591;0.499;0.946;0.44;0.946;0.946;0.264;0.948;0.674;0.709;0.96;0.914;0.948;0.775;0.302;0.246
ENST00000370690_90_90;0.944;0.739;0.919;0.655;0.946;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.66;0.741;0.952;0.906;1.0;0.817;0.319;0.26
ENST00000394153_90_90;0.944;0.739;0.919;0.655;0.946;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.66;0.741;0.952;0.906;1.0;0.817;0.319;0.26
ENST00000394155_90_90;0.866;1.0;0.791;0.572;0.707;0.739;0.739;1.0;0.633;0.642;0.437;0.642;0.637;0.48;0.739;0.682;0.739;0.601;0.058;0.428;0.473;0.204;0.542;0.457;0.739;0.404;0.739;0.739;0.241;0.739;0.576;0.998;0.711;0.682;0.739;0.712;0.277;0.225
ENST00000420362_90_90;0.69;0.633;0.794;0.675;0.69;0.73;0.73;0.633;1.0;0.986;0.69;0.986;0.994;0.759;0.73;0.661;0.73;0.722;0.091;0.677;0.747;0.323;0.856;0.723;0.73;0.638;0.73;0.73;0.382;0.73;0.681;0.634;0.695;0.661;0.73;0.888;0.437;0.356
ENST00000434885_90_90;0.7;0.642;0.806;0.667;0.7;0.74;0.74;0.642;0.986;1.0;0.68;1.0;0.992;0.748;0.74;0.671;0.74;0.713;0.09;0.667;0.736;0.318;0.844;0.712;0.74;0.629;0.74;0.74;0.376;0.74;0.672;0.643;0.705;0.671;0.74;0.901;0.431;0.35
ENST00000449474_90_90;0.476;0.437;0.548;0.671;0.476;0.504;0.504;0.437;0.69;0.68;1.0;0.68;0.686;0.91;0.504;0.456;0.504;0.727;0.132;0.981;0.924;0.468;0.806;0.955;0.504;0.924;0.504;0.504;0.553;0.504;0.678;0.437;0.48;0.456;0.504;0.613;0.634;0.515
ENST00000452016_90_90;0.7;0.642;0.806;0.667;0.7;0.74;0.74;0.642;0.986;1.0;0.68;1.0;0.992;0.748;0.74;0.671;0.74;0.713;0.09;0.667;0.736;0.318;0.844;0.712;0.74;0.629;0.74;0.74;0.376;0.74;0.672;0.643;0.705;0.671;0.74;0.901;0.431;0.35
ENST00000456445_90_90;0.695;0.637;0.799;0.672;0.695;0.735;0.735;0.637;0.994;0.992;0.686;0.992;1.0;0.754;0.735;0.666;0.735;0.718;0.091;0.673;0.742;0.321;0.851;0.718;0.735;0.634;0.735;0.735;0.379;0.735;0.677;0.638;0.7;0.666;0.735;0.894;0.434;0.353
ENST00000458357_90_90;0.524;0.48;0.602;0.738;0.524;0.554;0.554;0.48;0.759;0.748;0.91;0.748;0.754;1.0;0.554;0.502;0.554;0.799;0.12;0.892;0.985;0.426;0.886;0.953;0.554;0.841;0.554;0.554;0.503;0.554;0.745;0.481;0.527;0.502;0.554;0.674;0.576;0.469
ENST00000535737_90_90;0.944;0.739;0.919;0.655;0.946;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.66;0.741;0.952;0.906;1.0;0.817;0.319;0.26
ENST00000539015_90_90;0.91;0.682;0.833;0.641;0.913;0.906;0.906;0.682;0.661;0.671;0.456;0.671;0.666;0.502;0.906;1.0;0.906;0.628;0.06;0.448;0.494;0.214;0.566;0.478;0.906;0.422;0.906;0.906;0.252;0.906;0.645;0.684;0.918;1.0;0.906;0.741;0.289;0.235
ENST00000543669_90_90;0.944;0.739;0.919;0.655;0.946;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.66;0.741;0.952;0.906;1.0;0.817;0.319;0.26
ENST00000618438_90_90;0.653;0.601;0.754;0.924;0.655;0.693;0.693;0.601;0.722;0.713;0.727;0.713;0.718;0.799;0.693;0.628;0.693;1.0;0.096;0.713;0.787;0.34;0.827;0.761;0.693;0.672;0.693;0.693;0.402;0.693;0.933;0.602;0.66;0.628;0.693;0.65;0.46;0.375
ENST00000625935_90_90;0.063;0.058;0.073;0.089;0.063;0.067;0.067;0.058;0.091;0.09;0.132;0.09;0.091;0.12;0.067;0.06;0.067;0.096;1.0;0.135;0.122;0.283;0.107;0.126;0.067;0.143;0.067;0.067;0.239;0.067;0.09;0.058;0.063;0.06;0.067;0.081;0.209;0.257
ENST00000627383_90_90;0.467;0.428;0.538;0.659;0.467;0.494;0.494;0.428;0.677;0.667;0.981;0.667;0.673;0.892;0.494;0.448;0.494;0.713;0.135;1.0;0.906;0.477;0.79;0.937;0.494;0.942;0.494;0.494;0.564;0.494;0.665;0.429;0.471;0.448;0.494;0.601;0.646;0.525
ENST00000627578_90_90;0.516;0.473;0.593;0.727;0.516;0.545;0.545;0.473;0.747;0.736;0.924;0.736;0.742;0.985;0.545;0.494;0.545;0.787;0.122;0.906;1.0;0.432;0.872;0.967;0.545;0.854;0.545;0.545;0.511;0.545;0.734;0.474;0.519;0.494;0.545;0.664;0.585;0.476
ENST00000627812_90_90;0.223;0.204;0.256;0.314;0.223;0.236;0.236;0.204;0.323;0.318;0.468;0.318;0.321;0.426;0.236;0.214;0.236;0.34;0.283;0.477;0.432;1.0;0.377;0.447;0.236;0.506;0.236;0.236;0.846;0.236;0.317;0.205;0.224;0.214;0.236;0.287;0.739;0.908
ENST00000628032_90_90;0.591;0.542;0.68;0.766;0.591;0.625;0.625;0.542;0.856;0.844;0.806;0.844;0.851;0.886;0.625;0.566;0.625;0.827;0.107;0.79;0.872;0.377;1.0;0.844;0.625;0.745;0.625;0.625;0.446;0.625;0.773;0.543;0.595;0.566;0.625;0.761;0.51;0.415
ENST00000628443_90_90;0.499;0.457;0.574;0.703;0.499;0.527;0.527;0.457;0.723;0.712;0.955;0.712;0.718;0.953;0.527;0.478;0.527;0.761;0.126;0.937;0.967;0.447;0.844;1.0;0.527;0.883;0.527;0.527;0.528;0.527;0.71;0.458;0.502;0.478;0.527;0.642;0.605;0.492
