;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;1.0;0.75;0.841;0.816;0.591;0.657;0.661;0.143;0.502;0.994;0.716;0.835;0.733;0.708;0.395;0.394;0.727;0.283;0.547;0.892
ENST00000264731_90_90;1.0;1.0;0.75;0.824;0.816;0.579;0.644;0.627;0.127;0.467;0.994;0.702;0.818;0.666;0.656;0.387;0.348;0.661;0.278;0.491;0.826
ENST00000320472_90_90;0.75;0.75;1.0;0.579;0.907;0.767;0.697;0.822;0.163;0.609;0.744;0.457;0.573;0.439;0.707;0.513;0.446;0.434;0.367;0.634;0.594
ENST00000354600_90_90;0.841;0.824;0.579;1.0;0.644;0.71;0.787;0.467;0.169;0.571;0.818;0.855;0.993;0.801;0.499;0.482;0.425;0.794;0.12;0.342;0.666
ENST00000392460_90_90;0.816;0.816;0.907;0.644;1.0;0.697;0.786;0.759;0.152;0.563;0.81;0.522;0.638;0.499;0.79;0.472;0.415;0.494;0.338;0.589;0.656
ENST00000392461_90_90;0.591;0.579;0.767;0.71;0.697;1.0;0.889;0.609;0.228;0.785;0.573;0.565;0.703;0.535;0.519;0.679;0.572;0.529;0.158;0.439;0.439
ENST00000392463_90_90;0.657;0.644;0.697;0.787;0.786;0.889;1.0;0.563;0.209;0.714;0.638;0.642;0.78;0.605;0.599;0.613;0.524;0.599;0.145;0.409;0.499
ENST00000418709_90_90;0.661;0.627;0.822;0.467;0.759;0.609;0.563;1.0;0.17;0.756;0.621;0.351;0.462;0.341;0.582;0.536;0.464;0.336;0.384;0.66;0.487
ENST00000434928_90_90;0.143;0.127;0.163;0.169;0.152;0.228;0.209;0.17;1.0;0.239;0.128;0.04;0.17;0.174;0.156;0.313;0.257;0.175;0.344;0.181;0.13
ENST00000437221_90_90;0.502;0.467;0.609;0.571;0.563;0.785;0.714;0.756;0.239;1.0;0.462;0.434;0.564;0.416;0.406;0.719;0.6;0.41;0.165;0.457;0.341
ENST00000440651_90_90;0.994;0.994;0.744;0.818;0.81;0.573;0.638;0.621;0.128;0.462;1.0;0.696;0.823;0.661;0.65;0.381;0.342;0.664;0.279;0.494;0.821
ENST00000449992_90_90;0.716;0.702;0.457;0.855;0.522;0.565;0.642;0.351;0.04;0.434;0.696;1.0;0.848;0.669;0.386;0.338;0.298;0.662;0.0;0.233;0.553
ENST00000456148_90_90;0.835;0.818;0.573;0.993;0.638;0.703;0.78;0.462;0.17;0.564;0.823;0.848;1.0;0.794;0.494;0.476;0.419;0.799;0.121;0.344;0.661
ENSMUST00000040231_90_90;0.733;0.666;0.439;0.801;0.499;0.535;0.605;0.341;0.174;0.416;0.661;0.669;0.794;1.0;0.644;0.48;0.571;0.993;0.116;0.462;0.824
ENSMUST00000065523_90_90;0.708;0.656;0.707;0.499;0.79;0.519;0.599;0.582;0.156;0.406;0.65;0.386;0.494;0.644;1.0;0.47;0.563;0.638;0.325;0.752;0.816
ENSMUST00000115304_90_90;0.395;0.387;0.513;0.482;0.472;0.679;0.613;0.536;0.313;0.719;0.381;0.338;0.476;0.48;0.47;1.0;0.715;0.474;0.198;0.526;0.386
ENSMUST00000115305_90_90;0.394;0.348;0.446;0.425;0.415;0.572;0.524;0.464;0.257;0.6;0.342;0.298;0.419;0.571;0.563;0.715;1.0;0.564;0.158;0.749;0.467
ENSMUST00000115306_90_90;0.727;0.661;0.434;0.794;0.494;0.529;0.599;0.336;0.175;0.41;0.664;0.662;0.799;0.993;0.638;0.474;0.564;1.0;0.117;0.464;0.818
ENSMUST00000115307_90_90;0.283;0.278;0.367;0.12;0.338;0.158;0.145;0.384;0.344;0.165;0.279;0.0;0.121;0.116;0.325;0.198;0.158;0.117;1.0;0.37;0.269
ENSMUST00000115308_90_90;0.547;0.491;0.634;0.342;0.589;0.439;0.409;0.66;0.181;0.457;0.494;0.233;0.344;0.462;0.752;0.526;0.749;0.464;0.37;1.0;0.621
ENSMUST00000115310_90_90;0.892;0.826;0.594;0.666;0.656;0.439;0.499;0.487;0.13;0.341;0.821;0.553;0.661;0.824;0.816;0.386;0.467;0.818;0.269;0.621;1.0
