;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSCAFT00000003726_90_90;1.0;0.561;0.748;0.502;0.449;0.585;0.559;0.454;0.534;0.479;0.613;0.454;0.428;0.476;0.476;0.587;0.587;0.572;0.585;0.466;0.449;0.615;0.586;0.472;0.476;0.449;0.613;0.502;0.472;0.502;0.476;0.585;0.557;0.557;0.586;0.557;0.676;0.0
ENSCAFT00000003727_90_90;0.561;1.0;0.458;0.822;0.772;0.975;0.95;0.844;0.924;0.869;0.927;0.844;0.819;0.796;0.796;0.902;0.902;0.924;0.899;0.715;0.767;0.851;0.826;0.72;0.792;0.767;0.923;0.746;0.72;0.746;0.792;0.899;0.873;0.873;0.826;0.873;0.416;0.126
ENST00000502815_90_90;0.748;0.458;1.0;0.354;0.386;0.457;0.474;0.351;0.5;0.34;0.477;0.356;0.369;0.371;0.366;0.502;0.495;0.479;0.488;0.334;0.379;0.504;0.528;0.412;0.376;0.393;0.489;0.393;0.396;0.379;0.362;0.481;0.503;0.51;0.55;0.523;0.913;0.0
ENST00000504896_90_90;0.502;0.822;0.354;1.0;0.899;0.803;0.764;0.914;0.714;0.956;0.837;0.901;0.86;0.943;0.957;0.784;0.795;0.769;0.749;0.862;0.849;0.792;0.75;0.853;0.857;0.814;0.747;0.898;0.891;0.935;0.893;0.76;0.719;0.708;0.716;0.686;0.325;0.108
ENST00000506700_90_90;0.449;0.772;0.386;0.899;1.0;0.714;0.742;0.896;0.784;0.86;0.743;0.908;0.952;0.953;0.94;0.783;0.774;0.767;0.745;0.837;0.866;0.729;0.762;0.948;0.861;0.9;0.709;0.903;0.91;0.869;0.829;0.699;0.729;0.78;0.79;0.755;0.355;0.126
ENST00000506720_90_90;0.585;0.975;0.457;0.803;0.714;1.0;0.956;0.803;0.9;0.843;0.958;0.793;0.753;0.753;0.764;0.903;0.913;0.904;0.883;0.694;0.759;0.893;0.849;0.686;0.768;0.727;0.923;0.728;0.719;0.76;0.8;0.936;0.891;0.841;0.815;0.857;0.422;0.104
ENST00000506746_90_90;0.559;0.95;0.474;0.764;0.742;0.956;1.0;0.837;0.941;0.803;0.913;0.753;0.784;0.714;0.796;0.858;0.956;0.861;0.841;0.722;0.79;0.849;0.886;0.715;0.727;0.756;0.879;0.686;0.748;0.719;0.759;0.891;0.93;0.875;0.85;0.894;0.436;0.111
ENST00000507164_90_90;0.454;0.844;0.351;0.914;0.896;0.803;0.837;1.0;0.784;0.958;0.764;0.904;0.943;0.86;0.954;0.714;0.796;0.768;0.748;0.857;0.933;0.719;0.748;0.849;0.859;0.895;0.746;0.814;0.885;0.849;0.895;0.759;0.79;0.779;0.715;0.756;0.322;0.11
ENST00000507625_90_90;0.534;0.924;0.5;0.714;0.784;0.9;0.941;0.784;1.0;0.753;0.858;0.792;0.827;0.75;0.742;0.907;0.897;0.908;0.885;0.666;0.772;0.831;0.869;0.755;0.765;0.8;0.887;0.723;0.729;0.699;0.741;0.874;0.913;0.925;0.901;0.949;0.46;0.121
ENST00000508693_90_90;0.479;0.869;0.34;0.956;0.86;0.843;0.803;0.958;0.753;1.0;0.803;0.946;0.904;0.901;0.914;0.753;0.764;0.81;0.789;0.823;0.895;0.76;0.719;0.814;0.902;0.859;0.788;0.857;0.849;0.893;0.938;0.8;0.759;0.748;0.686;0.727;0.311;0.104
