;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript14_ENSMLUG00000027828;1.0;0.945;0.715;0.063;0.565;0.825;0.839;0.686;0.898;0.892;0.892;0.704;0.067;0.532;0.895;0.889;0.889;0.939;0.873;0.774;0.662;0.56;0.92;0.92;0.722;0.822;0.059;0.579;0.83;0.901;0.075
transcript13_ENSMLUG00000027828;0.945;1.0;0.772;0.06;0.549;0.874;0.889;0.736;0.942;0.947;0.947;0.754;0.066;0.504;0.938;0.943;0.943;0.889;0.927;0.829;0.718;0.533;0.965;0.965;0.769;0.868;0.056;0.564;0.875;0.946;0.073
transcript22_ENSMLUG00000027828;0.715;0.772;1.0;0.08;0.431;0.67;0.68;0.954;0.74;0.745;0.745;0.544;0.085;0.395;0.739;0.743;0.743;0.686;0.726;0.625;0.94;0.408;0.742;0.742;0.536;0.641;0.075;0.428;0.653;0.726;0.082
transcript9_ENSMLUG00000027828;0.063;0.06;0.08;1.0;0.104;0.06;0.062;0.075;0.06;0.061;0.061;0.072;0.932;0.11;0.059;0.059;0.059;0.062;0.06;0.068;0.077;0.108;0.057;0.057;0.073;0.064;0.967;0.11;0.063;0.058;0.971
transcript7_ENSCCNG00000000226;0.565;0.549;0.431;0.104;1.0;0.632;0.503;0.457;0.57;0.572;0.572;0.751;0.146;0.969;0.566;0.568;0.568;0.587;0.576;0.444;0.453;0.986;0.566;0.566;0.733;0.456;0.105;0.957;0.604;0.558;0.14
transcript26_ENSCCNG00000000226;0.825;0.874;0.67;0.06;0.632;1.0;0.866;0.716;0.893;0.887;0.887;0.718;0.08;0.56;0.899;0.893;0.893;0.83;0.879;0.773;0.692;0.591;0.907;0.907;0.702;0.802;0.06;0.626;0.955;0.89;0.081
transcript24_ENSCCNG00000000226;0.839;0.889;0.68;0.062;0.503;0.866;1.0;0.713;0.895;0.889;0.889;0.718;0.075;0.428;0.885;0.879;0.879;0.812;0.864;0.948;0.668;0.466;0.91;0.91;0.698;0.972;0.063;0.493;0.824;0.888;0.085
transcript32_ENSCPOG00000024843;0.686;0.736;0.954;0.075;0.457;0.716;0.713;1.0;0.772;0.771;0.771;0.573;0.084;0.416;0.777;0.775;0.775;0.713;0.76;0.644;0.958;0.43;0.792;0.792;0.565;0.68;0.072;0.451;0.699;0.764;0.074
transcript10_ENSECAG00000007947;0.898;0.942;0.74;0.06;0.57;0.893;0.895;0.772;1.0;0.994;0.994;0.763;0.069;0.516;0.945;0.939;0.939;0.875;0.923;0.827;0.744;0.543;0.962;0.962;0.762;0.865;0.058;0.577;0.885;0.937;0.073
transcript17_ENSECAG00000007947;0.892;0.947;0.745;0.061;0.572;0.887;0.889;0.771;0.994;1.0;1.0;0.757;0.07;0.519;0.939;0.945;0.945;0.881;0.928;0.832;0.748;0.545;0.956;0.956;0.756;0.859;0.059;0.579;0.879;0.931;0.073
transcript12_ENSECAG00000007947;0.892;0.947;0.745;0.061;0.572;0.887;0.889;0.771;0.994;1.0;1.0;0.757;0.07;0.519;0.939;0.945;0.945;0.881;0.928;0.832;0.748;0.545;0.956;0.956;0.756;0.859;0.059;0.579;0.879;0.931;0.073
transcript18_ENSCCNG00000000226;0.704;0.754;0.544;0.072;0.751;0.718;0.718;0.573;0.763;0.757;0.757;1.0;0.101;0.671;0.762;0.756;0.756;0.691;0.766;0.633;0.55;0.7;0.769;0.769;0.981;0.661;0.073;0.746;0.692;0.758;0.102
transcript9_ENSCCNG00000000226;0.067;0.066;0.085;0.932;0.146;0.08;0.075;0.084;0.069;0.07;0.07;0.101;1.0;0.144;0.07;0.07;0.07;0.071;0.071;0.074;0.087;0.14;0.068;0.068;0.096;0.071;0.967;0.145;0.077;0.071;0.984
transcript7_ENSMPUG00000020072;0.532;0.504;0.395;0.11;0.969;0.56;0.428;0.416;0.516;0.519;0.519;0.671;0.144;1.0;0.534;0.538;0.538;0.573;0.546;0.41;0.427;0.97;0.514;0.514;0.668;0.395;0.104;0.937;0.55;0.51;0.138
transcript10_ENSMPUG00000020072;0.895;0.938;0.739;0.059;0.566;0.899;0.885;0.777;0.945;0.939;0.939;0.762;0.07;0.534;1.0;0.994;0.994;0.931;0.979;0.863;0.784;0.544;0.963;0.963;0.76;0.841;0.056;0.576;0.888;0.944;0.073
transcript17_ENSMPUG00000020072;0.889;0.943;0.743;0.059;0.568;0.893;0.879;0.775;0.939;0.945;0.945;0.756;0.07;0.538;0.994;1.0;1.0;0.936;0.984;0.867;0.788;0.546;0.958;0.958;0.754;0.835;0.056;0.578;0.881;0.938;0.073
transcript20_ENSMPUG00000020072;0.889;0.943;0.743;0.059;0.568;0.893;0.879;0.775;0.939;0.945;0.945;0.756;0.07;0.538;0.994;1.0;1.0;0.936;0.984;0.867;0.788;0.546;0.958;0.958;0.754;0.835;0.056;0.578;0.881;0.938;0.073
transcript23_ENSMPUG00000020072;0.939;0.889;0.686;0.062;0.587;0.83;0.812;0.713;0.875;0.881;0.881;0.691;0.071;0.573;0.931;0.936;0.936;1.0;0.921;0.803;0.724;0.581;0.897;0.897;0.692;0.774;0.06;0.594;0.821;0.877;0.076
transcript25_ENSMPUG00000020072;0.873;0.927;0.726;0.06;0.576;0.879;0.864;0.76;0.923;0.928;0.928;0.766;0.071;0.546;0.979;0.984;0.984;0.921;1.0;0.851;0.772;0.554;0.943;0.943;0.765;0.82;0.058;0.588;0.864;0.92;0.075
transcript24_ENSMPUG00000020072;0.774;0.829;0.625;0.068;0.444;0.773;0.948;0.644;0.827;0.832;0.832;0.633;0.074;0.41;0.863;0.867;0.867;0.803;0.851;1.0;0.655;0.417;0.829;0.829;0.623;0.952;0.065;0.438;0.756;0.813;0.087
transcript22_ENSMPUG00000020072;0.662;0.718;0.94;0.077;0.453;0.692;0.668;0.958;0.744;0.748;0.748;0.55;0.087;0.427;0.784;0.788;0.788;0.724;0.772;0.655;1.0;0.432;0.754;0.754;0.546;0.631;0.072;0.456;0.683;0.742;0.079
transcript7_ENSCPOG00000024843;0.56;0.533;0.408;0.108;0.986;0.591;0.466;0.43;0.543;0.545;0.545;0.7;0.14;0.97;0.544;0.546;0.546;0.581;0.554;0.417;0.432;1.0;0.543;0.543;0.701;0.432;0.106;0.964;0.579;0.538;0.133
transcript17_ENSCPOG00000024843;0.92;0.965;0.742;0.057;0.566;0.907;0.91;0.792;0.962;0.956;0.956;0.769;0.068;0.514;0.963;0.958;0.958;0.897;0.943;0.829;0.754;0.543;1.0;1.0;0.78;0.89;0.056;0.577;0.906;0.97;0.069
transcript33_ENSCPOG00000024843;0.92;0.965;0.742;0.057;0.566;0.907;0.91;0.792;0.962;0.956;0.956;0.769;0.068;0.514;0.963;0.958;0.958;0.897;0.943;0.829;0.754;0.543;1.0;1.0;0.78;0.89;0.056;0.577;0.906;0.97;0.069
transcript18_ENSCPOG00000024843;0.722;0.769;0.536;0.073;0.733;0.702;0.698;0.565;0.762;0.756;0.756;0.981;0.096;0.668;0.76;0.754;0.754;0.692;0.765;0.623;0.546;0.701;0.78;0.78;1.0;0.667;0.073;0.749;0.698;0.764;0.098
transcript24_ENSCPOG00000024843;0.822;0.868;0.641;0.064;0.456;0.802;0.972;0.68;0.865;0.859;0.859;0.661;0.071;0.395;0.841;0.835;0.835;0.774;0.82;0.952;0.631;0.432;0.89;0.89;0.667;1.0;0.063;0.456;0.798;0.863;0.08
