;ENSCAFT00000038801_90_90;ENST00000313899_90_90;ENST00000352301_90_90;ENST00000353341_90_90;ENST00000503822_90_90;ENST00000507010_90_90;ENST00000509107_90_90;ENST00000509263_90_90;ENST00000513584_90_90;ENST00000514671_90_90;ENST00000515432_90_90;ENSMUST00000019128_90_90;ENSMUST00000072750_90_90;ENSMUST00000112939_90_90;ENSMUST00000164833_90_90;ENSMUST00000168396_90_90;ENSMUST00000170912_90_90;ENSMUST00000171106_90_90;ENSMUST00000171640_90_90;ENSMUST00000171786_90_90;ENSMUST00000172361_90_90
ENSCAFT00000038801_90_90;1.0;1.0;0.946;0.862;0.437;0.623;0.259;0.684;0.242;0.59;0.315;0.857;0.803;0.941;0.369;0.239;0.071;0.607;0.423;0.302;0.994
ENST00000313899_90_90;1.0;1.0;0.946;0.862;0.437;0.623;0.259;0.684;0.242;0.59;0.315;0.857;0.803;0.941;0.369;0.239;0.071;0.607;0.423;0.302;0.994
ENST00000352301_90_90;0.946;0.946;1.0;0.808;0.461;0.569;0.206;0.632;0.256;0.623;0.332;0.803;0.849;0.994;0.39;0.252;0.075;0.612;0.446;0.319;0.941
ENST00000353341_90_90;0.862;0.862;0.808;1.0;0.507;0.722;0.301;0.574;0.281;0.684;0.365;0.993;0.932;0.803;0.231;0.277;0.083;0.704;0.49;0.351;0.857
ENST00000503822_90_90;0.437;0.437;0.461;0.507;1.0;0.701;0.42;0.229;0.555;0.269;0.399;0.502;0.535;0.457;0.0;0.545;0.163;0.264;0.063;0.408;0.433
ENST00000507010_90_90;0.623;0.623;0.569;0.722;0.701;1.0;0.416;0.424;0.389;0.406;0.505;0.717;0.655;0.565;0.0;0.383;0.115;0.426;0.212;0.486;0.618
ENST00000509107_90_90;0.259;0.259;0.206;0.301;0.42;0.416;1.0;0.206;0.216;0.159;0.244;0.301;0.239;0.206;0.0;0.216;0.275;0.182;0.0;0.251;0.259
ENST00000509263_90_90;0.684;0.684;0.632;0.574;0.229;0.424;0.206;1.0;0.025;0.665;0.428;0.574;0.521;0.632;0.36;0.025;0.097;0.686;0.455;0.412;0.684
ENST00000513584_90_90;0.242;0.242;0.256;0.281;0.555;0.389;0.216;0.025;1.0;0.029;0.044;0.277;0.295;0.252;0.0;0.977;0.0;0.028;0.023;0.045;0.239
ENST00000514671_90_90;0.59;0.59;0.623;0.684;0.269;0.406;0.159;0.665;0.029;1.0;0.533;0.684;0.729;0.623;0.317;0.029;0.121;0.972;0.717;0.513;0.59
ENST00000515432_90_90;0.315;0.315;0.332;0.365;0.399;0.505;0.244;0.428;0.044;0.533;1.0;0.365;0.389;0.332;0.0;0.044;0.227;0.519;0.258;0.961;0.315
ENSMUST00000019128_90_90;0.857;0.857;0.803;0.993;0.502;0.717;0.301;0.574;0.277;0.684;0.365;1.0;0.938;0.808;0.231;0.281;0.083;0.704;0.49;0.351;0.862
ENSMUST00000072750_90_90;0.803;0.803;0.849;0.932;0.535;0.655;0.239;0.521;0.295;0.729;0.389;0.938;1.0;0.854;0.244;0.3;0.088;0.714;0.523;0.374;0.808
ENSMUST00000112939_90_90;0.941;0.941;0.994;0.803;0.457;0.565;0.206;0.632;0.252;0.623;0.332;0.808;0.854;1.0;0.39;0.256;0.075;0.612;0.446;0.319;0.946
ENSMUST00000164833_90_90;0.369;0.369;0.39;0.231;0.0;0.0;0.0;0.36;0.0;0.317;0.0;0.231;0.244;0.39;1.0;0.0;0.0;0.31;0.412;0.0;0.369
ENSMUST00000168396_90_90;0.239;0.239;0.252;0.277;0.545;0.383;0.216;0.025;0.977;0.029;0.044;0.281;0.3;0.256;0.0;1.0;0.0;0.028;0.023;0.045;0.242
ENSMUST00000170912_90_90;0.071;0.071;0.075;0.083;0.163;0.115;0.275;0.097;0.0;0.121;0.227;0.083;0.088;0.075;0.0;0.0;1.0;0.118;0.0;0.236;0.071
ENSMUST00000171106_90_90;0.607;0.607;0.612;0.704;0.264;0.426;0.182;0.686;0.028;0.972;0.519;0.704;0.714;0.612;0.31;0.028;0.118;1.0;0.697;0.498;0.607
ENSMUST00000171640_90_90;0.423;0.423;0.446;0.49;0.063;0.212;0.0;0.455;0.023;0.717;0.258;0.49;0.523;0.446;0.412;0.023;0.0;0.697;1.0;0.237;0.423
ENSMUST00000171786_90_90;0.302;0.302;0.319;0.351;0.408;0.486;0.251;0.412;0.045;0.513;0.961;0.351;0.374;0.319;0.0;0.045;0.236;0.498;0.237;1.0;0.302
ENSMUST00000172361_90_90;0.994;0.994;0.941;0.857;0.433;0.618;0.259;0.684;0.239;0.59;0.315;0.862;0.808;0.946;0.369;0.242;0.071;0.607;0.423;0.302;1.0
