;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.997;0.738;0.942;0.531;0.823;0.715;0.914;0.914;0.997;0.999;0.916;0.125
ENST00000320672_90_90;0.997;1.0;0.724;0.945;0.508;0.825;0.7;0.917;0.897;0.978;0.996;0.913;0.124
ENST00000504985_90_90;0.738;0.724;1.0;0.669;0.325;0.553;0.914;0.642;0.664;0.745;0.738;0.655;0.0
ENST00000505980_90_90;0.942;0.945;0.669;1.0;0.455;0.77;0.646;0.861;0.843;0.924;0.941;0.858;0.131
ENST00000509013_90_90;0.531;0.508;0.325;0.455;1.0;0.47;0.335;0.429;0.42;0.498;0.53;0.447;0.113
ENST00000509053_90_90;0.823;0.825;0.553;0.77;0.47;1.0;0.529;0.9;0.879;0.808;0.822;0.896;0.15
ENST00000512923_90_90;0.715;0.7;0.914;0.646;0.335;0.529;1.0;0.618;0.605;0.685;0.715;0.632;0.0
ENST00000514493_90_90;0.914;0.917;0.642;0.861;0.429;0.9;0.618;1.0;0.976;0.897;0.913;0.996;0.135
ENST00000515395_90_90;0.914;0.897;0.664;0.843;0.42;0.879;0.605;0.976;1.0;0.919;0.913;0.996;0.135
ENST00000615665_90_90;0.997;0.978;0.745;0.924;0.498;0.808;0.685;0.897;0.919;1.0;0.996;0.913;0.124
ENSMUST00000004094_90_90;0.999;0.996;0.738;0.941;0.53;0.822;0.715;0.913;0.913;0.996;1.0;0.917;0.123
ENSMUST00000042122_90_90;0.916;0.913;0.655;0.858;0.447;0.896;0.632;0.996;0.996;0.913;0.917;1.0;0.134
ENSMUST00000138488_90_90;0.125;0.124;0.0;0.131;0.113;0.15;0.0;0.135;0.135;0.124;0.123;0.134;1.0
