;ENSCAFT00000030383_90_90;ENST00000392476_90_90;ENST00000430767_90_90;ENST00000431431_90_90;ENST00000436233_90_90;ENST00000443798_90_90;ENST00000561721_90_90;ENST00000585618_90_90;ENST00000586429_90_90;ENST00000587820_90_90;ENST00000588488_90_90;ENST00000588616_90_90;ENST00000588880_90_90;ENST00000589202_90_90;ENST00000589827_90_90;ENST00000590483_90_90;ENST00000591437_90_90;ENST00000591786_90_90;ENSMUST00000021177_90_90;ENSMUST00000090433_90_90;ENSMUST00000103026_90_90
ENSCAFT00000030383_90_90;1.0;0.774;0.833;0.7;0.833;0.774;0.036;0.833;0.214;0.179;0.071;0.276;0.071;0.267;0.633;0.276;0.7;0.25;0.833;0.897;0.833
ENST00000392476_90_90;0.774;1.0;0.929;0.786;0.929;1.0;0.037;0.929;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.786;0.259;0.8;0.742;0.742
ENST00000430767_90_90;0.833;0.929;1.0;0.852;1.0;0.929;0.037;1.0;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.852;0.259;0.742;0.8;0.742
ENST00000431431_90_90;0.7;0.786;0.852;1.0;0.852;0.786;0.0;0.852;0.074;0.037;0.087;0.391;0.0;0.375;0.63;0.231;1.0;0.111;0.613;0.667;0.613
ENST00000436233_90_90;0.833;0.929;1.0;0.852;1.0;0.929;0.037;1.0;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.852;0.259;0.742;0.8;0.742
ENST00000443798_90_90;0.774;1.0;0.929;0.786;0.929;1.0;0.037;0.929;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.786;0.259;0.8;0.742;0.742
ENST00000561721_90_90;0.036;0.037;0.037;0.0;0.037;0.037;1.0;0.037;0.167;0.2;0.0;0.0;0.5;0.0;0.048;0.0;0.0;0.143;0.037;0.037;0.037
ENST00000585618_90_90;0.833;0.929;1.0;0.852;1.0;0.929;0.037;1.0;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.852;0.259;0.742;0.8;0.742
ENST00000586429_90_90;0.214;0.222;0.222;0.074;0.222;0.222;0.167;0.222;1.0;0.833;0.0;0.154;0.333;0.0;0.286;0.25;0.074;0.857;0.222;0.222;0.222
ENST00000587820_90_90;0.179;0.185;0.185;0.037;0.185;0.185;0.2;0.185;0.833;1.0;0.0;0.077;0.4;0.0;0.238;0.167;0.037;0.714;0.185;0.185;0.185
ENST00000588488_90_90;0.071;0.074;0.074;0.087;0.074;0.074;0.0;0.074;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.087;0.0;0.074;0.074;0.074
ENST00000588616_90_90;0.276;0.333;0.333;0.391;0.333;0.333;0.0;0.333;0.154;0.077;0.0;1.0;0.0;0.118;0.429;0.5;0.391;0.231;0.286;0.286;0.286
ENST00000588880_90_90;0.071;0.074;0.074;0.0;0.074;0.074;0.5;0.074;0.333;0.4;0.0;0.0;1.0;0.0;0.095;0.0;0.0;0.286;0.074;0.074;0.074
ENST00000589202_90_90;0.267;0.321;0.321;0.375;0.321;0.321;0.0;0.321;0.0;0.0;0.0;0.118;0.0;1.0;0.409;0.056;0.375;0.0;0.233;0.233;0.233
ENST00000589827_90_90;0.633;0.778;0.778;0.63;0.778;0.778;0.048;0.778;0.286;0.238;0.0;0.429;0.095;0.409;1.0;0.304;0.63;0.333;0.6;0.6;0.6
ENST00000590483_90_90;0.276;0.241;0.241;0.231;0.241;0.241;0.0;0.241;0.25;0.167;0.0;0.5;0.0;0.056;0.304;1.0;0.231;0.333;0.286;0.286;0.286
ENST00000591437_90_90;0.7;0.786;0.852;1.0;0.852;0.786;0.0;0.852;0.074;0.037;0.087;0.391;0.0;0.375;0.63;0.231;1.0;0.111;0.613;0.667;0.613
ENST00000591786_90_90;0.25;0.259;0.259;0.111;0.259;0.259;0.143;0.259;0.857;0.714;0.0;0.231;0.286;0.0;0.333;0.333;0.111;1.0;0.259;0.259;0.259
ENSMUST00000021177_90_90;0.833;0.8;0.742;0.613;0.742;0.8;0.037;0.742;0.222;0.185;0.074;0.286;0.074;0.233;0.6;0.286;0.613;0.259;1.0;0.929;0.929
ENSMUST00000090433_90_90;0.897;0.742;0.8;0.667;0.8;0.742;0.037;0.8;0.222;0.185;0.074;0.286;0.074;0.233;0.6;0.286;0.667;0.259;0.929;1.0;0.929
ENSMUST00000103026_90_90;0.833;0.742;0.742;0.613;0.742;0.742;0.037;0.742;0.222;0.185;0.074;0.286;0.074;0.233;0.6;0.286;0.613;0.259;0.929;0.929;1.0
