id_transcript;block_sequence
ENSCAFT00000030383_90_90;0.1.2.3.4.5.6.7.8.9.12.13.14.15.16.17.19.21.22.23.25.26.27.28.29.30.31.32
ENST00000392476_90_90;0.1.2.3.4.5.6.7.8.9.10.13.14.15.16.17.18.19.21.23.25.26.27.28.29.30.34
ENST00000430767_90_90;0.1.2.3.4.5.6.7.8.9.10.13.14.15.16.17.18.19.21.23.25.26.27.28.29.30.31
ENST00000431431_90_90;4.5.6.7.8.9.10.13.14.15.16.17.18.19.21.23.25.26.27.28.29.30.31
ENST00000436233_90_90;0.1.2.3.4.5.6.7.8.9.10.13.14.15.16.17.18.19.21.23.25.26.27.28.29.30.31
ENST00000443798_90_90;0.1.2.3.4.5.6.7.8.9.10.13.14.15.16.17.18.19.21.23.25.26.27.28.29.30.34
ENST00000561721_90_90;0
ENST00000585618_90_90;0.1.2.3.4.5.6.7.8.9.10.13.14.15.16.17.18.19.21.23.25.26.27.28.29.30.31
ENST00000586429_90_90;0.1.2.3.4.5
ENST00000587820_90_90;0.1.2.3.4
ENST00000588488_90_90;27.29
ENST00000588616_90_90;4.5.6.7.8.9.10.13.14
ENST00000588880_90_90;0.1
ENST00000589202_90_90;13.14.15.16.17.18.19.21.23.24
ENST00000589827_90_90;0.1.2.3.4.5.6.7.8.9.10.13.14.15.16.17.18.19.21.23.25
ENST00000590483_90_90;3.4.5.6.7.8.11.12.13
ENST00000591437_90_90;4.5.6.7.8.9.10.13.14.15.16.17.18.19.21.23.25.26.27.28.29.30.31
ENST00000591786_90_90;0.1.2.3.4.5.7
ENSMUST00000021177_90_90;0.1.2.3.4.5.6.7.8.9.12.13.14.15.17.19.20.21.22.23.25.26.27.28.29.30.34
ENSMUST00000090433_90_90;0.1.2.3.4.5.6.7.8.9.12.13.14.15.17.19.20.21.22.23.25.26.27.28.29.30.31
ENSMUST00000103026_90_90;0.1.2.3.4.5.6.7.8.9.12.13.14.15.17.19.20.21.22.23.25.26.27.28.29.30.33
