;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;;;0.862;0.291;0.862;0.808;0.877;0.161;0.101;0.17;0.199;0.814;0.279;0.119;0.819;0.889;0.874;0.212;0.182
ENSCAFT00000047054_90_90;;;0.776;0.185;0.776;0.72;0.789;0.203;0.111;0.186;0.245;0.939;0.191;0.13;0.761;0.833;0.818;0.231;0.229
ENST00000265459_90_90;0.862;0.776;;;;;;;;;;0.814;0.277;0.119;0.853;0.925;0.946;0.188;0.185
ENST00000301894_90_90;0.291;0.185;;;;;;;;;;0.194;0.912;0.479;0.262;0.277;0.273;0.0;0.0
ENST00000377551_90_90;0.862;0.776;;;;;;;;;;0.814;0.277;0.119;0.853;0.925;0.946;0.188;0.185
ENST00000377559_90_90;0.808;0.72;;;;;;;;;;0.756;0.267;0.128;0.936;0.869;0.853;0.177;0.174
ENST00000409571_90_90;0.877;0.789;;;;;;;;;;0.83;0.281;0.12;0.869;0.944;0.925;0.193;0.19
ENST00000417749_90_90;0.161;0.203;;;;;;;;;;0.221;0.0;0.0;0.179;0.195;0.19;0.582;0.886
ENST00000423049_90_90;0.101;0.111;;;;;;;;;;0.116;0.359;0.606;0.111;0.103;0.102;0.0;0.0
ENST00000437746_90_90;0.17;0.186;;;;;;;;;;0.202;0.0;0.0;0.161;0.178;0.173;0.827;0.607
ENST00000442300_90_90;0.199;0.245;;;;;;;;;;0.266;0.0;0.0;0.222;0.235;0.229;0.465;0.693
ENSMUST00000077182_90_90;0.814;0.939;0.814;0.194;0.814;0.756;0.83;0.221;0.116;0.202;0.266;;;;;;;;
ENSMUST00000113458_90_90;0.279;0.191;0.277;0.912;0.277;0.267;0.281;0.0;0.359;0.0;0.0;;;;;;;;
ENSMUST00000113459_90_90;0.119;0.13;0.119;0.479;0.119;0.128;0.12;0.0;0.606;0.0;0.0;;;;;;;;
ENSMUST00000113461_90_90;0.819;0.761;0.853;0.262;0.853;0.936;0.869;0.179;0.111;0.161;0.222;;;;;;;;
ENSMUST00000113462_90_90;0.889;0.833;0.925;0.277;0.925;0.869;0.944;0.195;0.103;0.178;0.235;;;;;;;;
ENSMUST00000137166_90_90;0.874;0.818;0.946;0.273;0.946;0.853;0.925;0.19;0.102;0.173;0.229;;;;;;;;
ENSMUST00000137821_90_90;0.212;0.231;0.188;0.0;0.188;0.177;0.193;0.582;0.0;0.827;0.465;;;;;;;;
ENSMUST00000155158_90_90;0.182;0.229;0.185;0.0;0.185;0.174;0.19;0.886;0.0;0.607;0.693;;;;;;;;
