;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;1.0;0.557;0.934;0.229;0.768;0.54;1.0;0.934;0.934;1.0;0.394;0.629;0.938
ENST00000246194_90_90;1.0;1.0;0.53;0.943;0.208;0.794;0.483;1.0;0.94;0.94;1.0;0.366;0.582;0.944
ENST00000333552_90_90;0.557;0.53;1.0;0.474;0.156;0.557;0.442;0.512;0.452;0.452;0.512;0.271;0.587;0.542
ENST00000375114_90_90;0.934;0.943;0.474;1.0;0.221;0.843;0.425;0.94;1.0;1.0;0.94;0.388;0.617;0.884
ENST00000413297_90_90;0.229;0.208;0.156;0.221;1.0;0.265;0.413;0.214;0.227;0.227;0.214;0.567;0.354;0.226
ENST00000442805_90_90;0.768;0.794;0.557;0.843;0.265;1.0;0.504;0.786;0.837;0.837;0.786;0.468;0.742;0.834
ENST00000448364_90_90;0.54;0.483;0.442;0.425;0.413;0.504;1.0;0.498;0.439;0.439;0.498;0.723;0.676;0.527
ENSMUST00000029120_90_90;1.0;1.0;0.512;0.94;0.214;0.786;0.498;1.0;0.945;0.945;1.0;0.344;0.544;0.948
ENSMUST00000058089_90_90;0.934;0.94;0.452;1.0;0.227;0.837;0.439;0.945;1.0;1.0;0.945;0.363;0.576;0.893
ENSMUST00000109701_90_90;0.934;0.94;0.452;1.0;0.227;0.837;0.439;0.945;1.0;1.0;0.945;0.363;0.576;0.893
ENSMUST00000116389_90_90;1.0;1.0;0.512;0.94;0.214;0.786;0.498;1.0;0.945;0.945;1.0;0.344;0.544;0.948
ENSMUST00000125872_90_90;0.394;0.366;0.271;0.388;0.567;0.468;0.723;0.344;0.363;0.363;0.344;1.0;0.619;0.361
ENSMUST00000129137_90_90;0.629;0.582;0.587;0.617;0.354;0.742;0.676;0.544;0.576;0.576;0.544;0.619;1.0;0.573
ENSMUST00000140713_90_90;0.938;0.944;0.542;0.884;0.226;0.834;0.527;0.948;0.893;0.893;0.948;0.361;0.573;1.0
