;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.909;0.909;0.727;0.364;0.818;0.182;0.182;0.455;0.909;1.0;0.789;0.684;0.789
ENST00000265651_90_90;0.909;1.0;0.875;0.733;0.294;0.75;0.2;0.2;0.533;0.875;0.909;0.833;0.75;0.818
ENST00000448981_90_90;0.909;0.875;1.0;0.625;0.294;0.867;0.125;0.125;0.533;0.875;0.833;0.917;0.833;0.75
ENST00000526785_90_90;0.727;0.733;0.625;1.0;0.059;0.714;0.273;0.273;0.267;0.625;0.727;0.667;0.727;0.636
ENST00000529137_90_90;0.364;0.294;0.294;0.059;1.0;0.176;0.0;0.0;0.5;0.294;0.364;0.333;0.25;0.4
ENST00000530401_90_90;0.818;0.75;0.867;0.714;0.176;1.0;0.143;0.143;0.4;0.75;0.75;0.833;0.909;0.667
ENST00000531080_90_90;0.182;0.2;0.125;0.273;0.0;0.143;1.0;1.0;0.0;0.125;0.182;0.167;0.182;0.091
ENST00000532057_90_90;0.182;0.2;0.125;0.273;0.0;0.143;1.0;1.0;0.0;0.125;0.182;0.167;0.182;0.091
ENST00000532927_90_90;0.455;0.533;0.533;0.267;0.5;0.4;0.0;0.0;1.0;0.533;0.455;0.417;0.333;0.5
ENST00000534136_90_90;0.909;0.875;0.875;0.625;0.294;0.75;0.125;0.125;0.533;1.0;0.909;0.833;0.75;0.818
ENSMUST00000028603_90_90;1.0;0.909;0.833;0.727;0.364;0.75;0.182;0.182;0.455;0.909;1.0;0.714;0.619;0.75
ENSMUST00000102565_90_90;0.789;0.833;0.917;0.667;0.333;0.833;0.167;0.167;0.417;0.833;0.714;1.0;0.875;0.824
ENSMUST00000111135_90_90;0.684;0.75;0.833;0.727;0.25;0.909;0.182;0.182;0.333;0.75;0.619;0.875;1.0;0.706
ENSMUST00000111136_90_90;0.789;0.818;0.75;0.636;0.4;0.667;0.091;0.091;0.5;0.818;0.75;0.824;0.706;1.0
