;transcript7_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.965;1.0;0.965;0.673;0.673;0.673;0.678;0.678;0.381;0.646;0.646;0.655;0.646;0.656;0.655;0.673
transcript57_MGP-CAROLIEiJ-G0020234;0.965;1.0;0.965;1.0;0.619;0.619;0.619;0.614;0.614;0.311;0.588;0.588;0.596;0.588;0.597;0.596;0.619
transcript58_MGP-CAROLIEiJ-G0020234;1.0;0.965;1.0;0.965;0.673;0.673;0.673;0.678;0.678;0.381;0.646;0.646;0.655;0.646;0.656;0.655;0.673
transcript59_MGP-CAROLIEiJ-G0020234;0.965;1.0;0.965;1.0;0.619;0.619;0.619;0.614;0.614;0.311;0.588;0.588;0.596;0.588;0.597;0.596;0.619
transcript7_ENSMUGG00000013649;0.673;0.619;0.673;0.619;1.0;0.984;1.0;0.988;0.988;0.87;0.973;0.973;0.877;0.973;0.948;0.984;0.984
transcript28_ENSMUGG00000013649;0.673;0.619;0.673;0.619;0.984;1.0;0.984;0.98;0.98;0.863;0.989;0.989;0.893;0.989;0.963;1.0;1.0
transcript42_ENSMUGG00000013649;0.673;0.619;0.673;0.619;1.0;0.984;1.0;0.988;0.988;0.87;0.973;0.973;0.877;0.973;0.948;0.984;0.984
transcript7_ENSMUGG00000013592;0.678;0.614;0.678;0.614;0.988;0.98;0.988;1.0;1.0;0.882;0.97;0.97;0.881;0.97;0.939;0.98;0.98
transcript42_ENSMUGG00000013592;0.678;0.614;0.678;0.614;0.988;0.98;0.988;1.0;1.0;0.882;0.97;0.97;0.881;0.97;0.939;0.98;0.98
transcript52_ENSMUGG00000013592;0.381;0.311;0.381;0.311;0.87;0.863;0.87;0.882;0.882;1.0;0.85;0.85;0.76;0.85;0.819;0.86;0.863
transcript7_ENSCGRG00015005362;0.646;0.588;0.646;0.588;0.973;0.989;0.973;0.97;0.97;0.85;1.0;1.0;0.904;1.0;0.974;1.0;0.989
transcript52_ENSCGRG00015005362;0.646;0.588;0.646;0.588;0.973;0.989;0.973;0.97;0.97;0.85;1.0;1.0;0.904;1.0;0.974;1.0;0.989
transcript53_ENSCGRG00015005362;0.655;0.596;0.655;0.596;0.877;0.893;0.877;0.881;0.881;0.76;0.904;0.904;1.0;0.904;0.878;0.904;0.893
transcript54_ENSCGRG00015005362;0.646;0.588;0.646;0.588;0.973;0.989;0.973;0.97;0.97;0.85;1.0;1.0;0.904;1.0;0.974;1.0;0.989
transcript55_ENSCGRG00015005362;0.656;0.597;0.656;0.597;0.948;0.963;0.948;0.939;0.939;0.819;0.974;0.974;0.878;0.974;1.0;0.974;0.963
transcript7_ENSCGRG00000018457;0.655;0.596;0.655;0.596;0.984;1.0;0.984;0.98;0.98;0.86;1.0;1.0;0.904;1.0;0.974;1.0;1.0
transcript7_ENSPEMG00000024651;0.673;0.619;0.673;0.619;0.984;1.0;0.984;0.98;0.98;0.863;0.989;0.989;0.893;0.989;0.963;1.0;1.0
